Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_140025B2C,0x140025f21,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.Begin,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, processName:UnicodeString, parentName:UnicodeString, hMainModule:HexInt64, IsAdmin:Bool32, StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, ShouldHashIds:UInt8(Boolean), CommandLine:UnicodeString, CampRing:UInt32, EngineRing:UInt32, SignatureRing:UInt32, Is32Bit:Bool32",Direct-Preceding
sub_140021FF8,0x1400223a9,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.CallNamedPipeW,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, hr:Int32(HResult)",Direct-Preceding
sub_140020CA8,0x140021258,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.ClientSendReceiveMessage,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, isLastPackage:UInt8(Boolean), hr:Int32(HResult)",Direct-Preceding
sub_140026114,0x1400262ab,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.End,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, IsAdmin:UInt8(Boolean), hr:Int32(HResult), processName:UnicodeString, parentName:UnicodeString, ShouldHashIds:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CampRing:UInt32, EngineRing:UInt32, SignatureRing:UInt32, LastExitCode:Int32(HResult), LastStartTime:UInt64, updateInterval:UInt64",Direct-Preceding
sub_140026114,0x140026552,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.End,5,0x400000000000,"PartA_PrivTags:UInt64, __TlgCV__:AnsiString, IsAdmin:UInt8(Boolean), hr:Int32(HResult), processName:UnicodeString, parentName:UnicodeString, ShouldHashIds:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, EventName:AnsiString, ProgramVersion:AnsiString, EventRVA:UInt32, CampRing:UInt32, EngineRing:UInt32, SignatureRing:UInt32, LastExitCode:Int32(HResult), LastStartTime:UInt64, updateInterval:UInt64",Direct-Preceding
sub_140023374,0x140023618,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.ProcessId.CreateToolHelp32Snapshot,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, hr:Int32(HResult)",Direct-Preceding
sub_140023374,0x14002349f,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.ProcessId.GetParent,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, ParentFound:Bool32",Direct-Preceding
sub_140023374,0x140024222,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.ProcessId.GetParent,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, ParentFound:Bool32",Direct-Preceding
sub_140023374,0x140024704,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.ProcessId.GetParent,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, ParentFound:Bool32",Direct-Preceding
sub_1400248E0,0x140024d24,Microsoft.Windows.Defender,{7AF898D7-7E0E-518D-5F96-B1E79239484C},Update.ProcessId.OpenProcess,5,0x200000000000,"PartA_PrivTags:UInt64, IsAdmin:UInt8(Boolean), StubName:AnsiString, StubVersion:AnsiString, ProgramVersion:AnsiString, CallerRVA:UInt32, ShouldHashIds:UInt8(Boolean), __TlgCV__:AnsiString, hr:Int32, desiredAccess:UInt32",Direct-Preceding
