Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAboutPageHandlerTraceLogging@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003c0a1,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VAboutPageHandlerTraceLogging@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003c1f4,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StartActivity@DeviceInformationActivity@AboutPageHandlerTelemetry@@QEAAXXZ,0x18003c5e0,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},DeviceInformationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?Stop@DeviceInformationActivity@AboutPageHandlerTelemetry@@QEAAXEPEBG@Z,0x18003c755,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},DeviceInformationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, deviceInfoKey:UInt8, deviceInfoValue:UnicodeString",CallGraph-d1
?Stop@DeviceInformationActivity@AboutPageHandlerTelemetry@@QEAAXEPEBG@Z,0x18003c960,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},DeviceInformationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, deviceInfoKey:UInt8, deviceInfoValue:UnicodeString",CallGraph-d1
?StopActivity@DeviceInformationActivity@AboutPageHandlerTelemetry@@MEAAXXZ,0x18003cb1b,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},DeviceInformationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@DeviceInformationActivity@AboutPageHandlerTelemetry@@MEAAXXZ,0x18003ccb7,Microsoft.Windows.Shell.SystemSettings.AboutPageHandler,{93121B8C-1370-451F-AD4D-2037874EB606},DeviceInformationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?NotifyFailure@?$ActivityBase@VSystemLogging@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800187d1,Microsoft.Windows.Shell.SystemSettings.SettingHandlersSystem,{5487F421-E4DE-41D4-BFF3-72A4D6584898},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VSystemLogging@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180018924,Microsoft.Windows.Shell.SystemSettings.SettingHandlersSystem,{5487F421-E4DE-41D4-BFF3-72A4D6584898},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VSystemLogging@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001b0d8,Microsoft.Windows.Shell.SystemSettings.SettingHandlersSystem,{5487F421-E4DE-41D4-BFF3-72A4D6584898},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
