Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$ARCBuilder_AddShortcutToCache@PEBGK_N@AppResolverTelemetry@@SAX$$QEAPEBG$$QEAK$$QEA_N@Z,0x180049bc4,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCBuilder_AddShortcutToCache,5,0x0,"appId:UnicodeString, shortcutFlags:UInt32, inOldCache:UInt8(Boolean)",CallGraph-d2
??$ARCBuilder_AddShortcutToCacheCriticalFailure@PEBGAEAJ@AppResolverTelemetry@@SAX$$QEAPEBGAEAJ@Z,0x180049c2a,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCBuilder_AddShortcutToCacheCriticalFailure,5,0x200000000000,"appId:UnicodeString, result:Int32",CallGraph-d2
?StartActivity@ARCBuilder_ScanFoldersAndCreateNewCache@AppResolverTelemetry@@QEAAXXZ,0x18004b058,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCBuilder_ScanFoldersAndCreateNewCache,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@ARCBuilder_ScanFoldersAndCreateNewCache@AppResolverTelemetry@@MEAAXXZ,0x18004b102,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCBuilder_ScanFoldersAndCreateNewCache,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@ARCBuilder_ScanFoldersAndCreateNewCache@AppResolverTelemetry@@MEAAXXZ,0x18004b26a,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCBuilder_ScanFoldersAndCreateNewCache,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@ARCM_RefreshCache@AppResolverTelemetry@@QEAAXW4START_MENU_REFRESH_CACHE_FLAGS@@@Z,0x1800423ed,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCM_RefreshCache,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, START_MENU_REFRSH_CACHE_FLAGS:HexInt32",CallGraph-d2
?StopActivity@ARCM_RefreshCache@AppResolverTelemetry@@MEAAXXZ,0x180042697,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCM_RefreshCache,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@ARCM_RefreshCache@AppResolverTelemetry@@MEAAXXZ,0x18004281f,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCM_RefreshCache,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$ARCManager_CommittingNewAppResolverCache@AEAJ@AppResolverTelemetry@@SAXAEAJ@Z,0x18003e885,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCManager_CommittingNewAppResolverCache,5,0x200000000000,"NumReferencesOnOldCache:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
?StartActivity@ARCManager_CortanaJumplistChangedForItem@AppResolverTelemetry@@QEAAXXZ,0x18004249b,Microsoft-Windows-Shell-AppResolver,{39DDCB8D-EF82-5C84-89CA-09580BF0A947},ARCManager_CortanaJumplistChangedForItem,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
