Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAppXDeploymentClientTelemetry@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18006f5a1,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VAppXDeploymentClientTelemetry@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18006fb33,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?AppInstallerPromptExperienceNotImplemented@AppXDeploymentClientTelemetry@@SAXXZ,0x18004b343,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},AppInstallerPromptExperienceNotImplemented,5,0x200000000000,(none),CallGraph-d1
?QuerySRCacheForAdditionalPackagesToBeInstalledForUser@PackagesToBeInstalledGetter@@AEAAJXZ,0x18008b61c,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},BetterPackageAvailable,5,0x0,"User's currently installed packageFullName:UnicodeString, Best version packageFullName:UnicodeString",CallGraph-d1
?QuerySRCacheForAdditionalPackagesToBeInstalledForUser@PackagesToBeInstalledGetter@@AEAAJXZ,0x18008b6e5,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},BetterVersionPackageAvailable,5,0x0,"User's currently installed packageFullName:UnicodeString, BestPackageInLineage packageFullName:UnicodeString",CallGraph-d1
?RequestAccess@@YAJPEBGK0@Z,0x18002a969,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},CAM Access Check - Not Allowed,2,0x0,"userSid:UnicodeString, processId:UInt32(PID), capability:UnicodeString, accessStatus:UInt32",CallGraph-d1
?UpdateExtendedErrorStatus@ClientDeploymentRequest@Deployment@Management@Windows@@UEAAXPEBXK@Z,0x18003316c,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ClientDeploymentRequest::WnfCallBack unexpected data,2,0x0,Length:UInt32,CallGraph-d1
?UpdateExtendedErrorStatus@ClientDeploymentRequest@Deployment@Management@Windows@@UEAAXPEBXK@Z,0x1800331a2,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ClientDeploymentRequest::WnfCallBack unexpected data,2,0x0,ErrorStringLength:UInt32,CallGraph-d1
?EnterWnfCallback@ClientRequestBase@Deployment@Management@Windows@@IEAA_NXZ,0x18002caea,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ClientRequestBase::EnterWnfCallback invalid object ref count,2,0x0,RefCount:Int32,CallGraph-d1
EnsurePackageFamilyIsRegisteredBeforeActivation,0x18001482e,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Could not get package status for user so package requires registration,5,0x0,Package:UnicodeString,CallGraph-d1
_lambda_10cb8d467a9c9a6295045cebe029ec65_::operator(),0x180076e04,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Could not retrieve version info--using default 0.0.0.0,5,0x0,UupProductId:UnicodeString,CallGraph-d1
EnsurePackageFamilyIsRegisteredBeforeActivation,0x18001474f,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},EnsurePackageFamilyIsRegisteredBeforeActivation,5,0x0,PackageFamily:UnicodeString,CallGraph-d1
EnsurePackageFamilyIsRegisteredBeforeActivation,0x180014780,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},EnsurePackageFamilyIsRegisteredBeforeActivation,5,0x0,PackageFamily:UnicodeString,CallGraph-d1
?EnsurePackageIsRegisteredByFamilyNameForUserWithExtendedOptionsAsync@PackageManagerInternal@Internal@Deployment@Management@Windows@@UEAAJPEAUHSTRING__@@_KW4DeploymentOptionsInternal@2345@W4DeploymentOptionsInternal2@2345@W4DeploymentOperationPriority@2345@PEAPEAU?$IAsyncOperationWithProgress@PEAVDeploymentResult@Deployment@Management@Windows@@UDeploymentProgress@234@@Foundation@5@@Z,0x180017e44,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},EnsurePackageIsRegisteredByFamilyNameForUserWithExtendedOptionsAsync,5,0x0,"registerPackageNeeded:Bool32, isSharedAppsEnabled:Bool32, shouldHigherVersionBeRemoved:Bool32, packageFamilyName:UnicodeString, currentFullName:UnicodeString, deploymentOptionsInternal:Int32, deploymentOptionsInternal2:Int32, priority:UInt32, userSid:UnicodeString",Direct-Preceding
?EnsurePackageIsRegisteredByFamilyNameForUserWithExtendedOptionsAsync@PackageManagerInternal@Internal@Deployment@Management@Windows@@UEAAJPEAUHSTRING__@@_KW4DeploymentOptionsInternal@2345@W4DeploymentOptionsInternal2@2345@W4DeploymentOperationPriority@2345@PEAPEAU?$IAsyncOperationWithProgress@PEAVDeploymentResult@Deployment@Management@Windows@@UDeploymentProgress@234@@Foundation@5@@Z,0x180017e82,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},EnsurePackageIsRegisteredByFamilyNameForUserWithExtendedOptionsAsync,5,0x0,"registerPackageNeeded:Bool32, isSharedAppsEnabled:Bool32, shouldHigherVersionBeRemoved:Bool32, packageFamilyName:UnicodeString, currentFullName:UnicodeString, deploymentOptionsInternal:Int32, deploymentOptionsInternal2:Int32, priority:UInt32, userSid:UnicodeString",Direct-Preceding
?StartActivity@ExistsPackagesToBeInstalled@AppXDeploymentClientTelemetry@@QEAAXXZ,0x18007b3f7,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ExistsPackagesToBeInstalled,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@ExistsPackagesToBeInstalled@AppXDeploymentClientTelemetry@@MEAAXXZ,0x18007b497,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ExistsPackagesToBeInstalled,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@ExistsPackagesToBeInstalled@AppXDeploymentClientTelemetry@@MEAAXXZ,0x18007b61f,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},ExistsPackagesToBeInstalled,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$TraceFailureFromProvider@VAppXDeploymentClientTelemetry@@@@YAXAEBUFailureInfo@wil@@@Z,0x180014537,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Failure,2,0x200000000000,"HResult:Int32(HResult), File:AnsiString, LineNumber:UInt32, Message:UnicodeString",CallGraph-d1
EnsurePackageFamilyIsRegisteredBeforeActivation,0x18001481d,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},FindPackagesByPackageFamily returned 0 packages so package requires registration,5,0x0,PackageFamily:UnicodeString,CallGraph-d1
GetPackageRegistrationStatusForUserAndDefaultAccount,0x180019211,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Found a more recently staged Inbox package that requires registration,5,0x0,Known package:UnicodeString,Direct-Preceding
GetPackageRegistrationStatusForUserAndDefaultAccount,0x18001929f,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Found a more recently staged Inbox package that requires registration,5,0x0,Known package:UnicodeString,Direct-Preceding
GetPackageRegistrationStatusForUserAndDefaultAccount,0x1800195c0,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Found different version from defaultAccount,5,0x0,"UserPckage:UnicodeString, UserPckage:UnicodeString",Direct-Preceding
?GetMainOrOptionalPackageForUser@@YAJAEAVManager_NoThrow@Cache@StateRepository@@_JAEAVUser_NoThrow@Entity@23@AEAVPackage_NoThrow@523@AEA_N4@Z,0x1800149cb,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},GetMainOrOptionalPackageForUser - Feature_EnsureCorrectInboxAppVersionIsRegistered is enabled,5,0x0,(none),CallGraph-d1
?GetMainOrOptionalPackageForUser@@YAJAEAVManager_NoThrow@Cache@StateRepository@@_JAEAVUser_NoThrow@Entity@23@AEAVPackage_NoThrow@523@AEA_N4@Z,0x180014a09,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},GetMainOrOptionalPackageForUser - Feature_EnsureCorrectInboxAppVersionIsRegistered is enabled,5,0x0,(none),CallGraph-d1
?GetMainOrOptionalPackageForUser@@YAJAEAVManager_NoThrow@Cache@StateRepository@@_JAEAVUser_NoThrow@Entity@23@AEAVPackage_NoThrow@523@AEA_N4@Z,0x1800159cf,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},GetMainOrOptionalPackageForUser found an outdated version of the inbox package that is known by the user,5,0x0,OutdatedInboxPackageFullName:UnicodeString,CallGraph-d1
?GetMainOrOptionalPackageForUser@@YAJAEAVManager_NoThrow@Cache@StateRepository@@_JAEAVUser_NoThrow@Entity@23@AEAVPackage_NoThrow@523@AEA_N4@Z,0x180014e7d,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},GetMainOrOptionalPackageForUser set packageIsInboxAndMoreRecentlyStagedVersionExistsButNotRegisteredForUser to true,5,0x0,MostRecentlyStagedPackageFullName:UnicodeString,CallGraph-d1
GetPackageRegistrationStatusForUserAndDefaultAccount,0x1800185ff,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},GetPackageRegistrationStatusForUser,5,0x0,PackageFamily:UnicodeString,Direct-Preceding
GetPackageRegistrationStatusForUserAndDefaultAccount,0x180019143,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},GetPackageRegistrationStatusForUserAndDefaultAccount - Found package,5,0x0,"Package:UnicodeString, Status:UInt32",Direct-Preceding
?QuerySRCacheForAdditionalPackagesToBeInstalledForUser@PackagesToBeInstalledGetter@@AEAAJXZ,0x18008b286,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},MissingPackageFromCache-Ignoring,5,0x0,PackageKey:UInt64,CallGraph-d1
?QuerySRCacheForAdditionalPackagesToBeInstalledForUser@PackagesToBeInstalledGetter@@AEAAJXZ,0x18008b4a0,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},NeedToInstallPackageBasedOnInstalledState,5,0x0,User's currently installed packageFullName:UnicodeString,CallGraph-d1
_lambda_10cb8d467a9c9a6295045cebe029ec65_::operator(),0x180076c9e,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},NoPackagesFoundForProduct--Ignoring,5,0x0,UupProductId:UnicodeString,CallGraph-d1
?CheckComCallerHasCapabilitiesImpl@@YAJIPEAPEBGPEAHIPEAGPEAPEAX1@Z,0x180033ff8,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},NonAppContainerCallingProcessHandleNotAccessible,5,0x0,"HRESULT:Int32(HResult), Calling Process PID:UInt32(PID), isAppContainerCaller:Bool32, Needs Capability Check:Bool32",CallGraph-d2
GetPackageRegistrationStatusForUserAndDefaultAccount,0x1800191a1,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},PackageStatus requires registration,5,0x0,"Package:UnicodeString, Status:UInt32",Direct-Preceding
GetPackageRegistrationStatusForUserAndDefaultAccount,0x18001923b,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},PackageStatus requires registration,5,0x0,"Package:UnicodeString, Status:UInt32",Direct-Preceding
ClientGetAllPackagesToBeInstalledForUser,0x1800324db,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},PackagesToBeInstalledFailure,5,0x400000000000,ErrorCode:Int32(HResult),CallGraph-d1
?AppxPreStageCleanupRunTaskImplementation@@YAXXZ,0x18006ca59,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},Pre-stage cleanup was not performed because the system was in audit mode.,5,0x0,(none),CallGraph-d1
?QuerySRCacheForAdditionalPackagesToBeInstalledForUser@PackagesToBeInstalledGetter@@AEAAJXZ,0x18008b456,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},RemovingEolPackage,5,0x0,PackageFullName:UnicodeString,CallGraph-d1
?StopActivity@SetContentGroupState@AppXDeploymentClientTelemetry@@MEAAXXZ,0x18006fbe7,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},SetContentGroupState,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@SetContentGroupState@AppXDeploymentClientTelemetry@@MEAAXXZ,0x18006fd6f,Microsoft.Windows.AppXDeploymentClient,{B89FA39D-0D71-41C6-BA55-EFFB40EB2098},SetContentGroupState,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?NotifyFailure@?$ActivityBase@VAppXDeploymentServerTelemetry@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800c6e7a,Microsoft.Windows.AppXDeploymentServer,{FE762FB1-341A-4DD4-B399-BE1868B3D918},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VAppXDeploymentServerTelemetry@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800c727f,Microsoft.Windows.AppXDeploymentServer,{FE762FB1-341A-4DD4-B399-BE1868B3D918},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@FileInUse@AppXDeploymentServerTelemetry@@QEAAXPEBG0@Z,0x1800ca8fa,Microsoft.Windows.AppXDeploymentServer,{FE762FB1-341A-4DD4-B399-BE1868B3D918},FileInUse,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, filename:UnicodeString, tag:UnicodeString",CallGraph-d2
