Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$StudioEffectsDeviceDisabledMessageVisible@W4StudioEffectsPageIndex@QuickActionsTelemetry@@@QuickActionsTelemetry@@SAX$$QEAW4StudioEffectsPageIndex@0@@Z,0x180041177,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsDeviceDisabledMessageVisible,5,0x400000000000,"type:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$StudioEffectsPrivacyDisabledMessageVisible@W4StudioEffectsPageIndex@QuickActionsTelemetry@@@QuickActionsTelemetry@@SAX$$QEAW4StudioEffectsPageIndex@0@@Z,0x1800411e7,Microsoft.Windows.Desktop.Shell.QuickActions,{C6BA71AE-658C-5A9B-94F5-B2026290198A},StudioEffectsPrivacyDisabledMessageVisible,5,0x400000000000,"type:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
?GetSupportedBidirectionalExperienceTypesHelper@AudioDevice@@AEAAJXZ,0x18007f6a6,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},AudioDevice::GetSupportedBidirectionalExperienceTypesHelper,5,0x0,Exception:AnsiString,Direct-Preceding
?SetSupportedBidirectionalExperienceTypesHelper@AudioDevice@@AEAAJHU_GUID@@@Z,0x18007f7f5,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},AudioDevice::SetSupportedBidirectionalExperienceTypesHelper,5,0x0,Exception:AnsiString,Direct-Preceding
?SetProperty@BasePropertiesLauncher@DataModel@SystemSettings@@UEAAJPEAUHSTRING__@@PEAUIInspectable@@@Z,0x1800329d4,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},BasePropertiesLauncher looking up device by endpointid,5,0x0,"Looking Name:UnicodeString, Get Name:UnicodeString, IsConnected:UInt8(Boolean)",Direct-Preceding
?GetProperty@SessionInfoItem@DataModel@SystemSettings@@UEAAJPEAUHSTRING__@@PEAPEAUIInspectable@@@Z,0x1800664bd,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},Calling GetMasterVolume,5,0x0,"m_volumeToSet:Int32, PID:UInt32",Direct-Preceding
?SetVolume@SessionInfoItem@DataModel@SystemSettings@@QEAAXH@Z,0x1800693da,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},Calling SetMasterVolume,5,0x0,"volume:Int32, PID:UInt32",Direct-Preceding
?SetProperty@SessionInfoItem@DataModel@SystemSettings@@UEAAJPEAUHSTRING__@@PEAUIInspectable@@@Z,0x180068dd4,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},Changed endpoint for,5,0x0,"this:HexInt64, PID:UInt32, DisplayName:UnicodeString, GroupParameter:GUID, SessionId:UnicodeString",Direct-Preceding
?SetProperty@SessionInfoItem@DataModel@SystemSettings@@UEAAJPEAUHSTRING__@@PEAUIInspectable@@@Z,0x18006909a,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},Changed input endpoint,5,0x0,"this:HexInt64, PID:UInt32",Direct-Preceding
?OnStateChanged@SessionInfoItem@DataModel@SystemSettings@@UEAAXW4_AudioSessionState@@@Z,0x1800684b0,Microsoft.Windows.Media.Settings.Audio,{9D01D40C-B008-4770-A0EF-14D91395A423},Changed state for,5,0x0,"this:HexInt64, PID:UInt32, old state:Int32, new state:Int32",Direct-Preceding
