Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
BrDecQuota,0x18001a1c4,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrDecQuota,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString, eventType:UInt32, count:UInt32",SingleProvider
BrDeleteBrokerInstance,0x1800160e2,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrDeleteBrokerInstance,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error)",SingleProvider
BrGetQuota,0x18001a6cd,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrGetQuota,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString, eventType:UInt32, currentQuota:UInt32",SingleProvider
BrIncQuota,0x18001a864,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrIncQuota,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString, eventType:UInt32, count:UInt32",SingleProvider
BrQueryBrokeredApplicationState,0x180006ab1,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrQueryBrokeredApplicationState,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString",SingleProvider
BrQueryBrokeredApplicationState,0x180006ae9,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrQueryBrokeredApplicationState,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString",SingleProvider
BrQueryBrokeredEvents,0x18000d84f,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrQueryBrokeredEvent,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString, eventType:UInt32, eventCount:UInt32",SingleProvider
BrQueryBrokeredEvents2,0x180002e5a,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrQueryBrokeredEventNoLock,4,0x8,"brokerGuid:GUID, status:UInt32(Win32Error), packageName:UnicodeString, eventType:UInt32, eventCount:UInt32",SingleProvider
BrSignalBrokerEvent,0x18001adc1,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrSignalBrokerEvent,4,0x8,"brokerGuid:GUID, eventId:GUID, status:UInt32(Win32Error)",SingleProvider
_BriCreateEvent,0x180005742,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BriCreateEvent,4,0x1,(none),SingleProvider
_BriCreateEvent,0x1800058cb,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BriCreateEvent,4,0x1,"brokerGuid:GUID, eventGuid:GUID, status:UInt32(Win32Error), eventWNFName:UInt64, callReason:UInt8, packageName:UnicodeString, userSid:SID, controlFlags:UInt32, eventType:UInt32, eaEventFlags:UInt32, eventFlags:UInt32, eventHandle:HexInt64",SingleProvider
_BriCreateEvent,0x18000590d,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BriCreateEvent,4,0x1,"brokerGuid:GUID, eventGuid:GUID, status:UInt32(Win32Error), eventWNFName:UInt64, callReason:UInt8, packageName:UnicodeString, userSid:SID, controlFlags:UInt32, eventType:UInt32, eaEventFlags:UInt32, eventFlags:UInt32, eventHandle:HexInt64",SingleProvider
_BriDeleteEvent,0x180006165,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BriDeleteEvent,4,0x1,"eventPtr:HexInt64, brokerId:GUID, status:UInt32(Win32Error), callReason:UInt8",SingleProvider
??0BrokerEvent@Broker@@QEAA@PEAU_BROKERED_EVENT@@KKQEAXV?$shared_ptr@VState@ApplicationStateTable@Broker@@@std@@E@Z,0x18000c088,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrokerEvent.CreateEvent,4,0x4,"eventId:GUID, eventType:UInt32",SingleProvider
?DestroyEvent@BrokerBase@Broker@@AEAAXW4_BR_EVENT_CALL_REASON@@AEAV?$shared_ptr@VBrokerEvent@Broker@@@std@@_N@Z,0x18000bd85,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrokerEvent.FreeEvent,4,0x4,"eventId:GUID, eventType:UInt32",SingleProvider
?SetState@BrokerEvent@Broker@@QEAAXW4_BROKERED_EVENT_STATE@@@Z,0x18000cc11,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrokerEvent.SetState,4,0x4,"eventId:GUID, eventType:UInt32, stateBefore:UInt8, stateAfter:UInt8",SingleProvider
?SetState@BrokerEvent@Broker@@QEAAXW4_BROKERED_EVENT_STATE@@@Z,0x18000cc7a,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrokerEvent.SetState,4,0x4,"eventId:GUID, eventType:UInt32, stateBefore:UInt8, stateAfter:UInt8",SingleProvider
?Signal@BrokerEvent@Broker@@QEAAXPEBEPEBU_GUID@@0K1@Z,0x18000adf6,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrokerEvent.Signal,4,0x4,"eventId:GUID, eventType:UInt32, argumentSize:UInt32",SingleProvider
?Signal@BrokerEvent@Broker@@QEAAXPEBEPEBU_GUID@@0K1@Z,0x18000ae30,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},BrokerEvent.Signal,4,0x4,"eventId:GUID, eventType:UInt32, argumentSize:UInt32",SingleProvider
?CreateBrokeredEventEA@BrokerBase@Broker@@QEAAXW4_BR_EVENT_CALL_REASON@@PEBGPEAXPEAU_BR_EVENT_PARAMETERS@@KPEBU_GUID@@PEAPEAU_BROKERED_EVENT@@PEAU_BR_NEW_EVENT_INFORMATION@@PEAU_CBROKERED_EVENT_ID@@@Z,0x180009a1d,Microsoft.Windows.BrokerBase,{6966FE51-E224-4BAA-99BC-897B3ED3B823},Callback.OnCreate,4,0x2,"brokerGuid:GUID, eventGuid:GUID, status:UInt32(Win32Error), eventContext:HexInt64, eventType:UInt32, eaEventFlags:UInt32, eventFlags:UInt32, quotaCost:UInt32",SingleProvider
