Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??1A2dpInbandAacCodec@@UEAA@XZ,0x1400425bb,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpAacFragmentedCount,5,0x400000000000,"PartA_PrivTags:UInt64, NumberOfSentFrames:Int32, NumberOfFragmentedFrames:Int32",Direct-Preceding
?UpdateEndpointWithCurrentConfiguration@A2DP_Device@@QEAAJV?$shared_ptr@VA2dpAudioCodec@@@utl@@@Z,0x1400796b0,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpAptXAdaptiveLatencyModeChange,5,0x400000000000,"PartA_PrivTags:UInt64, BTDeviceAddress:UInt64, AptXAdaptiveLatencyMode:Int32, AptXAdaptiveNewSamplingHz:Int32, Status:UInt32(NTStatus)",Direct-Preceding
?LogAvailableCodec@A2dpUtilities@@SAXPEBU_CATEGORY_CODEC_HEADER@@_N_KE@Z,0x140041dcf,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpAvailableOffloadedCodec,5,0x400000000000,"PartA_PrivTags:UInt64, A2dpStandardCodecId:UInt8, A2dpVendorId:UInt32, A2dpVendorCodecId:UInt16, BTDeviceAddress:UInt64",Direct-Preceding
?LogAvailableCodec@A2dpUtilities@@SAXPEBU_CATEGORY_CODEC_HEADER@@_N_KE@Z,0x140041cb5,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpAvailableRemoteCodec,5,0x400000000000,"PartA_PrivTags:UInt64, A2dpStandardCodecId:UInt8, A2dpVendorId:UInt32, A2dpVendorCodecId:UInt16, AcceptorStreamEndPointID:UInt8, BTDeviceAddress:UInt64",Direct-Preceding
?LogBackoffDuration@A2DP_Device@@AEAAXXZ,0x140005f61,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpBackoffDuration,5,0x400000000000,"PartA_PrivTags:UInt64, L2capChannelHandleSessionId:HexInt64, DurationInMilliseconds:Int64, A2dpMaxBackoffPercentage:UInt32, BTDeviceAddress:UInt64",Direct-Preceding
?LogA2dpDeviceOwnership@A2dpSidebandAudioWdmDevice@@AEAAXXZ,0x14007c24e,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpDeviceOwnership,5,0x400000000000,"PartA_PrivTags:UInt64, IsA2dpDeviceOffloaded:Bool32, BTDeviceAddress:UInt64",Direct-Preceding
?UpdateL2capOverflowedCondition@CPcmPin@@AEAA_KXZ,0x140004818,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpL2capOverflow,5,0x400000000000,"PartA_PrivTags:UInt64, AudioSessionId:GUID, DurationInMilliseconds:UInt64, BTDeviceAddress:UInt64",Direct-Preceding
?DecodeData@A2dpInbandSbcCodec@@UEAAJPEBE_K1PEAPEAUFrameListEntry@@@Z,0x140008815,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpMediaPacketArrivedLate,5,0x400000000001,"PartA_PrivTags:UInt64, A2dpSequenceNumber:UInt16, A2dpSenderRtpTimestamp:UInt32, A2dpReceiveTimeMs:UInt64, A2dpPlayoutTimeMs:UInt64, NumberOccurrencesSinceLastEvent:UInt64, TimeSinceLastEventMS:Int64, BTDeviceAddress:UInt64",Direct-Preceding
?IsOffloadEnabled@A2dpUtilities@@SA_NXZ,0x140084858,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpOffloadDisabled,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
?LogPinCreate@A2dpRole@@AEAAXXZ,0x14001e118,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpPinCreate,5,0x400000000000,"PartA_PrivTags:UInt64, AudioSessionId:GUID, L2capChannelHandleSessionId:HexInt64, BTDeviceAddress:UInt64",Direct-Preceding
?AVStrMiniPinCreate@CPcmPin@@SAJPEAU_KSPIN@@PEAU_IRP@@@Z,0x140082725,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpPinCreateE2E,5,0x400000000000,"PartA_PrivTags:UInt64, StatusErrorCode:Int32, DurationInMilliseconds:UInt64, BTDeviceAddress:UInt64",Direct-Preceding
?AVStrMiniPinSetDataFormat@CPcmPin@@SAJPEAU_KSPIN@@PEATKSDATAFORMAT@@PEAUKSMULTIPLE_ITEM@@PEBT3@PEBUKSATTRIBUTE_LIST@@@Z,0x140089917,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpPinSetDataFormat,5,0x400000000000,"PartA_PrivTags:UInt64, StatusErrorCode:Int32, IsKsPinCreated:Bool32, FormatTag:UInt16(Hex), SampleRate:Struct(Boolean), Value:UInt32, MinValue:UInt32, MaxValue:UInt32, BitDepth:Struct(Boolean), Value:UInt16, MinValue:UInt32, MaxValue:UInt32, ChannelCount:Struct(String), Value:UInt16, MaxValue:UInt32, ChannelMask:HexInt32, BTDeviceAddress:UInt64",Direct-Preceding
?PinSetDeviceState@CPcmPin@@QEAAJW4KSSTATE@@0@Z,0x140082da8,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpPinSetDeviceState,5,0x400000000000,"PartA_PrivTags:UInt64, TransitionFromState:UInt8, TransitionToState:UInt8, StatusErrorCode:Int32, TransitionDurationMs:UInt64, BTDeviceAddress:UInt64",Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x140002f29,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpReceiverOverflowed,5,0x400000000001,"PartA_PrivTags:UInt64, NumberOccurrencesSinceLastEvent:UInt64, TimeSinceLastEventMS:Int64, BTDeviceAddress:UInt64",Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x140003233,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpReceiverUnderflowed,5,0x400000000001,"PartA_PrivTags:UInt64, A2dpCurrentTimeMs:UInt64, A2dpDueTimeMs:UInt64, NumberOccurrencesSinceLastEvent:UInt64, TimeSinceLastEventMS:Int64, BTDeviceAddress:UInt64",Direct-Preceding
?LogDelayReportDuration@A2DP_Device@@CAXGPEAX0@Z,0x14002f80a,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpRemoteDelayReportDuration,5,0x400000000000,"PartA_PrivTags:UInt64, A2dpRemoteDelayReportDurationInMs:UInt16, BTDeviceAddress:UInt64",Direct-Preceding
?ConfigMtus@A2dpInbandAacCodec@@UEAAJKK@Z,0x140042f6b,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpSetAacBitrate,5,0x400000000000,"PartA_PrivTags:UInt64, AacBitrate:Int32, AacMtu:Int32, AacL2capSize:Int32, AacSamplingFrequency:Int32, AacNumChannels:Int32",Direct-Preceding
?ComputeFromMtuAndStore@OutParms@A2dpInbandSbcCodec@@QEAAJHHAEBUPacketTypes@@HHPEAVSBC@@PEAUSBC_CONFIG@@_K@Z,0x14003dd34,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpSetSbcBitrate,5,0x400000000000,"PartA_PrivTags:UInt64, A2dpSbcBitRate:Int64, A2dpSbcMediaFrameSize:Int64, A2dpSbcBitPool:Int64, A2dpSbcFramesPerPayload:Int64, A2dpSbcFrameSize:Int64, A2dpSbcBlocks:Int64, A2dpSbcChannels:Int64, A2dpSbcChannelMode:Int64, BTDeviceAddress:UInt64",Direct-Preceding
?LogStreamingInformation@A2DP_Device@@AEBAXXZ,0x14002f935,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpStreaming,5,0x400000000000,"PartA_PrivTags:UInt64, L2capChannelHandleSessionId:HexInt64, DurationInMilliseconds:Int64, A2dpStandardCodecId:UInt8, A2dpVendorId:UInt32, A2dpVendorCodecId:UInt16, A2dpIsSink:Bool32, BTDeviceAddress:UInt64",Direct-Preceding
?LogStreamingStart@A2DP_Device@@AEAAXXZ,0x14002fa35,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpStreamingStart,5,0x400000000000,"PartA_PrivTags:UInt64, L2capChannelHandleSessionId:HexInt64, A2dpIsSink:Bool32, BTDeviceAddress:UInt64",Direct-Preceding
?StartStream@A2dpSidebandAudioWdmEndpoint@@AEAAJPEAU_IRP@@@Z,0x140081126,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpTimeToAckStart,5,0x400000000000,"PartA_PrivTags:UInt64, DurationInMilliseconds:UInt16, TimedOut:Bool32",Direct-Preceding
?SuspendStream@A2dpSidebandAudioWdmEndpoint@@AEAAJPEAU_IRP@@@Z,0x140081881,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpTimeToAckSuspend,5,0x400000000000,"PartA_PrivTags:UInt64, DurationInMilliseconds:UInt16, TimedOut:Bool32",Direct-Preceding
?LogConnectionStatus@A2dpRole@@AEAAXXZ,0x140028b4d,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},A2dpUpdateConnectionStatus,5,0x400000000000,"PartA_PrivTags:UInt64, A2dpIsConnected:Bool32, A2dpIsSepOpen:Bool32, A2dpIsAvrcpRegistered:Bool32, A2dpIsSink:Bool32, A2dpIsStreaming:Bool32, A2dpSupportsAbsoluteVolume:Bool32, BTDeviceAddress:UInt64",Direct-Preceding
?LogConnectionAttempt@AVFilter@@SAX_K@Z,0x14003c4e9,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AudioConnectionAttempt,5,0x400000000000,"PartA_PrivTags:UInt64, BTDeviceAddress:UInt64",Direct-Preceding
?LogAudioConnectionDisabled@A2DP_Device@@CAX_K@Z,0x14002f481,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AudioConnectionDisabled,5,0x400000000000,"PartA_PrivTags:UInt64, BTDeviceAddress:UInt64",Direct-Preceding
?LogConnectionEnabled@AVFilter@@SAX_K@Z,0x14003c54d,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AudioConnectionEnabled,5,0x400000000000,"PartA_PrivTags:UInt64, BTDeviceAddress:UInt64",Direct-Preceding
?DecodeData@A2dpInbandSbcCodec@@UEAAJPEBE_K1PEAPEAUFrameListEntry@@@Z,0x140008ab6,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpMediaPacketArrived,5,0x1,"sequenceNumber:UInt16, timestamp:UInt32, senderTimeMs:UInt64, receiveTimeMs:UInt64, senderReceiveTimeDeltaMs:UInt64, slidingTimeOffsetMs:UInt64, basePlayoutTimeMs:UInt64, delayedPlayoutTimeMs:UInt64",Direct-Preceding
?DecodeData@A2dpInbandSbcCodec@@UEAAJPEBE_K1PEAPEAUFrameListEntry@@@Z,0x14000853f,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpMediaPacketArrivedOutOfOrder,5,0x1,"sequenceNumberReceived:UInt16, sequenceNumberExpected:UInt16",Direct-Preceding
?CaptureAudio@A2dpRole@@QEAAKPEAU_KSSTREAM_POINTER@@_K_N@Z,0x140002908,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpMediaPacketConsumed,5,0x1,"sequenceNumber:UInt16, ageMs:UInt64, packetsQueued:UInt64",Direct-Preceding
?DiscardOldData@FrameListEntry@@QEAA_N_KII@Z,0x14003d404,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpMediaPacketDataDiscarded,5,0x1,"sequenceNumber:UInt16, packetPlayoutTimeMs:UInt64, discardBeforeTimeMs:UInt64, samplesDiscarded:UInt64, samplesRemaining:UInt64",Direct-Preceding
?GetBytesReadyForPlayout@FrameListEntry@@QEBAK_KII@Z,0x1400119c1,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpMediaPacketSamplesReadyRequested,5,0x1,"sequenceNumber:UInt16, senderTimeMs:UInt64, receiveTimeMs:UInt64, packetSamplesConsumed:UInt32, packetSamplesRemaining:UInt32, packetPlayoutTimeMs:UInt64, playoutTimeMs:UInt64, packetSamplesReady:UInt32",Direct-Preceding
?DumpStreamEndpointData@@YAXPEBUStreamEndPointInfo@@H_K@Z,0x140048e50,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpSepInuseInfo,5,0x400000000000,"PartA_PrivTags:UInt64, AcceptorStreamEndPointID:UInt8, StreamEndPointMediaType:UInt8, StreamEndPointType:UInt8, IsLocalStreamEndPoint:Bool32, BTDeviceAddressRemote:UInt64",Direct-Preceding
?LogAvdtpSepInUseInfo@A2DP_Device@@AEAAXEEE_N@Z,0x14002f620,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpSepInuseInfo,5,0x400000000000,"PartA_PrivTags:UInt64, AcceptorStreamEndPointID:UInt8, StreamEndPointMediaType:UInt8, StreamEndPointType:UInt8, IsLocalStreamEndPoint:Bool32, BTDeviceAddressRemote:UInt64",Direct-Preceding
?LogAvdtpSetConfigurationInfo@A2DP_Device@@AEAAXW4LastAvdtpActivity@@EEEEIGHH@Z,0x14002f6e1,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},AvdtpSetConfigInfo,5,0x400000000000,"PartA_PrivTags:UInt64, AvdtpActivity:UInt32, AcceptorStreamEndPointID:UInt8, InitiatorStreamEndPointID:UInt8, ResultCode:UInt8, A2dpStandardCodecId:UInt8, A2dpVendorId:UInt32, A2dpVendorCodecId:UInt16, SampleRate:Int32, ChannelCount:Int32, BTDeviceAddressRemote:UInt64",Direct-Preceding
DriverEntry,0x14003b8be,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},ComponentLoad,5,0x400000000000,"PartA_PrivTags:UInt64, ComponentName:UnicodeString",Direct-Preceding
?DriverUnload@@YAXPEAU_DRIVER_OBJECT@@@Z,0x14003ad04,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},ComponentUnload,5,0x400000000000,"PartA_PrivTags:UInt64, ComponentName:UnicodeString",Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x140002e7a,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},GlitchedAvdtpDataOverflow,5,0x1,(none),Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x140003132,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},GlitchedAvdtpDataUnderflow,5,0x1,"timeMs:UInt64, dueTimeMs:UInt64",Direct-Preceding
?DecodeData@A2dpInbandSbcCodec@@UEAAJPEBE_K1PEAPEAUFrameListEntry@@@Z,0x1400086dc,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},GlitchedAvdtpMediaPacketArrivedLate,5,0x1,"sequenceNumber:UInt16, timestamp:UInt32, receiveTimeMs:UInt64, playoutTimeMs:UInt64",Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x140002d66,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},KsAvdtpSyncPointEstablished,5,0x1,"timeMs:UInt64, syncPointLocalTimeMs:UInt64, syncPointKsTimeMs:UInt64",Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x1400032a7,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},KsAvdtpSyncPointNotEstablished,5,0x1,(none),Direct-Preceding
?ProcessCapture@CPcmPin@@AEAAJXZ,0x14000309b,Microsoft.Windows.Bluetooth.BthA2dp,{8776AD1E-5022-4451-A566-F47E708B9075},KsStreamPointerAdvanced,5,0x1,"ksp:HexInt64, timeMs:UInt64, dueTimeMs:UInt64, samplesRemaining:UInt32",Direct-Preceding
