Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_1400073F0,0x140007f17,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerForcePackageRegistration,5,0x0,packageFamilyName:UnicodeString,CallGraph-d1
sub_1400073F0,0x1400080e5,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerForcePackageRegistrationFailed,5,0x0,packageFamilyName:UnicodeString,CallGraph-d1
sub_140009550,0x14000961f,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerGetPackageSetStart,5,0x0,"workloadsResourceDll:UnicodeString, vectorSpaceId:GUID, apiClassName:UnicodeString",CallGraph-d2
sub_140009550,0x140009ac3,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerGetPackageSetStop,5,0x0,"workloadsResourceDll:UnicodeString, vectorSpaceId:GUID, apiClassName:UnicodeString",CallGraph-d1
sub_1400085A0,0x140008630,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsAvailableStart,5,0x0,"workloadsResourceDll:UnicodeString, vectorSpaceId:GUID, apiClassName:UnicodeString",CallGraph-d2
sub_14000BEF0,0x14000bfeb,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsAvailableStop,5,0x0,"workloadsResourceDll:UnicodeString, isAvailable:UInt8(Boolean), vectorSpaceId:GUID, apiClassName:UnicodeString",CallGraph-d1
sub_14000BEF0,0x14000c01d,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsAvailableStop,5,0x0,"workloadsResourceDll:UnicodeString, isAvailable:UInt8(Boolean), vectorSpaceId:GUID, apiClassName:UnicodeString",CallGraph-d1
sub_140009C20,0x140009def,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsRequestedPackageSetRegisteredFailed,5,0x0,packageFamilyName:UnicodeString,CallGraph-d1
sub_140009C20,0x140009c5d,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsRequestedPackageSetRegisteredStart,5,0x0,(none),CallGraph-d1
sub_140009C20,0x140009d59,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsRequestedPackageSetRegisteredStop,5,0x0,(none),CallGraph-d1
sub_140009C20,0x140009e32,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerIsRequestedPackageSetRegisteredStop,5,0x0,(none),CallGraph-d1
sub_140009550,0x140009960,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerLogRequestedPackage,5,0x0,"packageFamilyName:UnicodeString, majorVersion:UInt32, minorVersion:UInt32, buildVersion:UInt32, revisionVersion:UInt32",CallGraph-d1
sub_140009550,0x140009983,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerLogRequestedPackage,5,0x0,"packageFamilyName:UnicodeString, majorVersion:UInt32, minorVersion:UInt32, buildVersion:UInt32, revisionVersion:UInt32",CallGraph-d1
sub_1400073F0,0x140007487,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerMakeAvailableStart,5,0x0,"workloadsResourceDll:UnicodeString, apiClassName:UnicodeString",CallGraph-d2
sub_1400073F0,0x140008257,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerMakeAvailableStop,5,0x0,"workloadsResourceDll:UnicodeString, apiClassName:UnicodeString",CallGraph-d1
sub_140006E10,0x140006e61,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerROTLookupStart,5,0x0,(none),CallGraph-d2
sub_14000BC70,0x14000bcad,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerROTLookupStop,5,0x0,hresult:Int32,CallGraph-d1
sub_14000BC70,0x14000bcf1,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerROTLookupStop,5,0x0,hresult:Int32,CallGraph-d1
sub_14000B9C0,0x14000b9d7,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerRemoveDeferredPackagesStart,5,0x0,(none),CallGraph-d2
sub_14000C470,0x14000c4ad,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerRemoveDeferredPackagesStop,5,0x0,hresult:Int32,CallGraph-d1
sub_14000C470,0x14000c4f1,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerRemoveDeferredPackagesStop,5,0x0,hresult:Int32,CallGraph-d1
sub_1400073F0,0x1400078d9,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerTryRegistrationBeforeEnsureReady,5,0x0,packageFamilyName:UnicodeString,CallGraph-d2
sub_14000BDA0,0x14000be37,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerTryRegistrationBeforeEnsureReadyIsRegistered,5,0x0,"packageFamilyName:UnicodeString, isRegistered:Int32",CallGraph-d1
sub_14000BDA0,0x14000be77,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},SessionManagerBrokerTryRegistrationBeforeEnsureReadyIsRegistered,5,0x0,"packageFamilyName:UnicodeString, isRegistered:Int32",CallGraph-d1
sub_1400085A0,0x1400089cf,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerCheckPackageSetReadyEnd,5,0x0,(none),CallGraph-d2
sub_1400085A0,0x140008766,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerCheckPackageSetReadyStart,5,0x0,(none),CallGraph-d1
sub_14000AC70,0x14000ae1a,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerEnsureInitializationEnd,5,0x0,(none),CallGraph-d1
sub_14000AC70,0x14000ac95,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerEnsureInitializationStart,5,0x0,(none),CallGraph-d1
sub_140008F80,0x140009382,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerBrokerPackagePath,5,0x0,packagePath:UnicodeString,CallGraph-d1
sub_14000B4E0,0x14000b58a,Microsoft.Windows.AIFabric,{434877DC-E809-46B5-9168-38C27E6E332E},WorkloadManagerCreateBrokerWithClassId,5,0x0,clsId:UnicodeString,CallGraph-d1
sub_1400207AF,0x14002080f,Microsoft.Windows.AIFabric.Telemetry,{87410D84-3BAC-53D7-7F6A-D3257C8CC59F},SessionManagerBrokerGetOrCreateSessionCreateFailed,5,0x400000000000,"hresult:Int32, PartA_PrivTags:UInt64",CallGraph-d1
sub_140020718,0x140020778,Microsoft.Windows.AIFabric.Telemetry,{87410D84-3BAC-53D7-7F6A-D3257C8CC59F},SessionManagerBrokerGetOrCreateSessionFactoryFailed,5,0x400000000000,"hresult:Int32, PartA_PrivTags:UInt64",CallGraph-d1
sub_140013200,0x140013339,Microsoft.Windows.AIFabric.Telemetry,{87410D84-3BAC-53D7-7F6A-D3257C8CC59F},WclApiUsage,5,0x800000000000,"PartA_PrivTags:UInt64, className:UnicodeString, apiName:UnicodeString, isDebuggerPresent:Int32, count:Int32, UTCReplace_AppSessionGuid:Bool32",CallGraph-d1
sub_140013200,0x14001336e,Microsoft.Windows.AIFabric.Telemetry,{87410D84-3BAC-53D7-7F6A-D3257C8CC59F},WclApiUsage,5,0x800000000000,"PartA_PrivTags:UInt64, className:UnicodeString, apiName:UnicodeString, isDebuggerPresent:Int32, count:Int32, UTCReplace_AppSessionGuid:Bool32",CallGraph-d1
sub_140014060,0x140014108,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
