Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?OnErrorReported@CoreAIPlatformTelemetryCommon@@UEAAX_NAEBUFailureInfo@wil@@@Z,0x18000b81d,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},CoreAIPlatformFallbackError,2,0x400000000000,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, PartA_PrivTags:UInt64",CallGraph-d2
?OnErrorReported@CoreAIPlatformTelemetryCommon@@UEAAX_NAEBUFailureInfo@wil@@@Z,0x18000b980,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},CoreAIPlatformFallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, PartA_PrivTags:UInt64",CallGraph-d2
??$EnableFeaturesAsync_Exception@AEBJ@SupportedFeaturesTelemetry@@SAXAEBJ@Z,0x180013be9,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},EnableFeaturesAsync_Exception,5,0x400000000000,"exception:Int32, PartA_PrivTags:UInt64",CallGraph-d1
??$EnableFeaturesAsync_Exception@J@SupportedFeaturesTelemetry@@SAX$$QEAJ@Z,0x180013cb1,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},EnableFeaturesAsync_Exception,5,0x400000000000,"exception:Int32, PartA_PrivTags:UInt64",CallGraph-d1
??$EnableFeaturesAsync_MakeAvailableAsync_Failure@AEBV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@Uguid@winrt@@Uhresult@4@PEB_WU54@@SupportedFeaturesTelemetry@@SAXAEBV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@$$QEAUguid@winrt@@$$QEAUhresult@4@$$QEAPEB_W2@Z,0x180013d80,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},EnableFeaturesAsync_MakeAvailableAsync_Failure,5,0x0,"Name:CountedString, ActivityId:GUID, Error:Int32, ErrorText:UnicodeString, ExtendedError:Int32",CallGraph-d1
??$EnableFeaturesAsync_MakeAvailableAsync_Failure@V?$basic_string_view@_WU?$char_traits@_W@std@@@std@@Uguid@winrt@@Uhresult@4@PEB_WU54@@SupportedFeaturesTelemetry@@SAX$$QEAV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@$$QEAUguid@winrt@@$$QEAUhresult@4@$$QEAPEB_W2@Z,0x180013e4c,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},EnableFeaturesAsync_MakeAvailableAsync_Failure,5,0x0,"Name:CountedString, ActivityId:GUID, Error:Int32, ErrorText:UnicodeString, ExtendedError:Int32",CallGraph-d1
??$EnableFeaturesWithProgressAsync_MakeAvailableAsyncSuccess@V?$basic_string_view@_WU?$char_traits@_W@std@@@std@@AEAN@SupportedFeaturesTelemetry@@SAX$$QEAV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@AEAN@Z,0x180013f07,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},EnableFeaturesWithProgressAsync_MakeAvailableAsyncSuccess,5,0x400000000000,"Name:CountedString, CumalitiveProgress:Double, PartA_PrivTags:UInt64",CallGraph-d1
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000bfb0,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000c0ff,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
??$GetEnabled_IsAvailable@AEB_NAEB_NAEB_NAEB_NAEB_NAEA_N@SupportedFeaturesTelemetry@@SAXAEB_N0000AEA_N@Z,0x180014865,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},GetEnabled_IsAvailable,5,0x0,"textRecognizer:UInt8(Boolean), screenRegionDetector:UInt8(Boolean), imageSearchEmbeddingsCreator:UInt8(Boolean), semanticTextEmbeddingsCreator:UInt8(Boolean), queryProcessor:UInt8(Boolean), topicProcessor:UInt8(Boolean)",CallGraph-d1
??$GetEnabled_SupportedFeatures@I@SupportedFeaturesTelemetry@@SAX$$QEAI@Z,0x180014968,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},GetEnabled_SupportedFeatures,5,0x0,SupportedFeatures:UInt32,CallGraph-d1
??$MeetsDriverRequirements_FoundQComNPU@AEA_N@SupportedFeaturesTelemetry@@SAXAEA_N@Z,0x180016f28,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},MeetsDriverRequirements_FoundQComNPU,5,0x0,meetsMinVersion:UInt8(Boolean),CallGraph-d1
??$MeetsDriverRequirements_Result@AEB_N@SupportedFeaturesTelemetry@@SAXAEB_N@Z,0x180016fa8,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},MeetsDriverRequirements_Result,5,0x0,validOrNotApplicable:UInt8(Boolean),CallGraph-d1
?MeetsDriverRequirements@SupportedFeatures@factory_implementation@Core@Platform@AI@Windows@Microsoft@winrt@@AEAA_NXZ,0x18000f19c,Microsoft.Windows.AI.Platform,{AFE60D91-90D2-59BD-EBBF-D321F5691437},MeetsDriverRequirements_Start,5,0x0,(none),CallGraph-d2
