Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDafIppLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180012575,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDafIppLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800126bd,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StartActivity@Association@DafIppTelemetry@@QEAAX_N@Z,0x18001a939,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},Association,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, IsDirectedDiscovery:UInt8(Boolean)",CallGraph-d2
?Stop@Association@DafIppTelemetry@@QEAAXPEBG@Z,0x18001ad89,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},Association,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, AepId:UnicodeString",CallGraph-d2
?Stop@Association@DafIppTelemetry@@QEAAXPEBG@Z,0x18001af05,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},Association,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, AepId:UnicodeString",CallGraph-d2
?StopActivity@Association@DafIppTelemetry@@MEAAXXZ,0x18001afe2,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},Association,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@Association@DafIppTelemetry@@MEAAXXZ,0x18001b147,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},Association,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?DeviceDiscovered_@DafIppTelemetry@@QEAAXPEBG000000000_N111@Z,0x18002d10a,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},DeviceDiscovered,5,0x400000000000,"PartA_PrivTags:UInt64, DeviceUuid:UnicodeString, MakeAndModel:UnicodeString, FirmwareName:UnicodeString, FirmwareStringVersion:UnicodeString, IppVersionsSupported:UnicodeString, MopriaCertified:UnicodeString, DocumentFormatSupported:UnicodeString, MediaSupported:UnicodeString, MediaTypeSupported:UnicodeString, AuthenticationSupported:UnicodeString, IsCompat:UInt8(Boolean), IsSecure:UInt8(Boolean), ConvertedToIppsUri:UInt8(Boolean), ServiceType:AnsiString",CallGraph-d2
??$DnsRecord@PEBGPEBGAEA_N@IppSearchActivity@DafIppTelemetry@@QEAAX$$QEAPEBG0AEA_N@Z,0x18000df3e,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},DnsRecord,5,0x400000000000,"DeviceUuid:UnicodeString, PrinterName:UnicodeString, CompatiblePdlSupported:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
?LogExceptionCaught_@DafIppTelemetry@@QEAAXJPEBD0I@Z,0x180018e65,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},ExceptionCaught,3,0x0,"HRESULT:Int32(HResult), Message:AnsiString, File:AnsiString, LineNum:UInt32",CallGraph-d2
?StartActivity@IppSearchActivity@DafIppTelemetry@@QEAAXXZ,0x18001338a,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},IppSearchActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@IppSearchActivity@DafIppTelemetry@@QEAAXH_N0J@Z,0x1800135f2,Microsoft.Windows.Print.DafIpp,{6D5CA4BB-DF8E-41BC-B554-8AEAB241F206},IppSearchActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, SearchType:AnsiString, NumPrinters:Int32, HResult:Int32",CallGraph-d2
