Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDafMcpLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800153e5,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDafMcpLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001552d,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StartActivity@Association@DafMcpTelemetry@@QEAAXXZ,0x18001afee,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},Association,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@Association@DafMcpTelemetry@@QEAAXPEBG_N@Z,0x18001b537,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},Association,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, AepId:UnicodeString, IsMps:UInt8(Boolean)",CallGraph-d2
?Stop@Association@DafMcpTelemetry@@QEAAXPEBG_N@Z,0x18001b6c8,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},Association,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, AepId:UnicodeString, IsMps:UInt8(Boolean)",CallGraph-d2
?StopActivity@Association@DafMcpTelemetry@@MEAAXXZ,0x18001b7b2,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},Association,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@Association@DafMcpTelemetry@@MEAAXXZ,0x18001b917,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},Association,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@McpSearchActivity@DafMcpTelemetry@@QEAAX_N0@Z,0x1800159ad,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},McpSearchActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, LocationQuery:UInt8(Boolean), LocalNetworkSearch:UInt8(Boolean)",CallGraph-d2
?Stop@McpSearchActivity@DafMcpTelemetry@@QEAAXHHH_N0J@Z,0x180015d9e,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},McpSearchActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, NumPrinters:Int32, DiscoveryUrls:Int32, LocationListSize:Int32, IsCloudPrintEnabled:UInt8(Boolean), IsMps:UInt8(Boolean), HResult:Int32",CallGraph-d2
?Stop@McpSearchActivity@DafMcpTelemetry@@QEAAXHHH_N0J@Z,0x180015e27,Microsoft.Windows.Print.DAFMCP,{BF3EAC2A-65CA-5ECC-2076-E23C6420A687},McpSearchActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, NumPrinters:Int32, DiscoveryUrls:Int32, LocationListSize:Int32, IsCloudPrintEnabled:UInt8(Boolean), IsMps:UInt8(Boolean), HResult:Int32",CallGraph-d2
