Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VWinRTDragDropTelemetry@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18002eba5,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VWinRTDragDropTelemetry@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18002eced,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VWinRTDragDropTelemetry@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18002f2f5,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@DropActivity@WinRTDragDropTelemetry@@QEAAXXZ,0x18002f233,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},DropActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@DropActivity@WinRTDragDropTelemetry@@MEAAXXZ,0x180015ac2,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},DropActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@DropActivity@WinRTDragDropTelemetry@@MEAAXXZ,0x180015c27,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},DropActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?AddDropTarget@DropTargetMapService@@EEAAJ_KPEAUIDropTargetProviderPriv@@@Z,0x18002c4fb,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},Info,4,0x0,"message:AnsiString, dropTargetId:UInt64",Direct-Preceding
?EnsureInternalManager@DragDropManager@@AEAAXXZ,0x180005bbc,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},Info,4,0x0,"message:AnsiString, dropTargetId:UInt64",Direct-Preceding
?EnsureInternalManager@DragDropManager@@AEAAXXZ,0x180005c99,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},Info,4,0x0,"message:AnsiString, windowId:UInt64",Direct-Preceding
?GetForWindow@DragDropManager@@SAJPEAUHWND__@@PEAUIInspectable@@AEBU_GUID@@PEAPEAX@Z,0x180005419,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},Info,4,0x0,message:AnsiString,Direct-Preceding
?GetForWindow@DragDropManager@@SAJPEAUHWND__@@PEAUIInspectable@@AEBU_GUID@@PEAPEAX@Z,0x180005585,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},Info,4,0x0,"message:AnsiString, windowId:UInt64",Direct-Preceding
?ResultLoggingCallback@@YAXAEBUFailureInfo@wil@@@Z,0x18001d3ff,Microsoft.Windows.DataExchange,{2383D505-AFDD-4705-85C6-CEB91179929C},ResultLoggingCallback,2,0x0,"file:AnsiString, lineNumber:UInt32, failureType:UInt32, failureCount:Int32, threadId:UInt32, hr:HexInt32, message:UnicodeString, code:AnsiString, function:AnsiString",Direct-Preceding
?NotifyFailure@?$ActivityBase@VDragDropContainerTelemetry@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180036ee5,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDragDropContainerTelemetry@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003702d,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDragDropContainerTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180037235,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VDragDropContainerTelemetry@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003737d,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VDragDropContainerTelemetry@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180038ab1,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$AvailableDataFormat@AEAY04$$CBG@CreateDataObjectFromHostData@DragDropContainerTelemetry@@QEAAXAEAY04$$CBG@Z,0x180031a0d,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},AvailableDataFormat,5,0x200000000000,formatId:UnicodeString,CallGraph-d2
??$AvailableDataFormat@AEAY06$$CBG@CreateDataObjectFromHostData@DragDropContainerTelemetry@@QEAAXAEAY06$$CBG@Z,0x180031a70,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},AvailableDataFormat,5,0x200000000000,formatId:UnicodeString,CallGraph-d2
??$AvailableDataFormat@AEAY0N@$$CBG@CreateDataObjectFromHostData@DragDropContainerTelemetry@@QEAAXAEAY0N@$$CBG@Z,0x180031ad8,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},AvailableDataFormat,5,0x200000000000,formatId:UnicodeString,CallGraph-d2
?StartActivityWithCorrelationVector@ContainerDragStarted@DragDropContainerTelemetry@@QEAAXPEBD@Z,0x180038950,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ContainerDragStarted,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, __TlgCV__:AnsiString",CallGraph-d2
?Stop@ContainerDragStarted@DragDropContainerTelemetry@@QEAAXIIPEBD@Z,0x180038b90,Microsoft.Windows.DragDropContainerTelemetry,{70F97128-9080-450E-BEC9-F8BB987FD6BC},ContainerDragStarted,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, WindowId:UInt32, PointerId:UInt32, CorrelationVector:AnsiString, PartA_PrivTags:UInt64",CallGraph-d2
