Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VDesktopStickerEditorTelemetryLogging@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800366e8,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VDesktopStickerEditorTelemetryLogging@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003682b,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VDesktopStickerEditorTelemetryLogging@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18003c4aa,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18002d9a3,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ActivityStoppedAutomatically,5,0x400000000000,(none),SingleProvider
?StartActivity@AddStickerActivity@DesktopStickerEditorTelemetry@@QEAAXXZ,0x180039615,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},AddStickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@AddStickerActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x18003c590,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},AddStickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@AddStickerActivity@DesktopStickerEditorTelemetry@@MEAAXXZ,0x18003c6f0,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},AddStickerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
?ApplicationStarted@DesktopStickerEditorTelemetry@@SAXXZ,0x180084f87,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},ApplicationStarted,5,0x400000000000,PartA_PrivTags:UInt64,SingleProvider
??$BackgroundStickersAppLaunched@AEAH@DesktopStickerEditorTelemetry@@SAXAEAH@Z,0x180070d1c,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},BackgroundStickersAppLaunched,5,0x0,sessionid:UInt32,SingleProvider
?StartActivity@DeleteStickerAnimationActivity@DesktopStickerEditorTelemetry@@QEAAXXZ,0x180044a81,Microsoft.Windows.Shell.DesktopStickerEditor,{3DDD8DC9-1EAC-5BAC-3FF6-338CCC3D3798},DeleteStickerAnimationActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
