Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VEcoScoreTaskTelemetry@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180005431,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?NotifyFailure@?$ActivityBase@VEcoScoreTaskTelemetry@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180005584,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?Stop@?$ActivityBase@VEcoScoreTaskTelemetry@@$00$0CAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18000693b,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
??$_tlgWriteActivityAutoStop@$0CAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180003092,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},ActivityStoppedAutomatically,5,0x200000000000,(none),SingleProvider
??$EcoScoreResultEvent@AEANAEANPEBG@EcoScoreTaskTelemetry@@SAXAEAN0$$QEAPEBG@Z,0x1800025e6,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},EcoScoreResultEvent,5,0x200000000000,"totalWeights:Double, totalWeightedScores:Double, jsonData:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180005d5f,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180005eb2,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?StartActivity@GetEcoScoreActivity@EcoScoreTaskTelemetry@@QEAAXXZ,0x180006737,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},GetEcoScoreActivity,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",SingleProvider
?StopActivity@GetEcoScoreActivity@EcoScoreTaskTelemetry@@MEAAXXZ,0x180006b27,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},GetEcoScoreActivity,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?StopActivity@GetEcoScoreActivity@EcoScoreTaskTelemetry@@MEAAXXZ,0x180006cb8,Microsoft.Windows.Sustainability.EcoScoreTaskTelemetry,{EAA71CFA-D95E-5D28-8153-18F5A4383751},GetEcoScoreActivity,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",SingleProvider
