Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAssignedAccessWmiTelemetry@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180006801,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VAssignedAccessWmiTelemetry@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180006954,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VAssignedAccessWmiTelemetry@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800080fb,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0CAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800037f2,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},ActivityStoppedAutomatically,5,0x200000000000,(none),GlobalFallback
?StartActivity@CreateInstance@AssignedAccessWmiTelemetry@@QEAAXXZ,0x180007c90,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},CreateInstance,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@CreateInstance@AssignedAccessWmiTelemetry@@MEAAXXZ,0x180008253,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},CreateInstance,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@CreateInstance@AssignedAccessWmiTelemetry@@MEAAXXZ,0x1800083e0,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},CreateInstance,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@DeleteInstance@AssignedAccessWmiTelemetry@@QEAAXXZ,0x180007da8,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},DeleteInstance,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@DeleteInstance@AssignedAccessWmiTelemetry@@MEAAXXZ,0x180008533,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},DeleteInstance,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@DeleteInstance@AssignedAccessWmiTelemetry@@MEAAXXZ,0x1800086c0,Microsoft.Windows.AssignedAccess.Wmi,{AB84611C-2678-5CD7-D292-C940F9BE6C6D},DeleteInstance,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
