Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VEoaExperiencesProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1400145d1,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VEoaExperiencesProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x140015023,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@HandleFocusChangeActivity@EoaExperiencesProvider@@QEAAXPEBGH@Z,0x140014bb2,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},HandleFocusChangeActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, controlType:Int32, controlName:UnicodeString",CallGraph-d2
?StopActivity@HandleFocusChangeActivity@EoaExperiencesProvider@@MEAAXXZ,0x140015677,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},HandleFocusChangeActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@HandleFocusChangeActivity@EoaExperiencesProvider@@MEAAXXZ,0x1400157ff,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},HandleFocusChangeActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@HandleTextChangeActivity@EoaExperiencesProvider@@QEAAXPEBGH@Z,0x140014c66,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},HandleTextChangeActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, controlType:Int32, controlName:UnicodeString",CallGraph-d2
?StopActivity@HandleTextChangeActivity@EoaExperiencesProvider@@MEAAXXZ,0x1400158b7,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},HandleTextChangeActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@HandleTextChangeActivity@EoaExperiencesProvider@@MEAAXXZ,0x140015a3f,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},HandleTextChangeActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@LocationFromTextPattern@EoaExperiencesProvider@@QEAAXXZ,0x140014da3,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},LocationFromTextPattern,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@LocationFromTextPattern@EoaExperiencesProvider@@QEAAXAEBUtagRECT@@@Z,0x140015511,Microsoft.Windows.Accessibility.EoaExperiencesProvider,{4FC86873-8185-5601-2B13-C6DFBC4FD2C8},LocationFromTextPattern,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, left:Int32, top:Int32, right:Int32, bottom:Int32",CallGraph-d2
