Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
EaiProcessNotification,0x1800038a3,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiProcessNotification,0x180003ee6,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Callback,4,0x0,EventHande:HexInt64,Direct-Preceding
EaiSignalAggregateCallback,0x18000535c,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Callback,4,0x0,EventHande:HexInt64,Direct-Preceding
EaiSignalAggregateCallback,0x180005397,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiSignalCallback,0x1800054df,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiSignalCallback,0x1800055b5,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Callback,4,0x0,EventHande:HexInt64,Direct-Preceding
EaiDisableAggregateEvent,0x180002b4e,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_ConditionEnableFailed,2,0x0,"EventHandle:HexInt64, Enabled:Bool32, Status:UInt32(NTStatus), CleanupStatus:UInt32(NTStatus)",Direct-Preceding
EaiEnableAggregateEvent,0x1800025ea,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_ConditionEnableFailed,2,0x0,"EventHandle:HexInt64, Enabled:Bool32, Status:UInt32(NTStatus), CleanupStatus:UInt32(NTStatus)",Direct-Preceding
EaCreateAggregation,0x18000197d,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_CreateAggregation,4,0x0,(none),Direct-Preceding
EaCreateAggregation,0x1800019c4,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_CreateAggregation,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaiCreateAggregation,0x180001d29,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_CreateAggregationFailed,2,0x0,"Status:UInt32(NTStatus), FailedCheck:UInt32",Direct-Preceding
EACreateAggregateEvent,0x180002176,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_CreateEvent,4,0x0,(none),Direct-Preceding
EACreateAggregateEvent,0x18000225b,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_CreateEvent,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EADeleteAggregateEvent,0x1800027f8,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_DeleteEvent,4,0x0,(none),Direct-Preceding
EADeleteAggregateEvent,0x18000281d,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_DeleteEvent,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaDisableAggregatedEvent,0x180008235,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_DisableEvent,4,0x0,(none),Direct-Preceding
EaDisableAggregatedEvent,0x1800082a1,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_DisableEvent,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaiDisableAggregateEvent,0x180002ad0,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_DisableInternal,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiDisableAggregateEvent,0x180002ba2,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_DisableInternal,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaEnableAggregatedEvent,0x180008355,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_EnableEvent,4,0x0,(none),Direct-Preceding
EaEnableAggregatedEvent,0x1800083bc,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_EnableEvent,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaiEnableAggregateEvent,0x180002687,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_EnableInternal,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiEnableAggregateEvent,0x18000270a,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_EnableInternal,4,0x0,"EventHandle:HexInt64, EventId:HexInt64, Status:UInt32(NTStatus), ChangeStamp:UInt32",Direct-Preceding
EAEnumerateAggregateEvents,0x180008046,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_EnumerateEvents,4,0x0,(none),Direct-Preceding
EAEnumerateAggregateEvents,0x180008175,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_EnumerateEvents,4,0x0,"EventCount:UInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaDeleteAggregatedEvent,0x18000124a,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_ExtractFailed,2,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaiExtractEventAggregation,0x180001387,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_ExtractFailed,2,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EAQueryAggregateEventData,0x180002f49,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Query,4,0x0,(none),Direct-Preceding
EAQueryAggregateEventData,0x18000300e,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Query,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaQueryAggregateEventConditionState,0x180008475,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_QueryConditionState,4,0x0,(none),Direct-Preceding
EaQueryAggregateEventConditionState,0x1800084ff,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_QueryConditionState,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaSignalAggregatedEvent,0x180001696,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Signal,4,0x0,(none),Direct-Preceding
EaSignalAggregatedEvent,0x1800016f0,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_Signal,4,0x0,"EventHandle:HexInt64, Status:UInt32(NTStatus)",Direct-Preceding
EaiSignalAggregateEvent,0x1800057eb,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_SignalInternal,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiSignalAggregateEvent,0x180005821,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Aggregate_SignalInternal,4,0x0,"EventHandle:HexInt64, EventId:HexInt64, CallbackType:UInt32",Direct-Preceding
EaiProcessNotification,0x180003db0,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiProcessNotification,0x180003e1b,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,"EventHandle:HexInt64, UseEaCallback:Bool32, CallbackType:UInt32",Direct-Preceding
EaiProcessNotification,0x180003e58,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiProcessNotification,0x180003eae,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiProcessNotification,0x180003f1e,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,"EventHandle:HexInt64, UseEaCallback:Bool32, CallbackType:UInt32",Direct-Preceding
EaiProcessNotification,0x18000409d,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiProcessNotification,0x1800040d5,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,"EventHandle:HexInt64, UseEaCallback:Bool32, CallbackType:UInt32",Direct-Preceding
EaiSignalCallback,0x18000557f,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiSignalCallback,0x1800055eb,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Callback,4,0x0,"EventHandle:HexInt64, UseEaCallback:Bool32, CallbackType:UInt32",Direct-Preceding
WnfEventCallback,0x180003469,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_Delete,4,0x0,(none),Direct-Preceding
EaiValidateParameters,0x18000233c,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_InvalidParameter,2,0x0,FailedCheck:UInt32,Direct-Preceding
EaiProcessNotification,0x180003ced,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_ProcessNotification,4,0x0,EventHandle:HexInt64,Direct-Preceding
EaiProcessNotification,0x18000415c,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_ProcessNotification,4,0x0,"EventHandle:HexInt64, SignaledEventId:HexInt64, CurrentState:UInt8, IsTrigger:Bool32, IsEdgeEvent:Bool32, OldLevel:Bool32, NewLevel:Bool32, Status:UInt32(NTStatus)",Direct-Preceding
EaiHandleTimeLimitReached,0x1800088a1,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_TimeLimitReached,4,0x0,"EventHandle:HexInt64, TimeLimitInSeconds:UInt32",Direct-Preceding
WnfEventCallback,0x180003414,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_WnfCallback,4,0x0,EventHandle:HexInt64,Direct-Preceding
WnfEventCallback,0x1800034ae,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},Event_WnfCallback,4,0x0,"EventHandle:HexInt64, SignaledEventId:HexInt64, ChangeStamp:UInt32, DataSize:UInt32, IsCondition:Bool32, LevelValue:Bool32, Status:UInt32(NTStatus), FailedCheck:UInt32",Direct-Preceding
EaiDumpAggregateEvent,0x18000860b,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},TraceRundown_AggregateEvent,4,0x0,"EventHandle:HexInt64, CallbackContext:HexInt64, Runtime:HexInt64, EventId:HexInt64",Direct-Preceding
EaiDumpConditionVisitNode,0x180008798,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},TraceRundown_Condition,4,0x0,"Depth:UInt16, ConditionEventId:HexInt64, State:Bool32, Type:UInt32, Flags:UInt32",Direct-Preceding
EaiDumpConditionVisitNode,0x180008725,Microsoft.Windows.EventAggregation,{10A875D8-AB5C-5BC3-7A8B-79293816F2C2},TraceRundown_Predicate,4,0x0,"Depth:UInt16, Operator:UInt32, ElementsCount:UInt32",Direct-Preceding
