Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CropAndStoreAmbientImage@AmbientLightSubtracterBase@Face@Analog@Windows@@QEAAXAEBUImageFrameDescriptor@234@PEAV?$vector@UFacePreprocessorOutput@Face@Analog@Windows@@V?$allocator@UFacePreprocessorOutput@Face@Analog@Windows@@@std@@@std@@@Z,0x180034e65,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterBase::CropAndStoreAmbientImage.IncorrectStride,4,0x0,(none),Direct-Preceding
?EvaluateAmbientFaceBrightness@AmbientLightSubtracterBase@Face@Analog@Windows@@AEAAJAEBUAmbientImageOfFace@234@JJAEBUFacePreprocessorOutput@234@V?$not_null@PEAM@gsl@@@Z,0x1800350d4,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterBase::EvaluateAmbientFaceBrightness.EvaluateBrightnessPerFace,3,0x0,HResult:Int32(HResult),Direct-Preceding
?Initialize@AmbientLightSubtracterBase@Face@Analog@Windows@@QEAAJXZ,0x180008718,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterBase::Initialize,4,0x0,(none),Direct-Preceding
?Initialize@AmbientLightSubtracterBase@Face@Analog@Windows@@QEAAJXZ,0x180008852,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterBase::Initialize.Failed,2,0x0,ResultCode:Int32(HResult),Direct-Preceding
?Initialize@AmbientLightSubtracterBase@Face@Analog@Windows@@QEAAJXZ,0x1800087c1,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterBase::Initialize.Succeeded,4,0x0,(none),Direct-Preceding
?Initialize@AmbientLightSubtracterBase@Face@Analog@Windows@@QEAAJXZ,0x18000880f,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterBase::Initialize.Succeeded,4,0x0,ResultCode:Int32(HResult),Direct-Preceding
?DeriveAffineTransformationOfFacePoints@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAJAEBU?$Point2d@M@234@00000AEAV?$Affine2DMatrix@M@234@@Z,0x180027bdc,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::DeriveAffineTransformationOfFacePoints.DeriveTransform,3,0x0,HResult:Int32(HResult),Direct-Preceding
?InitializeInternal@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAJXZ,0x180027dc8,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::InitializeInternal,4,0x0,(none),Direct-Preceding
?InitializeInternal@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAJXZ,0x180027e9f,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::InitializeInternal.Failed,2,0x0,ResultCode:Int32(HResult),Direct-Preceding
?InitializeInternal@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAJXZ,0x180027e3b,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::InitializeInternal.Succeeded,4,0x0,(none),Direct-Preceding
?RemoveAmbientLightFromFace@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAXAEBUAmbientImageOfFace@234@AEBV?$Affine2DMatrix@M@234@PEAUFacePreprocessorOutput@234@@Z,0x180028172,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::RemoveAmbientLightFromFace.Failed,2,0x0,ResultCode:Int32(HResult),Direct-Preceding
?RemoveAmbientLightFromFace@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAXAEBUAmbientImageOfFace@234@AEBV?$Affine2DMatrix@M@234@PEAUFacePreprocessorOutput@234@@Z,0x1800280e6,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::RemoveAmbientLightFromFace.Succeeded,4,0x0,(none),Direct-Preceding
?RemoveAmbientLightFromFace@AmbientLightSubtracterSecure@Face@Analog@Windows@@EEAAXAEBUAmbientImageOfFace@234@AEBV?$Affine2DMatrix@M@234@PEAUFacePreprocessorOutput@234@@Z,0x180028135,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::AmbientLightSubtracterSecure::RemoveAmbientLightFromFace.Succeeded,4,0x0,ResultCode:Int32(HResult),Direct-Preceding
?CreateFaceCache@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceFrameCache@Face@Analog@Windows@@U?$default_delete@VIFaceFrameCache@Face@Analog@Windows@@@std@@@std@@@Z,0x18001e2ef,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateFaceCache.Failed,2,0x0,ResultCode:Int32(HResult),Direct-Preceding
?CreateFaceCache@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceFrameCache@Face@Analog@Windows@@U?$default_delete@VIFaceFrameCache@Face@Analog@Windows@@@std@@@std@@@Z,0x18001e07c,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateFaceCache.SensorSessionInformationHasNotBeenPropagatedProperly,3,0x0,HResult:Int32(HResult),Direct-Preceding
?CreateFaceCache@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceFrameCache@Face@Analog@Windows@@U?$default_delete@VIFaceFrameCache@Face@Analog@Windows@@@std@@@std@@@Z,0x18001de56,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateFaceCache.StaticAdapterInfoHasNotBeenPropagatedProperly,3,0x0,HResult:Int32(HResult),Direct-Preceding
?CreateFaceCache@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceFrameCache@Face@Analog@Windows@@U?$default_delete@VIFaceFrameCache@Face@Analog@Windows@@@std@@@std@@@Z,0x18001e28b,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateFaceCache.Succeeded,4,0x0,(none),Direct-Preceding
?CreateInfraredFaceProcessor@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceProcessor@Face@Analog@Windows@@U?$default_delete@VIFaceProcessor@Face@Analog@Windows@@@std@@@std@@@Z,0x18001ce14,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateInfraredFaceProcessor.Failed,2,0x0,ResultCode:Int32(HResult),Direct-Preceding
?CreateInfraredFaceProcessor@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceProcessor@Face@Analog@Windows@@U?$default_delete@VIFaceProcessor@Face@Analog@Windows@@@std@@@std@@@Z,0x18001cb5a,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateInfraredFaceProcessor.SensorSessionInformationHasNotBeenPropagatedProperly,3,0x0,HResult:Int32(HResult),Direct-Preceding
?CreateInfraredFaceProcessor@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceProcessor@Face@Analog@Windows@@U?$default_delete@VIFaceProcessor@Face@Analog@Windows@@@std@@@std@@@Z,0x18001c93a,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateInfraredFaceProcessor.StaticAdapterInfoHasNotBeenPropagatedProperly,3,0x0,HResult:Int32(HResult),Direct-Preceding
?CreateInfraredFaceProcessor@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceProcessor@Face@Analog@Windows@@U?$default_delete@VIFaceProcessor@Face@Analog@Windows@@@std@@@std@@@Z,0x18001cd83,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateInfraredFaceProcessor.Succeeded,4,0x0,(none),Direct-Preceding
?CreateInfraredFaceProcessor@Face@Analog@Windows@@YAJPEAVStaticAdapterInfo@123@PEAVSensorSessionInformation@123@PEAV?$unique_ptr@VIFaceProcessor@Face@Analog@Windows@@U?$default_delete@VIFaceProcessor@Face@Analog@Windows@@@std@@@std@@@Z,0x18001cdd1,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::CreateInfraredFaceProcessor.Succeeded,4,0x0,ResultCode:Int32(HResult),Direct-Preceding
ErrorTelemetryHandler,0x18002838a,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ErrorTelemetryHandler,4,0x0,Error:UnicodeString,Direct-Preceding
?CheckIfTooMuchSaturatedPixelOnFace@ExposureEstimation@Face@Analog@Windows@@YAJAEBUFacePreprocessorOutput@234@V?$not_null@PEAW4ExposureStatus@Face@Analog@Windows@@@gsl@@@Z,0x18000cfc1,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::CheckIfTooMuchSaturatedPixelOnFace.InvalidDetectorResultAreaOrExtendedEvaluateArea,3,0x0,HResult:Int32(HResult),Direct-Preceding
?CheckIfTooMuchSaturatedPixelOnFace@ExposureEstimation@Face@Analog@Windows@@YAJAEBUFacePreprocessorOutput@234@V?$not_null@PEAW4ExposureStatus@Face@Analog@Windows@@@gsl@@@Z,0x18000d6d5,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::CheckIfTooMuchSaturatedPixelOnFace.Result,4,0x0,"SaturatedPatches:UInt32, SaturatedDarkPatches:UInt32, SaturatedPatchesInExtendedArea:UInt32, DynamicBadExposureRatio:Float, DynamicBadExposureRatioInExtendedArea:Float, ExposureStatus:UInt32, TooMuchSaturation:UInt8(Boolean)",Direct-Preceding
?CompareAreaBrightnessAndFace@ExposureEstimation@Face@Analog@Windows@@YAJAEBUtagRECT@@AEBUImageFrameDescriptor@234@MV?$not_null@PEA_N@gsl@@@Z,0x18003b810,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::CompareAreaBrightnessAndFace.InvalidImageStride,3,0x0,HResult:Int32(HResult),Direct-Preceding
?CompareAreaBrightnessAndFace@ExposureEstimation@Face@Analog@Windows@@YAJAEBUtagRECT@@AEBUImageFrameDescriptor@234@MV?$not_null@PEA_N@gsl@@@Z,0x18003b512,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::CompareAreaBrightnessAndFace.IsValidRect,3,0x0,HResult:Int32(HResult),Direct-Preceding
?EvaluateAmbientLightLevelInCleanInfraredImage@ExposureEstimation@Face@Analog@Windows@@YAJAEBUImageFrameDescriptor@234@AEAV?$vector@UFacePreprocessorOutput@Face@Analog@Windows@@V?$allocator@UFacePreprocessorOutput@Face@Analog@Windows@@@std@@@std@@@Z,0x18003bb7d,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::EvaluateAmbientLightLevelInCleanInfraredImage.CompareAreaBrightnessAndFaceLeftArea,3,0x0,HResult:Int32(HResult),Direct-Preceding
?EvaluateAmbientLightLevelInCleanInfraredImage@ExposureEstimation@Face@Analog@Windows@@YAJAEBUImageFrameDescriptor@234@AEAV?$vector@UFacePreprocessorOutput@Face@Analog@Windows@@V?$allocator@UFacePreprocessorOutput@Face@Analog@Windows@@@std@@@std@@@Z,0x18003bd49,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::EvaluateAmbientLightLevelInCleanInfraredImage.CompareAreaBrightnessAndFaceRightArea,3,0x0,HResult:Int32(HResult),Direct-Preceding
?EvaluateAmbientLightLevelInCleanInfraredImage@ExposureEstimation@Face@Analog@Windows@@YAJAEBUImageFrameDescriptor@234@AEAV?$vector@UFacePreprocessorOutput@Face@Analog@Windows@@V?$allocator@UFacePreprocessorOutput@Face@Analog@Windows@@@std@@@std@@@Z,0x18003bef1,Microsoft.Windows.Security.Biometrics.Face.DiagnosticsProvider,{63221D5A-4D00-4BE3-9D38-DE9AAF5D0258},Windows::Analog::Face::ExposureEstimation::EvaluateAmbientLightLevelInCleanInfraredImage.Failed,2,0x0,ResultCode:Int32(HResult),Direct-Preceding
