Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800a0bdf,Unknown,Unknown,ActivityStoppedAutomatically,5,0x0,(none),Unresolved
?CreateFaceTrackerInternalHelper@Internal@FaceAnalysis@Media@Windows@@YAJPEAV?$unique_ptr@VIFaceTrackerInternal@Internal@FaceAnalysis@Media@Windows@@U?$default_delete@VIFaceTrackerInternal@Internal@FaceAnalysis@Media@Windows@@@std@@@std@@@Z,0x18009d8f8,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},Error,5,0x400000000000,"PartA_PrivTags:UInt64, FailureInfo:AnsiString, ResultCode:Int32(HResult)",Direct-Preceding
?Detect@VideoFaceDetector@FaceDetector@Face@Analog@Windows@@QEAAJPEBEIII_JIIAEBUtagRECT@@IPEAUFaceRect@2345@PEAI4@Z,0x180032f18,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},Error,5,0x400000000000,"PartA_PrivTags:UInt64, FailureInfo:AnsiString, ResultCode:Int32(HResult)",Direct-Preceding
?Detect@VideoFaceDetector@FaceDetector@Face@Analog@Windows@@QEAAJPEBEIII_JIIAEBUtagRECT@@IPEAUFaceRect@2345@PEAI4@Z,0x180032f98,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},Error,5,0x400000000000,"PartA_PrivTags:UInt64, FailureInfo:AnsiString, ResultCode:Int32(HResult)",Direct-Preceding
?InitializeDetectorPool@VideoFaceDetector@FaceDetector@Face@Analog@Windows@@IEAAJIPEAVJointCascadeModel@2345@PEAV?$unique_ptr@VJDADetectorPool@FaceDetector@Face@Analog@Windows@@U?$default_delete@VJDADetectorPool@FaceDetector@Face@Analog@Windows@@@std@@@std@@@Z,0x1800a0130,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},Error,5,0x400000000000,"PartA_PrivTags:UInt64, FailureInfo:AnsiString, ResultCode:Int32(HResult)",Direct-Preceding
?ProcessNextFrame@FaceTracker@FaceDetector@Face@Analog@Windows@@UEAAJPEAUFaceFrameInternal@Internal@FaceAnalysis@Media@5@IPEAUFaceRectInternal@7895@PEAI@Z,0x180034214,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},Error,5,0x400000000000,"PartA_PrivTags:UInt64, FailureInfo:AnsiString, ResultCode:Int32(HResult), VideoFrameDetails:Struct(Boolean), BitmapWidth:UInt32, BitmapHeight:UInt32, Timestamp:UInt64",Direct-Preceding
?ProcessNextFrame@FaceTracker@FaceDetector@Face@Analog@Windows@@UEAAJPEAUFaceFrameInternal@Internal@FaceAnalysis@Media@5@IPEAUFaceRectInternal@7895@PEAI@Z,0x180034379,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},Error,5,0x400000000000,"PartA_PrivTags:UInt64, FailureInfo:AnsiString, ResultCode:Int32(HResult)",Direct-Preceding
?ProcessNextFrame@FaceTracker@FaceDetector@Face@Analog@Windows@@UEAAJPEAUFaceFrameInternal@Internal@FaceAnalysis@Media@5@IPEAUFaceRectInternal@7895@PEAI@Z,0x180034308,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},FaceTracker_ProcessNextFrame,5,0x0,(none),Direct-Preceding
?ProcessNextFrame@FaceTracker@FaceDetector@Face@Analog@Windows@@UEAAJPEAUFaceFrameInternal@Internal@FaceAnalysis@Media@5@IPEAUFaceRectInternal@7895@PEAI@Z,0x180034267,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},ProcessFrameSucceeded,4,0x0,"FacesFound:UInt32, VideoFrameDetails:Struct(Boolean), BitmapWidth:UInt32, BitmapHeight:UInt32, Timestamp:UInt64",Direct-Preceding
?ProcessNextFrame@FaceTracker@FaceDetector@Face@Analog@Windows@@UEAAJPEAUFaceFrameInternal@Internal@FaceAnalysis@Media@5@IPEAUFaceRectInternal@7895@PEAI@Z,0x1800342f0,Windows.Media.FaceAnalysis.Api,{27ACAA3C-09FE-5929-1466-DC5B0A189FFD},TrackerDetectedRectDetail,4,0x0,"VideoFrameDetails:Struct(Boolean), BitmapWidth:UInt32, BitmapHeight:UInt32, Timestamp:UInt64, DetectedRect:Struct(Hex), Left:Int32, Top:Int32, Right:Int32, Bottom:Int32",Direct-Preceding
