Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?SetAsyncStatus@FSSource@@IEAAXJ@Z,0x1800a71ce,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FSSourceAsyncError,2,0x200000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, SourceSessionId:GUID, HRESULT:HexInt32",Direct-Preceding
?SetStreamState@FSPinInfo@@QEAAJW4__MIDL___MIDL_itf_fsclienttypes_0000_0000_0002@@_NPEAUIFSContainerReference@@@Z,0x1800936e9,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FSStreamStart,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, ContextSession:GUID, SourceSessionId:GUID, PinIndex:HexInt32, SubType:GUID, FrameSourceType:UInt32, IsSpherical:UInt32, SphericalFormat:UInt32, HRESULT:HexInt32, ContainerId:GUID, StartDelayHns:UInt64",Direct-Preceding
?LogStreamTelemetry@FSStream@@IEAAJW4FrameServerStatType@@@Z,0x1800b5475,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FSStreamStats,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, SourceSessionId:GUID, ACLineStatus:UInt8, BatteryFlag:UInt8, BatteryLifePercent:UInt8, SystemStatusFlag:UInt8, SymbolicName:UnicodeString, FriendlyName:UnicodeString, StreamId:UInt32, StreamIndex:UInt32, StreamCategory:GUID, Mode:AnsiString, FrameServerStatType:AnsiString, TimeRange:UInt64, CameraInputCount:UInt64, CameraOutputCount:UInt64, CameraDropCount:UInt64, CameraStreamState:UInt32, CameraInputSubType:GUID, CameraInputWidth:UInt32, CameraInputHeight:UInt32, CameraInputFrameRate:Float, CameraOutputSubType:GUID, CameraOutputWidth:UInt32, CameraOutputHeight:UInt32, CameraOutputFrameRate:Float, CameraMinLatency:UInt64, CameraMaxLatency:UInt64, CameraAverageLatency:Float, CameraMinJitter:UInt64, CameraMaxJitter:UInt64, CameraAverageJitter:Float, CameraMinProcessingTime:UInt64, CameraMaxProcessingTime:UInt64, CameraAverageProcessingTime:Float, vCamSourceSessionId:GUID, vCamStartTime:UInt64, vCamEndTime:UInt64, vCamInputCount:UInt64, vCamOutputCount:UInt64, vCamDropCount:UInt64, vCamStreamState:UInt32, vCamInputSubType:GUID, vCamInputWidth:UInt32, vCamInputHeight:UInt32, vCamInputFrameRate:Float, vCamOutputSubType:GUID, vCamOutputWidth:UInt32, vCamOutputHeight:UInt32, vCamOutputFrameRate:Float, vCamMinLatency:UInt64, vCamMaxLatency:UInt64, vCamAverageLatency:Float, vCamMinJitter:UInt64, vCamMaxJitter:UInt64, vCamAverageJitter:Float, vCamMinProcessingTime:UInt64, vCamMaxProcessingTime:UInt64, vCamAverageProcessingTime:Float",Direct-Preceding
?SetStreamState@FSPinInfo@@QEAAJW4__MIDL___MIDL_itf_fsclienttypes_0000_0000_0002@@_NPEAUIFSContainerReference@@@Z,0x1800939d5,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FSStreamStop,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, ContextSession:GUID, SourceSessionId:GUID, PinIndex:HexInt32, HRESULT:HexInt32, ContainerId:GUID, StopDelayHns:UInt64",Direct-Preceding
?HandlePost@FSToastManager@@IEAAXPEAUIMFAsyncResult@@@Z,0x18004db3c,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FSToastManager_HandlePost,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, HRESULT:HexInt32, ToastError:HexInt32, ToastType:UInt32",Direct-Preceding
?AddSensorDevicesToContext@FSService@@UEAAJPEAXPEAUIFSClientContext@@KKPEAEK2@Z,0x18000bb5f,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerAddSourceByName,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, ContextSession:GUID, SourceSessionId:GUID, ShareMode:HexInt32, HRESULT:HexInt32",Direct-Preceding
?AddSourceByNameToContext@FSService@@UEAAJPEAXW4__MIDL___MIDL_itf_fsclienttypes_0000_0000_0018@@PEBGW4__MIDL___MIDL_itf_fsclienttypes_0000_0000_0001@@PEAUIFSClientContext@@KPEAEK5PEAKPEA_K@Z,0x18000cea6,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerAddSourceByName,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, ContextSession:GUID, SourceSessionId:GUID, ShareMode:HexInt32, HRESULT:HexInt32",Direct-Preceding
?CloseContext@FSClientContext@@UEAAXXZ,0x18006d7bd,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerClientClose,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, ContextSession:GUID, ContainerId:GUID, IsSettingsApp:Bool32, IsAiEffectEnlightened:Bool32, IsVCamProvidedSource:Bool32, BackgroundSegmentationChanged:UInt32, AutoFramingChanged:UInt32, EyeContactChanged:UInt32, Effect1Changed:UInt32, Effect2Changed:UInt32, VideoHDRChanged:UInt32, SecureModeChanged:UInt32",Direct-Preceding
?Initialize@FSClientContext@@IEAAJPEAXPEAUIUnknown@@KPEAUIMFAttributes@@21AEBU_GUID@@T__MIDL___MIDL_itf_fsserviceapi_0000_0000_0008@@PEA_K@Z,0x180070fb1,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerClientCreate,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, HRESULT:HexInt32, ContextSession:GUID, SelectedProfileType:GUID, SelectedProfileIndex:UInt32, ContainerId:GUID, PowerState:UInt32",Direct-Preceding
?OnIdleTimeout@FSService@@IEAAXPEAUIMFAsyncResult@@@Z,0x180013a18,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerIdleTimeOut,4,0x200000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, TimeOut:UInt32",Direct-Preceding
?Initialize@FSService@@UEAAJPEAUIFSEventLogger@@PEAXK@Z,0x180010602,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerInitialize,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, HRESULT:HexInt32",Direct-Preceding
?RegisterRpcInterface@FSService@@IEAAJPEBG@Z,0x180014c94,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerRegisterRpcInterface,2,0x200000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, HRESULT:HexInt32",Direct-Preceding
?SaveDeviceConfiguration@FSService@@UEAAJPEAUIFSClientContext@@PEAEKPEBG21K@Z,0x180016321,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerSaveDeviceConfiguration,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, Key:UnicodeString, DataLength:HexInt32, HRESULT:HexInt32",Direct-Preceding
?KsProperty@FSSource@@UEAAJPEAUIFSClientContextInfo@@_N1KKKPEAUKSIDENTIFIER@@KPEAXKPEAK@Z,0x1800a22a3,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerSecureStreaming,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, SecureModeSetting:Bool32",Direct-Preceding
?Shutdown@FSService@@UEAAJXZ,0x180016de1,Microsoft.Windows.MediaFoundation.FrameServer,{EC50B9C2-B123-4552-931F-C4826F70A67E},FrameServerShutdown,0,0x400000000000,"FrameServerSessionGuid:GUID, PartA_PrivTags:UInt64, ClientsCreated:UInt32, MaxConcurrentClients:UInt32, SensorGroupUpdateFlag:UInt32",Direct-Preceding
