Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_18001CEC8,0x18001cf3f,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneAcceptIncomingEx,4,0x400000000000,"PartA_PrivTags:UInt64, TbsDeviceInterfaceId:UnicodeString, CallId:UInt32, HResult:Int32(HResult)",CallGraph-d1
sub_18001CBD8,0x18001cc45,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneConference,4,0x400000000000,"PartA_PrivTags:UInt64, CallId1:UInt32, CallId2:UInt32, HResult:Int32(HResult)",CallGraph-d1
sub_18001CF8C,0x18001d00d,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneDial,4,0x400000000000,"PartA_PrivTags:UInt64, HResult:Int32(HResult)",CallGraph-d1
sub_18001CCD0,0x18001cd31,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneDropAcceptEx,4,0x400000000000,"PartA_PrivTags:UInt64, TbsDeviceInterfaceId:UnicodeString, HResult:Int32(HResult)",CallGraph-d1
sub_18001D050,0x18001d0c7,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneEndEx,4,0x400000000000,"PartA_PrivTags:UInt64, TbsDeviceInterfaceId:UnicodeString, CallId:UInt32, HResult:Int32(HResult)",CallGraph-d1
sub_18001D114,0x18001d176,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhonePrivate,4,0x400000000000,"PartA_PrivTags:UInt64, CallId1:UInt32, HResult:Int32(HResult)",CallGraph-d1
sub_18001D1F0,0x18001d267,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneRejectIncomingEx,4,0x400000000000,"PartA_PrivTags:UInt64, TbsDeviceInterfaceId:UnicodeString, CallId:UInt32, HResult:Int32(HResult)",CallGraph-d1
unknown_libname_11,0x18001ce5d,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneSetHoldEx,4,0x400000000000,"PartA_PrivTags:UInt64, CallSetToHold:Bool32, CallId1:UInt32, TbsDeviceInterfaceId:UnicodeString, HResult:Int32(HResult)",CallGraph-d1
sub_18001CB3C,0x18001cb9d,Microsoft.Windows.Bluetooth.Telephony.AsyncPhoneController,{257D541D-16D8-433C-B421-9AE2255DF475},PhoneSwapEx,4,0x400000000000,"PartA_PrivTags:UInt64, TbsDeviceInterfaceId:UnicodeString, HResult:Int32(HResult)",CallGraph-d1
sub_180009944,0x180009f67,Microsoft.Windows.HidTelephony,{32A214F0-6D7F-4068-9085-862E1385C829},AsyncPhoneControllerInitializeWaitTime,5,0x400000000000,"Count:Int64, DurationTotal_ms:Int64, DurationMax_ms:Int64, PartA_PrivTags:UInt64",Direct-Preceding
