Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
IkeBeginMMInitiator,0x180015eaa,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},CLEAR_NLB_STATE,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString",Direct-Preceding
IkeFindCorrectMMFilterFromArray,0x180036d97,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IKE_EVENT_GENERIC,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString",Direct-Preceding
IkeGetNextSspiToken,0x180083808,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},ISCGetnexttoken,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Result:UInt32, Attributes:HexInt32",Direct-Preceding
IkeParseAttributesIkeV2,0x180117ea8,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},Ike2InvalidQMAttr,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, Attrib:UInt32, Data:UInt32",Direct-Preceding
IkeDecrypt,0x1800b6403,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAES_GCMAuthTagError,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString",Direct-Preceding
IkeMMRetransCallback,0x18002f09d,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAbortMMProbe,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkePerformPostponedMMWork,0x18000292b,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAbortMMSA,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeMMRetransCallback,0x18002f794,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAbortSaInit,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, TimerContext:HexInt64, MMSA:HexInt64, MaxRetransmits:UInt32",Direct-Preceding
IkeIsMMProposalValidIkeV2,0x1800fa38a,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcceptMMProposal,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, LocalPolicyProposal:UInt32, ReceivedTransform:Int32",Direct-Preceding
IkeIsMMProposalValid,0x1800f9d46,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcceptedMMProposal,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, LocalPolicyProposal:UInt32, ReceivedTransform:UInt32",Direct-Preceding
IkeAreQMProposalsValid,0x1800f836c,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcceptedQMProposal,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, LocalPolicyProposal:UInt32, ReceivedProposal:UInt32, Transform:UInt32",Direct-Preceding
IkeAreQMProposalsValidIkeV2,0x1800f885f,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcceptedQMProposal,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, LocalPolicyProposal:UInt32, ReceivedProposal:UInt32, Transform:UInt32",Direct-Preceding
IkeAcquireCredentialsHandleHelper,0x1800429cd,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAch,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, ACH:UInt32",Direct-Preceding
IkeAcquireCredentialsHandleHelper,0x180042aa2,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAchErr,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, ACHLastError:UInt32",Direct-Preceding
IkeIsAcquireCompatible,0x18001a823,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireCertMissing,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x18001a703,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireHashMismatch,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x18001a9b3,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireIdMismatch,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x18001a453,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireIncompatible,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x18001a8c3,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireMMMismatch,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeFindNextCompatibleSa,0x180018943,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireMmsaIncompatible,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, acquire:HexInt64, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x18001a3c3,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquirePolicyMismatch,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x18001916b,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireSaInactive,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
IkeIsAcquireCompatible,0x1800191b8,Microsoft.Windows.Networking.Ikeext,{E7BA355A-EC20-5993-DD3B-9215E4D8A23C},IkeAcquireSaInactive,4,0x0,"MMLuid:UInt64, PeerAddress:UnicodeString, Message:AnsiString, MMSA:HexInt64",Direct-Preceding
