Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VJapaneseImeTraceLoggingProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800481b5,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VJapaneseImeTraceLoggingProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800482fd,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VJapaneseImeTraceLoggingProvider@@$00$0CAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180048f36,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ActivityIntermediateStop,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$CandidateSearched@AEAPEBG@JapaneseImeTraceLoggingTelemetry@@SAXAEAPEBG@Z,0x18005120d,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},CandidateSearched,5,0x400000000000,candForm:UnicodeString,CallGraph-d1
??$CandidateSearched@AEAY06$$CBG@JapaneseImeTraceLoggingTelemetry@@SAXAEAY06$$CBG@Z,0x180031865,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},CandidateSearched,5,0x400000000000,candForm:UnicodeString,CallGraph-d1
?CandidateSelected@JapaneseImeTraceLoggingTelemetry@@SAXKHK@Z,0x180031e9b,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},CandidateSelected,5,0x400000000000,"durationMillisecondsToSelection:UInt32, selectedCandidateIndex:Int32, durationMillisecondsToOpen:UInt32",CallGraph-d1
?CloudCandidatePlaceHolderShown@JapaneseImeTraceLoggingTelemetry@@SAXXZ,0x18001a77b,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},CloudCandidatePlaceHolderShown,5,0x400000000000,(none),CallGraph-d1
?CloudCandidateShown@JapaneseImeTraceLoggingTelemetry@@SAXXZ,0x18003213a,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},CloudCandidateShown,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?FocusSet@JapaneseImeTraceLoggingTelemetry@@SAX_NI@Z,0x18003c73a,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},FocusSet,5,0x400000000000,"imeOn:UInt8(Boolean), conversionMode:AnsiString",CallGraph-d1
?MenuSelected@JapaneseImeTraceLoggingTelemetry@@SAXPEBD0K@Z,0x18005d462,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},MenuSelected,5,0x400000000000,"entryPoint:AnsiString, menuCommand:AnsiString, menuCommandId:UInt32",CallGraph-d1
?StartActivity@ModeSwitchActivity@JapaneseImeTraceLoggingTelemetry@@QEAAXW4SwitchMethod@@@Z,0x180048de7,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ModeSwitchActivity,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, switchMethod:AnsiString",CallGraph-d1
?StopActivity@ModeSwitchActivity@JapaneseImeTraceLoggingTelemetry@@MEAAXXZ,0x180049002,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ModeSwitchActivity,5,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@ModeSwitchActivity@JapaneseImeTraceLoggingTelemetry@@MEAAXXZ,0x180049167,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ModeSwitchActivity,5,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$ModeSwitchAttempt@AEAY04$$CBDAEAY00$$CBD@JapaneseImeTraceLoggingTelemetry@@SAXAEAY04$$CBDAEAY00$$CBD@Z,0x1800453d6,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},ModeSwitchAttempt,5,0x400000000000,"method:AnsiString, aux:AnsiString",CallGraph-d1
