Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18006c4a6,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18006c5f7,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0IAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18007d656,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0xa00000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VIrisServiceLogging@@$00$0IAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18007d7a7,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityError,2,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180038198,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VIrisServiceLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800381be,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180061c51,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0IAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x18007ae21,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ActivityStoppedAutomatically,5,0x800000000000,(none),GlobalFallback
??$AssetDownloadingHttpResponse@PEB_WPEB_W@IrisServiceLogging@@SAX$$QEAPEB_W0@Z,0x18009f542,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},AssetDownloadingHttpResponse,5,0x400000000000,"host:UnicodeString, statusCode:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$BackgroundTaskAction@PEB_WPEB_WPEB_WAEA_N@IrisServiceLogging@@SAX$$QEAPEB_W00AEA_N@Z,0x180082b11,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskAction,5,0x400000000000,"pId:UnicodeString, action:UnicodeString, timestamp:UnicodeString, success:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d1
??$BackgroundTaskCompleted@AEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x18004a6aa,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskCompleted,5,0x400000000000,"trigger:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$BackgroundTaskException@AEAJ@IrisServiceLogging@@SAXAEAJ@Z,0x180082bca,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskException,5,0x400000000000,"hr:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$BackgroundTaskTriggered@AEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x18003d9b4,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskTriggered,5,0x400000000000,"trigger:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$BackgroundTaskTriggered@AEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x18003d9f1,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},BackgroundTaskTriggered,5,0x400000000000,"trigger:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$CTACFlightIds@PEB_W@IrisServiceLogging@@SAX$$QEAPEB_W@Z,0x18004a897,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},CTACFlightIds,5,0x400000000000,"FlightIds:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConcurrentBackgroundTasksRunning@AEAJAEAW4BackgroundTaskTrigger@IrisService@winrt@@@IrisServiceLogging@@SAXAEAJAEAW4BackgroundTaskTrigger@IrisService@winrt@@@Z,0x18005dbd5,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},ConcurrentBackgroundTasksRunning,5,0x400000000000,"runningTask:Int32, newTask:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$CreativeControl@PEB_W@IrisServiceLogging@@SAX$$QEAPEB_W@Z,0x180045d6f,Microsoft.Windows.IrisService,{B84EB1F9-E572-5B45-34AB-56CDF25A2A85},CreativeControl,5,0x400000000000,"CreativeId:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
