Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$AppActivated@AEBW4ActivationKind@Activation@ApplicationModel@Windows@winrt@@W4ApplicationExecutionState@2345@PEB_W@LogonWebHostTelemetry@@SAXAEBW4ActivationKind@Activation@ApplicationModel@Windows@winrt@@$$QEAW4ApplicationExecutionState@2345@$$QEAPEB_W@Z,0x180062e90,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},AppActivated,5,0xc00000000000,"kind:Int32, previousExecutionState:Int32, uri:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?AppSuspending@LogonWebHostTelemetry@@SAXXZ,0x180064f34,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},AppSuspending,4,0x0,PartA_PrivTags:UInt64,CallGraph-d2
??$BridgeEventCalled@AEAY0BJ@$$CB_WPEB_W@LogonWebHostTelemetry@@SAXAEAY0BJ@$$CB_W$$QEAPEB_W@Z,0x18003ae0e,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},BridgeEventCalled,4,0x0,"name:UnicodeString, data:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$BridgeEventCalled@AEAY0BM@$$CB_WPEB_W@LogonWebHostTelemetry@@SAXAEAY0BM@$$CB_W$$QEAPEB_W@Z,0x18003ae7e,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},BridgeEventCalled,4,0x0,"name:UnicodeString, data:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$BridgeEventCalled@AEAY0BN@$$CB_WPEB_W@LogonWebHostTelemetry@@SAXAEAY0BN@$$CB_W$$QEAPEB_W@Z,0x18003aeee,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},BridgeEventCalled,4,0x0,"name:UnicodeString, data:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?CloseAppSuccess@LogonWebHostTelemetry@@SAXXZ,0x180022d93,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},CloseAppSuccess,5,0xc00000000000,PartA_PrivTags:UInt64,CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180003fa9,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000416b,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
??$FirstWebAppVisible@PEB_W@LogonWebHostTelemetry@@SAX$$QEAPEB_W@Z,0x18001b2c9,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},FirstWebAppVisible,5,0xc00000000000,"scenario:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$FooterButtonError@W4FooterButtonType@@J@LogonWebHostTelemetry@@SAX$$QEAW4FooterButtonType@@$$QEAJ@Z,0x180009e53,Microsoft.Windows.Shell.LogonWebHost,{C56EA011-A2DF-5994-2E0D-89443807B4C8},FooterButtonError,5,0x400000000000,"buttonType:Int32, hr:Int32, PartA_PrivTags:UInt64",CallGraph-d2
