Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?TryOpenChannel@COMWidgetChannel@ProviderCommunication@ServiceRunTime@@AEAAX_N@Z,0x180053e2c,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},ActivateApplicationWidgetProvider,5,0x0,"clsid:UnicodeString, reconnecting:UInt8(Boolean)",CallGraph-d1
??$AppExtensionPackageAdded@PEBDPEB_W_K@WidgetsTraceLoggingProvider@@SAX$$QEAPEBD$$QEAPEB_W$$QEA_K@Z,0x18001c924,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},AppExtensionPackageAdded,5,0x400000000000,"catalog:AnsiString, providerId:UnicodeString, addOrUpdateDefinitions:Int32, PartA_PrivTags:UInt64",CallGraph-d1
??$AppExtensionPackageAdded@PEBDPEB_W_K@WidgetsTraceLoggingProvider@@SAX$$QEAPEBD$$QEAPEB_W$$QEA_K@Z,0x18001c959,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},AppExtensionPackageAdded,5,0x400000000000,"catalog:AnsiString, providerId:UnicodeString, addOrUpdateDefinitions:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?AppExtensionPackageUpdated@?$WidgetCatalogImpl@UFeedDefinition@Hosts@Feeds@Widgets@Windows@Microsoft@winrt@@UFeedProviderDefinition@234567@UFeedCatalogAppExtension@CatalogHelperStructs@@@@AEAAXAEBUAppExtensionCatalog@AppExtensions@ApplicationModel@Windows@winrt@@AEBUAppExtensionPackageUpdatedEventArgs@3456@@Z,0x18001a877,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},AppExtensionPackageUpdated,5,0x400000000000,"catalog:AnsiString, providerId:UnicodeString, deleteDefinitions:Int32, deleteProviderDefinitions:Int32, addOrUpdateDefinitions:Int32, AddOrUpdateProviderDefinitions:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?AppExtensionPackageUpdated@?$WidgetCatalogImpl@UFeedDefinition@Hosts@Feeds@Widgets@Windows@Microsoft@winrt@@UFeedProviderDefinition@234567@UFeedCatalogAppExtension@CatalogHelperStructs@@@@AEAAXAEBUAppExtensionCatalog@AppExtensions@ApplicationModel@Windows@winrt@@AEBUAppExtensionPackageUpdatedEventArgs@3456@@Z,0x18001a8a9,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},AppExtensionPackageUpdated,5,0x400000000000,"catalog:AnsiString, providerId:UnicodeString, deleteDefinitions:Int32, deleteProviderDefinitions:Int32, addOrUpdateDefinitions:Int32, AddOrUpdateProviderDefinitions:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?AppExtensionPackageUpdated@?$WidgetCatalogImpl@UWidgetDefinition@Hosts@Widgets@Windows@Microsoft@winrt@@UWidgetProviderDefinition@23456@UWidgetCatalogAppExtension@CatalogHelperStructs@@@@AEAAXAEBUAppExtensionCatalog@AppExtensions@ApplicationModel@Windows@winrt@@AEBUAppExtensionPackageUpdatedEventArgs@3456@@Z,0x180073b77,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},AppExtensionPackageUpdated,5,0x400000000000,"catalog:AnsiString, providerId:UnicodeString, deleteDefinitions:Int32, deleteProviderDefinitions:Int32, addOrUpdateDefinitions:Int32, AddOrUpdateProviderDefinitions:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?AppExtensionPackageUpdated@?$WidgetCatalogImpl@UWidgetDefinition@Hosts@Widgets@Windows@Microsoft@winrt@@UWidgetProviderDefinition@23456@UWidgetCatalogAppExtension@CatalogHelperStructs@@@@AEAAXAEBUAppExtensionCatalog@AppExtensions@ApplicationModel@Windows@winrt@@AEBUAppExtensionPackageUpdatedEventArgs@3456@@Z,0x180073ba9,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},AppExtensionPackageUpdated,5,0x400000000000,"catalog:AnsiString, providerId:UnicodeString, deleteDefinitions:Int32, deleteProviderDefinitions:Int32, addOrUpdateDefinitions:Int32, AddOrUpdateProviderDefinitions:Int32, PartA_PrivTags:UInt64",CallGraph-d1
?TryOpenChannel@COMWidgetChannel@ProviderCommunication@ServiceRunTime@@AEAAX_N@Z,0x1800538e0,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},CreateCOMInstanceWidgetProvider,5,0x0,"clsid:UnicodeString, reconnecting:UInt8(Boolean)",CallGraph-d1
??$DeleteSessionAsyncCallContext@PEB_WPEB_WAEAY0BC@$$CB_W@WidgetsTraceLoggingProvider@@SAX$$QEAPEB_W0AEAY0BC@$$CB_W@Z,0x180052104,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$DeleteSessionAsyncCallContext@PEB_WPEB_WAEAY0BE@$$CB_W@WidgetsTraceLoggingProvider@@SAX$$QEAPEB_W0AEAY0BE@$$CB_W@Z,0x18002acd5,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?OnDefinitionDeleted@WidgetHostManager@implementation@Hosts@Internal@Widgets@Windows@Microsoft@winrt@@AEAAXUIInspectable@Foundation@68@AEBUhstring@8@@Z,0x18004c726,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?OnProviderDefinitionDeleted@FeedHostManager@implementation@Hosts@Feeds@Internal@Widgets@Windows@Microsoft@winrt@@AEAAXUIInspectable@Foundation@79@AEBUhstring@9@@Z,0x18002424b,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?RecoverExistingFeedCoordinators@FeedHostManager@implementation@Hosts@Feeds@Internal@Widgets@Windows@Microsoft@winrt@@SAXXZ,0x1800262b3,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?RecoverExistingWidgets@WidgetHostManager@implementation@Hosts@Internal@Widgets@Windows@Microsoft@winrt@@SAXXZ,0x180050abd,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
winrt::Microsoft::Windows::Widgets::Internal::Feeds::Hosts::implementation::FeedHostManager::DeleteAsync$_ResumeCoro$1,0x1800aeefd,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
winrt::Microsoft::Windows::Widgets::Internal::Hosts::implementation::WidgetHostManager::DeleteAsync$_ResumeCoro$1,0x1800b926e,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},DeleteSessionAsyncCallContext,5,0x400000000000,"providerId:UnicodeString, sessionId:UnicodeString, context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d3
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180021098,Microsoft.Windows.Widgets,{FE4610E0-3027-5467-2B37-2A6755E4B60E},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
