Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?GetActivatedEventArgs@AppLifecycleTelemetry@@SAXXZ,0x1800143cf,Microsoft.Windows.AppLifecycle,{129A9300-9EA3-40B1-922B-43D46349BB91},GetActivatedEventArgs,5,0x400000000000,"COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64",CallGraph-d1
?RedirectActivationToAsync@AppLifecycleTelemetry@@SAXXZ,0x18001455f,Microsoft.Windows.AppLifecycle,{129A9300-9EA3-40B1-922B-43D46349BB91},RedirectActivationToAsync,5,0x400000000000,"COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64",CallGraph-d1
?Restart@AppLifecycleTelemetry@@SAXXZ,0x1800146ef,Microsoft.Windows.AppLifecycle,{129A9300-9EA3-40B1-922B-43D46349BB91},Restart,5,0x400000000000,"COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, PartA_PrivTags:UInt64",CallGraph-d1
?LogAddExecutableFileExtension_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x18008982c,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogAddExecutableFileExtension,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?LogAppendToPath_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x18008948c,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogAppendToPath,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?LogCreateForMachine_@EnvironmentManagerInsights@@QEAAXXZ,0x180088d53,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogCreateForMachine,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32",CallGraph-d1
?LogCreateForProcess_@EnvironmentManagerInsights@@QEAAXXZ,0x180088a2b,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogCreateForProcess,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32",CallGraph-d1
?LogCreateForUser_@EnvironmentManagerInsights@@QEAAXXZ,0x180088bbf,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogCreateForUser,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32",CallGraph-d1
?LogGetEnvironmentVariable_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x1800890ec,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogGetEnvironmentVariable,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?LogGetEnvironmentVariables_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x180088f1c,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogGetEnvironmentVariables,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?LogRemoveExecutableFileExtension_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x1800899fc,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogRemoveExecutableFileExtension,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?LogRemoveFromPath_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x18008965c,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogRemoveFromPath,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?LogSetEnvironmentVariable_@EnvironmentManagerInsights@@QEAAXW4Scope@EnvironmentManager@implementation@System@Windows@Microsoft@winrt@@@Z,0x1800892bc,Microsoft.Windows.System.EnvironmentManager.Insights,{FBCE41FA-F7BC-538E-11F2-ABE1B9D2AB23},LogSetEnvironmentVariables,5,0x400000000000,"PartA_PrivTags:UInt64, COMMON_WINDOWSAPPSDK_PARAMS:Struct(Hex), Version:AnsiString, WindowsAppSDKChannel:AnsiString, IsDebugging:Bool32, UTCReplace_AppSessionGuid:Bool32, Scope:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowsAppRuntimeDeployment_TraceLogger@@$00$0IAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180083255,Microsoft.WindowsAppRuntime.Deployment,{838D2CC1-0EFB-564A-47BF-FABA17949992},ActivityError,2,0xa00000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VWindowsAppRuntimeDeployment_TraceLogger@@$00$0IAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800833a6,Microsoft.WindowsAppRuntime.Deployment,{838D2CC1-0EFB-564A-47BF-FABA17949992},ActivityError,2,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
