Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VMicrosoftGraphRecentItemsManagerTelemetryLogging@@$0A@$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1801b6119,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1801b46a4,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
?StartActivity@CheckLimitedAccessFeatureForHandler@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXXZ,0x1801b6668,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},CheckLimitedAccessFeatureForHandler,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?Stop@CheckLimitedAccessFeatureForHandler@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAX_N@Z,0x1801b6729,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},CheckLimitedAccessFeatureForHandler,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, enabled:UInt8(Boolean)",CallGraph-d1
?Stop@CheckLimitedAccessFeatureForHandler@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAX_N@Z,0x1801b68c3,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},CheckLimitedAccessFeatureForHandler,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, enabled:UInt8(Boolean)",CallGraph-d1
?StopActivity@CheckLimitedAccessFeatureForHandler@MicrosoftGraphRecentItemsManagerTelemetry@@MEAAXXZ,0x1801b69ee,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},CheckLimitedAccessFeatureForHandler,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StopActivity@CheckLimitedAccessFeatureForHandler@MicrosoftGraphRecentItemsManagerTelemetry@@MEAAXXZ,0x1801b6b70,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},CheckLimitedAccessFeatureForHandler,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?DismissRecommendationEvent@MicrosoftGraphRecentItemsManagerTelemetry@@SAXXZ,0x180128501,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},DismissRecommendationEvent,5,0x0,(none),CallGraph-d2
?DismissRecommendationsMetrics_@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXV?$shared_ptr@VIRecommendedDismissTelemetryReader@Telemetry@MicrosoftGraphRecentItemsManager@@@std@@@Z,0x1801288ec,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},DismissRecommendationsMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, snoozeDurationHrs:UInt64, acquireRecommendationsMutexDurationMs:UInt64, acquireRecommendationsMutexResultCode:Int32(HResult), areRequiredArgsProvided:UInt8(Boolean), addToFilterListDurationMs:UInt64, addToFilterListResultCode:Int32(HResult), writeToDestListDurationMs:UInt64, writeToDestListResultCode:Int32(HResult), getAuthTokenDurationMs:UInt64, getAuthTokenResultCode:Int32(HResult), getAuthTokenRetryCount:Int32, getAuthTokenTotalWaitInterval:UInt64, dismissDurationMs:UInt64, dismissResultCode:Int32(HResult), dismissRetryCount:Int32, dismissTotalWaitIntervalMs:UInt64, removeFromFilterListDurationMs:UInt64, removeFromFilterListResultCode:Int32(HResult), totalDurationMs:UInt64, overallResultCode:Int32(HResult)",CallGraph-d2
??$EdgeworthResponseNotCompleteDiagnostics@AEAHHPEB_WPEB_WPEB_WPEB_W@MicrosoftGraphRecentItemsManagerTelemetry@@SAXAEAH$$QEAH$$QEAPEB_W222@Z,0x18022ecdc,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},EdgeworthResponseNotCompleteDiagnostics,5,0x200000000000,"httpStatusCode:UInt32, responseCode:UInt32, serverCorrelationId:UnicodeString, correlationId:UnicodeString, extendedInfo:UnicodeString, buildNumber:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18009c6b9,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180111056,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?LimitedAccessFeatureResult@CheckLimitedAccessFeatureForHandler@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXI@Z,0x1801b5fe5,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},LimitedAccessFeatureResult,5,0x0,limitedAccessFeatureStatus:UInt32,CallGraph-d1
?PinFileKnownItemMetrics_@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXV?$shared_ptr@VIPinFileTelemetryReader@Telemetry@MicrosoftGraphRecentItemsManager@@@std@@@Z,0x180136bb7,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},PinFileKnownItemMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, action:UnicodeString, result:Int32(HResult), acquireLockDurationMs:UInt64, loadDestListDurationMs:UInt64, findItemInDestListDurationMs:UInt64, pinKnownItemResult:Int32(HResult), pinKnownItemLoadDestListDurationMs:UInt64, pinKnownItemUpdateItemInPersistentCacheResult:Int32(HResult), pinKnownItemUpdateItemInPersistentCacheDurationMs:UInt64, pinKnownItemAcquireUserTokenResult:Int32(HResult), pinKnownItemAcquireUserTokenDurationMs:UInt64, pinKnownItemUpdatePinStateOnServiceResult:Int32(HResult), pinKnownItemUpdatePinStateOnServiceDurationMs:UInt64, pinKnownItemUpdatePinStateOnServiceTotalWaitIntervalMs:UInt64, pinKnownItemUpdatePinStateOnServiceRetryCount:UInt16, pinKnownItemSyncPinStateResult:Int32(HResult), pinKnownItemSyncPinStateDurationMs:UInt64",CallGraph-d2
?PinFileUnknownItemMetrics_@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXV?$shared_ptr@VIPinFileTelemetryReader@Telemetry@MicrosoftGraphRecentItemsManager@@@std@@@Z,0x1801372e8,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},PinFileUnknownItemMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, action:UnicodeString, result:Int32(HResult), acquireLockDurationMs:UInt64, loadDestListDurationMs:UInt64, findItemInDestListDurationMs:UInt64, pinUnknownItemResult:Int32(HResult), pinUnknownItemLoadDestListDurationMs:UInt64, pinUnknownItemAddItemToPersistentCacheResult:Int32(HResult), pinUnknownItemAddItemToPersistentCacheDurationMs:UInt64, writeUnknownItemPinStatusGetUserTokensAADResult:Int32(HResult), writeUnknownItemPinStatusGetUserTokensAADDurationMs:UInt64, writeUnknownItemPinStatusGetUserTokensMSAResult:Int32(HResult), writeUnknownItemPinStatusGetUserTokensMSADurationMs:UInt64, writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenMatchAadUserNameResult:Int32(HResult), writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenMatchAadUserNameDurationMs:UInt64, writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenMatchAadUserNameTotalWaitIntervalMs:UInt64, writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenMatchAadUserNameRetryCount:UInt16, writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenBruteForceResult:Int32(HResult), writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenBruteForceDurationMs:UInt64, writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenBruteForceTotalWaitIntervalMs:UInt64, writeUnknownItemPinStatusAddItemToServiceToAcquireUserTokenBruteForceRetryCount:UInt16, writeUnknownItemPinStatusSyncPinStateResult:Int32(HResult), writeUnknownItemPinStatusSyncPinStateDurationMs:UInt64",CallGraph-d2
?PinItemEvent@MicrosoftGraphRecentItemsManagerTelemetry@@SAXXZ,0x180137499,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},PinItemEvent,5,0x0,(none),CallGraph-d2
?RecommendationsProviderMetrics_@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXIAEBV?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@I0I0I0I0AEBV?$vector@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$allocator@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@@2@@3@AEBV?$vector@HV?$allocator@H@std@@@3@1@Z,0x1801a1d2f,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},RecommendationsProviderMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, recentDownloadsCount:UInt32, recentDownloadsPositions:UnicodeString, frequentFilesCount:UInt32, frequentFilesPositions:UnicodeString, recentPhotosCount:UInt32, recentPhotosPositions:UnicodeString, primaryCloudCount:UInt32, primaryCloudPositions:UnicodeString, secondaryCloudCount:UInt32, secondaryCloudPositions:UnicodeString, totalStorageProvidersCount:UInt32, storageProviderIds:UnicodeString, storageProviderFileCounts:Int32[], storageProviderFileSlotPositions:UnicodeString",CallGraph-d1
?RefreshRecommendationsEvent@MicrosoftGraphRecentItemsManagerTelemetry@@SAXXZ,0x180104e65,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},RefreshRecommendationsEvent,5,0x0,(none),CallGraph-d2
?RefreshRecommendationsMetrics_@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXV?$shared_ptr@VIRecommendedRefreshTelemetryReader@Telemetry@MicrosoftGraphRecentItemsManager@@@std@@@Z,0x1800925a7,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},RefreshRecommendationsMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, version:UInt64, totalDurationMs:UInt64, getDefaultWebAccountDurationMs:UInt64, getDefaultWebAccountResultCode:Int32(HResult), displayedCachedRecommendations:UInt8(Boolean), writeRecommendationsToDestListDurationMs:UInt64, crossRankingDurationMs:UInt64, crossRankingResultCode:Int32(HResult), accountsCount:UInt64, account0GetUserTokenDurationMs:UInt64, account0GetUserTokenResultCode:Int32(HResult), account0GetRecommendedFilesDurationMs:UInt64, account0GetRecommendedFilesResultCode:Int32(HResult), account0AccountKind:UnicodeString",CallGraph-d2
?RefreshRecommendationsMetrics_@MicrosoftGraphRecentItemsManagerTelemetry@@QEAAXV?$shared_ptr@VIRecommendedRefreshTelemetryReader@Telemetry@MicrosoftGraphRecentItemsManager@@@std@@@Z,0x1800925c7,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},RefreshRecommendationsMetrics,5,0x400000000000,"PartA_PrivTags:UInt64, version:UInt64, totalDurationMs:UInt64, getDefaultWebAccountDurationMs:UInt64, getDefaultWebAccountResultCode:Int32(HResult), displayedCachedRecommendations:UInt8(Boolean), writeRecommendationsToDestListDurationMs:UInt64, crossRankingDurationMs:UInt64, crossRankingResultCode:Int32(HResult), accountsCount:UInt64, account0GetUserTokenDurationMs:UInt64, account0GetUserTokenResultCode:Int32(HResult), account0GetRecommendedFilesDurationMs:UInt64, account0GetRecommendedFilesResultCode:Int32(HResult), account0AccountKind:UnicodeString",CallGraph-d2
?RemoveItemEvent@MicrosoftGraphRecentItemsManagerTelemetry@@SAXXZ,0x180139a81,Microsoft.Windows.Shell.MicrosoftGraphRecentItemsManager,{4B8DEDDB-5F46-518A-AAB1-972DDD37AC3D},RemoveItemEvent,5,0x0,(none),CallGraph-d2
