Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?OnDeviceAdded@CMidi2KSMidiEndpointManager@@AEAAJUDeviceWatcher@Enumeration@Devices@Windows@winrt@@UDeviceInformation@3456@@Z,0x18001b5c8,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, HResult:Int32(HResult), Message:UnicodeString",CallGraph-d1
?UpdateConfiguration@CMidi2KSMidiConfigurationManager@@UEAAJPEBGPEAPEAG@Z,0x180020438,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, json:UnicodeString",CallGraph-d1
?UpdateConfiguration@CMidi2KSMidiConfigurationManager@@UEAAJPEBGPEAPEAG@Z,0x18002063c,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, json:UnicodeString",CallGraph-d2
?UpdateConfiguration@CMidi2KSMidiConfigurationManager@@UEAAJPEBGPEAPEAG@Z,0x180020edf,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, HResult:Int32(HResult), swd:UnicodeString",CallGraph-d1
?UpdateConfiguration@CMidi2KSMidiConfigurationManager@@UEAAJPEBGPEAPEAG@Z,0x180039f86,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, exception:AnsiString, json:UnicodeString",CallGraph-d1
?UpdateConfiguration@CMidi2KSMidiConfigurationManager@@UEAAJPEBGPEAPEAG@Z,0x18003a031,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, json:UnicodeString",CallGraph-d1
?Activate@CMidi2KSTransport@@UEAAJAEBU_GUID@@PEAPEAX@Z,0x18000d5f4,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Info,4,0x0,"Location:AnsiString, this:HexInt64, Interface:UnicodeString",CallGraph-d1
?Activate@CMidi2KSTransport@@UEAAJAEBU_GUID@@PEAPEAX@Z,0x18000d733,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Info,4,0x0,"Location:AnsiString, this:HexInt64, Interface:UnicodeString",CallGraph-d1
?Activate@CMidi2KSTransport@@UEAAJAEBU_GUID@@PEAPEAX@Z,0x18000d872,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Info,4,0x0,"Location:AnsiString, this:HexInt64, Interface:UnicodeString",CallGraph-d1
?Activate@CMidi2KSTransport@@UEAAJAEBU_GUID@@PEAPEAX@Z,0x18000d937,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Info,4,0x0,"Location:AnsiString, this:HexInt64, Interface:UnicodeString",CallGraph-d1
?Activate@CMidi2KSTransport@@UEAAJAEBU_GUID@@PEAPEAX@Z,0x18000da45,Microsoft.Windows.Midi2.KSTransport,{A8D144FE-BE0C-5484-25A9-512D2F6445D5},Midi.Info,4,0x0,"Location:AnsiString, this:HexInt64, Interface:UnicodeString",CallGraph-d1
