Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000abdc,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000ad2b,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
?Activate@CMidi2VirtualMidiTransport@@UEAAJAEBU_GUID@@PEAPEAX@Z,0x18000bb19,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Interface:UnicodeString",CallGraph-d1
?DeleteClientEndpoint@CMidi2VirtualMidiEndpointManager@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000df97,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString",CallGraph-d1
?DeleteDeviceEndpoint@CMidi2VirtualMidiEndpointManager@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000e147,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString",CallGraph-d1
?Initialize@CMidi2VirtualMidiBidi@@UEAAJPEBGPEAU__MIDL___MIDL_itf_windowsmidiservices_0000_0000_0005@@PEAKPEAUIMidiCallback@@_JU_GUID@@@Z,0x180017965,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, Endpoint Device Interface Id (SWD):UnicodeString, session id:GUID",CallGraph-d2
?OnClientConnected@MidiEndpointTable@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@PEAVCMidi2VirtualMidiBidi@@@Z,0x1800130c1,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, Endpoint Device Interface Id (SWD):UnicodeString",CallGraph-d1
?OnClientDisconnected@MidiEndpointTable@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18001342a,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, Endpoint Device Interface Id (SWD):UnicodeString",CallGraph-d1
?OnClientDisconnected@MidiEndpointTable@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x1800134e8,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, Endpoint Device Interface Id (SWD):UnicodeString",CallGraph-d1
?OnDeviceConnected@MidiEndpointTable@@QEAAJV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@PEAVCMidi2VirtualMidiBidi@@@Z,0x180013908,Microsoft.Windows.Midi2.VirtualMidiTransport,{8D08CF09-ECA5-58D0-F722-4EF1ECA95BE2},Midi.Error,2,0x0,"Location:AnsiString, this:HexInt64, Message:UnicodeString, Endpoint Device Interface Id (SWD):UnicodeString",CallGraph-d1
