Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?UploadNewlyDetectedEndpoints@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXAEBV?$vector@W4byte@gsl@@V?$allocator@W4byte@gsl@@@std@@@std@@G@Z,0x18002165a,Microsoft.Windows.MpeConnectionMonitor,{399D0AD5-03E5-4236-B95E-8528DC15A053},MpeCmEndpointInventoryV1,5,0x400000000000,"PartA_PrivTags:UInt64, Endpoint:Struct[](HResult), ProcessType:UInt32, ProcessBinaryName:UnicodeString, ProcessBinaryVersion:UnicodeString, HostedBinaryName:UnicodeString, HostedBinaryVersion:UnicodeString, HostedEntityName:UnicodeString, CallerBinaryName:UnicodeString, CallerBinaryVersion:UnicodeString, AppId:UnicodeString, PackageFamilyFullName:UnicodeString, Endpoint:UnicodeString, Publisher:UnicodeString, ApiBrokerId:UnicodeString, ApiClientId:UnicodeString, Source:UInt32",Direct-Preceding
?LogDnsCacheInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@0@Z,0x1800205fb,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},DnsCacheInfo,4,0x4,"Message:CountedString, Detail:CountedString",Direct-Preceding
?LogDnsCacheInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@@Z,0x18002066c,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},DnsCacheInfo,4,0x4,Message:CountedString,Direct-Preceding
?LogDnsCacheRefreshStatsInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@_K111@Z,0x180020773,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},DnsCacheRefreshStatsInfo,4,0x4,"Message:CountedString, NumIpv4Entries:UInt64, NumIpv6Entries:UInt64, NumAliases:UInt64, Elapsed:UInt64",Direct-Preceding
?LogEndpointProcessorInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@00@Z,0x1800207ef,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},EndpointProcessorInfo,4,0x2,"Message:CountedString, Detail:CountedString, Detail2:CountedString",Direct-Preceding
?LogEndpointProcessorInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@00K@Z,0x1800208dd,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},EndpointProcessorInfo,4,0x2,"Message:CountedString, Detail:CountedString, Detail2:CountedString, Value:UInt32",Direct-Preceding
?LogEndpointProcessorInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@0@Z,0x18002098f,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},EndpointProcessorInfo,4,0x2,"Message:CountedString, Detail:CountedString",Direct-Preceding
?LogEndpointProcessorInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@@Z,0x180020a00,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},EndpointProcessorInfo,4,0x2,Message:CountedString,Direct-Preceding
?LogEndpointProcessorInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@AEBUEndpoint@234@@Z,0x180020c0e,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},EndpointProcessorInfo,4,0x2,"Message:CountedString, ProcessType:UInt32, ProcessBinaryName:CountedString, ProcessBinaryVersion:CountedString, HostedBinaryName:CountedString, HostedBinaryVersion:CountedString, HostedEntityName:CountedString, CallerBinaryName:CountedString, CallerBinaryVersion:CountedString, AppId:CountedString, PackageFamilyFullName:CountedString, Endpoint:CountedString, Publisher:CountedString, ApiBrokerId:CountedString, ApiClientId:CountedString, Source:UInt32",Direct-Preceding
?LogEndpointProcessorInfo@TlgHelper@Mpecm@Diagnostics@Microsoft@@YAXV?$basic_string_view@_WU?$char_traits@_W@std@@@std@@K@Z,0x180020d2f,Microsoft.Windows.MpeConnectionMonitorLocalDiag,{1ADD357B-A4DE-4BD5-BE39-D2BDE2AB32C4},EndpointProcessorInfo,4,0x2,"Message:CountedString, Value:UInt32",Direct-Preceding
