Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VMusUpdateLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18005db31,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VMusUpdateLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18005dc84,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VMusUpdateLogging@@$0A@$0A@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180071e11,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
??$AvailableUpdatesCount@AEB_KU_SYSTEMTIME@@U1@@MoUpdateSettingsTelemetry@@SAXAEB_K$$QEAU_SYSTEMTIME@@1PEBD@Z,0x18001d44a,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},AvailableUpdatesCount,5,0x400000000000,"NumberofApplicableUpdatesDisplayed:UInt32, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$CTAApproved@AEAKU_SYSTEMTIME@@U1@@MoUpdateSettingsTelemetry@@SAXAEAK$$QEAU_SYSTEMTIME@@1PEBD@Z,0x1800652ce,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},CTAApproved,5,0x400000000000,"DaysInCTABlock:UInt32, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$CompletedUpdatesCount@AEB_KU_SYSTEMTIME@@U1@@MoUpdateSettingsTelemetry@@SAXAEB_K$$QEAU_SYSTEMTIME@@1PEBD@Z,0x18001d552,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},CompletedUpdatesCount,5,0x400000000000,"NumberofCompletedUpdatesDisplayed:UInt32, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
?StartActivity@CreateNewPolicyModelActivity@MoUpdateSettingsTelemetry@@QEAAXV?$shared_ptr@VTraceLoggingCorrelationVector@@@std@@@Z,0x180077fd0,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},CreateNewPolicyModelActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, __TlgCV__:AnsiString",CallGraph-d1
?Stop@CreateNewPolicyModelActivity@MoUpdateSettingsTelemetry@@QEAAXV?$shared_ptr@VTraceLoggingCorrelationVector@@@std@@@Z,0x180078277,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},CreateNewPolicyModelActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, __TlgCV__:AnsiString",CallGraph-d1
?Stop@CreateNewPolicyModelActivity@MoUpdateSettingsTelemetry@@QEAAXV?$shared_ptr@VTraceLoggingCorrelationVector@@@std@@@Z,0x18007830b,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},CreateNewPolicyModelActivity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, __TlgCV__:AnsiString",CallGraph-d1
?StopActivity@CreateNewPolicyModelActivity@MoUpdateSettingsTelemetry@@MEAAXXZ,0x180078453,Microsoft.Windows.Update.Ux.MoAppUpdateSettings,{1447BCDC-E5B6-5805-6326-37F3F02DE080},CreateNewPolicyModelActivity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
