Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?DisplayingNotification@MusNotificationUxTelemetry@@SAXPEB_W00V?$optional@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@std@@@std@@V?$optional@U?$pair@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@2@@std@@@3@KHPEBDU_SYSTEMTIME@@43@Z,0x180019eb9,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},DisplayingNotification,5,0x400000000000,"PartA_PrivTags:UInt64, NotificationId:UnicodeString, NotificationFormFactor:UnicodeString, NotificationDisplayType:UnicodeString, Timeout:UnicodeString, CountdownInSeconds:Int64, MinimumBatteryLevel:UInt32, AttributeEnterprise:Int32, UusVersion:AnsiString, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString",SingleProvider
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18001ad4c,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18001ae9b,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
??$NotificationClicked@PEB_WPEB_WAEAY05$$CB_WPEB_WPEB_WPEBDU_SYSTEMTIME@@U1@@MusNotificationUxTelemetry@@SAX$$QEAPEB_W0AEAY05$$CB_W00$$QEAPEBD$$QEAU_SYSTEMTIME@@3PEBD@Z,0x18000e4b9,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},NotificationClicked,5,0x400000000000,"NotificationId:UnicodeString, NotificationFormFactor:UnicodeString, NotificationDisplayType:UnicodeString, ButtonId:UnicodeString, ButtonOption:UnicodeString, UusVersion:AnsiString, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",SingleProvider
??$NotificationClosed@PEB_WPEB_WAEAY05$$CB_WPEBDU_SYSTEMTIME@@U1@@MusNotificationUxTelemetry@@SAX$$QEAPEB_W0AEAY05$$CB_W$$QEAPEBD$$QEAU_SYSTEMTIME@@3PEBD@Z,0x18000e56e,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},NotificationClosed,5,0x400000000000,"NotificationId:UnicodeString, NotificationFormFactor:UnicodeString, NotificationDisplayType:UnicodeString, UusVersion:AnsiString, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",SingleProvider
??$NotificationStillActive@PEB_WPEB_WAEAY05$$CB_WPEBDU_SYSTEMTIME@@U1@@MusNotificationUxTelemetry@@SAX$$QEAPEB_W0AEAY05$$CB_W$$QEAPEBD$$QEAU_SYSTEMTIME@@3PEBD@Z,0x18001dc2a,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},NotificationStillActive,5,0x400000000000,"NotificationId:UnicodeString, NotificationFormFactor:UnicodeString, NotificationDisplayType:UnicodeString, UusVersion:AnsiString, UtcTime:SystemTime, DeviceLocalTime:SystemTime, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",SingleProvider
?WaitForToastClose@MoNotificationUxToastEventHandler@@QEAAJPEAUIToastNotification@Notifications@UI@Windows@ABI@@PEAUIToastNotificationManagerForUser@3456@IV?$optional@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@std@@@std@@V?$basic_zstring_view@_W@wil@@3V?$optional@U?$pair@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@2@@std@@@9@PEAW4ButtonActionId@@PEAV?$optional@W4ButtonActionId@@@9@@Z,0x18001c3df,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},ToastAutoClosing,5,0x0,Reason:UnicodeString,SingleProvider
?WaitForToastClose@MoNotificationUxToastEventHandler@@QEAAJPEAUIToastNotification@Notifications@UI@Windows@ABI@@PEAUIToastNotificationManagerForUser@3456@IV?$optional@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@std@@@std@@V?$basic_zstring_view@_W@wil@@3V?$optional@U?$pair@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@2@@std@@@9@PEAW4ButtonActionId@@PEAV?$optional@W4ButtonActionId@@@9@@Z,0x18001c41a,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},ToastAutoClosing,5,0x0,Reason:UnicodeString,SingleProvider
?WaitForToastClose@MoNotificationUxToastEventHandler@@QEAAJPEAUIToastNotification@Notifications@UI@Windows@ABI@@PEAUIToastNotificationManagerForUser@3456@IV?$optional@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@std@@@std@@V?$basic_zstring_view@_W@wil@@3V?$optional@U?$pair@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@2@@std@@@9@PEAW4ButtonActionId@@PEAV?$optional@W4ButtonActionId@@@9@@Z,0x18001c455,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},ToastAutoClosing,5,0x0,Reason:UnicodeString,SingleProvider
?WaitForToastClose@MoNotificationUxToastEventHandler@@QEAAJPEAUIToastNotification@Notifications@UI@Windows@ABI@@PEAUIToastNotificationManagerForUser@3456@IV?$optional@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@std@@@std@@V?$basic_zstring_view@_W@wil@@3V?$optional@U?$pair@V?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@V?$time_point@Usystem_clock@chrono@std@@V?$duration@_JU?$ratio@$00$0JIJGIA@@std@@@23@@chrono@2@@std@@@9@PEAW4ButtonActionId@@PEAV?$optional@W4ButtonActionId@@@9@@Z,0x18001c47e,Microsoft.Windows.Update.Ux.NotificationHandler,{AC8D9176-9EB4-5047-9B60-1AABC45281B8},ToastAutoClosing,5,0x0,Reason:UnicodeString,SingleProvider
