Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?ControlStreamOnPacketReceived_@SimulationTrace@@QEAAX_KW4STREAM_DATA_TYPE@@W4PacketReceivedResult@1@J@Z,0x14000ac74,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},ControlStreamOnPacketReceived,5,0x20,"token:UInt64, dataType:AnsiString, result:AnsiString, hr:Int32",SingleProvider
?CreateControlStream_@SimulationTrace@@QEAAX_KJ@Z,0x14000b064,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},CreateControlStream,4,0x20,"token:UInt64, hr:Int32",SingleProvider
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x140013c4e,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",SingleProvider
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x140013da5,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",SingleProvider
?RegisterSimulationStreamSink_@SimulationTrace@@QEAAXW4STREAM_DATA_TYPE@@J@Z,0x14000bfa6,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},RegisterSimulationStreamSink,5,0x20,"dataTypes:AnsiString, hr:Int32",SingleProvider
?RemoveControlStream_@SimulationTrace@@QEAAX_KJ@Z,0x14000c88c,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},RemoveControlStream,4,0x20,"token:UInt64, hr:Int32",SingleProvider
??$Service_DeviceInterfaceArrived@AEAY00_W@SimulationTrace@@SAXAEAY00_W@Z,0x140017a45,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_DeviceInterfaceArrived,5,0x200000000000,"InterfacePath:UnicodeString, PartA_PrivTags:UInt64",SingleProvider
??$Service_InstallControllerStart@_N@SimulationTrace@@SAX$$QEA_N@Z,0x140017ac8,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_InstallControllerStart,5,0x200000000000,"IsLeftController:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
??$Service_InstallControllerSucceeded@_N@SimulationTrace@@SAX$$QEA_N@Z,0x140017b48,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_InstallControllerSucceeded,5,0x200000000000,"IsLeftController:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
??$Service_IsControllerInstalledComplete@_NAEAH@SimulationTrace@@SAX$$QEA_NAEAH@Z,0x140017bee,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_IsControllerInstalledComplete,5,0x200000000000,"IsLeftController:UInt8(Boolean), ControllerIsInstalled:Int32, PartA_PrivTags:UInt64",SingleProvider
??$Service_IsControllerInstalledStart@_N@SimulationTrace@@SAX$$QEA_N@Z,0x140017cc0,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_IsControllerInstalledStart,5,0x200000000000,"IsLeftController:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
??$Service_IsDeveloperModeEnabledComplete@AEAH@SimulationTrace@@SAXAEAH@Z,0x140017d94,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_IsDeveloperModeEnabledComplete,5,0x200000000000,"DeveloperModeEnabled:Int32, PartA_PrivTags:UInt64",SingleProvider
?Service_IsDeveloperModeEnabledStart@SimulationTrace@@SAXXZ,0x14001cc07,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_IsDeveloperModeEnabledStart,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?Service_OnStartComplete@SimulationTrace@@SAXXZ,0x140013ed3,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_OnStartComplete,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?Service_OnStartStart@SimulationTrace@@SAXXZ,0x140013f7f,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_OnStartStart,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?Service_OnStopComplete@SimulationTrace@@SAXXZ,0x14001402b,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_OnStopComplete,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
?Service_OnStopStart@SimulationTrace@@SAXXZ,0x1400140d7,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_OnStopStart,5,0x200000000000,PartA_PrivTags:UInt64,SingleProvider
??$Service_RemoveControllerStart@_N@SimulationTrace@@SAX$$QEA_N@Z,0x140017e18,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_RemoveControllerStart,5,0x200000000000,"IsLeftController:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
??$Service_RemoveControllerSucceeded@_N@SimulationTrace@@SAX$$QEA_N@Z,0x140017e98,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},Service_RemoveControllerSucceeded,5,0x200000000000,"IsLeftController:UInt8(Boolean), PartA_PrivTags:UInt64",SingleProvider
??$TimestampConversionFailed@AEBJ@SimulationTrace@@SAXAEBJ@Z,0x140006a97,Microsoft.Windows.Analog.PerceptionSimulation,{47F16003-0637-4D05-A9DA-1FC40BBD0944},TimestampConversionFailed,5,0x200000000000,hr:Int32,SingleProvider
