Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?_AllowPowerOff@AudioHardwareHelper@@AEAAXXZ,0x180010f62,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},AUDIOHARDWAREHELPER_DISABLE,4,0x0,"details:AnsiString, placeholderStreamStarted:Bool32",Direct-Preceding
?_ForcePowerOn@AudioHardwareHelper@@AEAAXXZ,0x180011198,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},AUDIOHARDWAREHELPER_ENABLE,4,0x0,"details:AnsiString, placeholderStreamStarted:Bool32",Direct-Preceding
?GetAppUserModelIdFromPkgFamilyNameAndUser@@YAJPEBG0PEAV?$basic_string@GU?$char_traits@G@utl@@V?$allocator@G@2@@utl@@@Z,0x180019ba4,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},GetAppUserModelIdFromPkgFamilyNameAndUser,4,0x0,"details:AnsiString, applicationType:Int32, packageFamilyName:UnicodeString",Direct-Preceding
?GetAppUserModelIdFromPkgFamilyNameAndUser@@YAJPEBG0PEAV?$basic_string@GU?$char_traits@G@utl@@V?$allocator@G@2@@utl@@@Z,0x180019f22,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},GetAppUserModelIdFromPkgFamilyNameAndUser,2,0x0,"details:AnsiString, appListSize:UInt32, packageFamilyName:UnicodeString, userSid:UnicodeString",Direct-Preceding
?GetAppUserModelIdFromPkgFamilyNameAndUser@@YAJPEBG0PEAV?$basic_string@GU?$char_traits@G@utl@@V?$allocator@G@2@@utl@@@Z,0x180019fb2,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},GetAppUserModelIdFromPkgFamilyNameAndUser,2,0x0,"details:AnsiString, appUserSid:UnicodeString, packageFamilyName:UnicodeString",Direct-Preceding
?GetRegistrationDisplayStatus@BrandingInfo@@SAJW4BRANDINGAREA@@AEBUBrandingParameters@@PEAGIPEAH@Z,0x1800116c4,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},INVALID_BRANDING_RULE_INDICES,5,0x0,"details:AnsiString, simState:UInt32, registrationState:UInt32",Direct-Preceding
EventWriteOperationTimedOutComplete,0x18001084c,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},OperationWatchdog: Operation Completed,4,0x0,"Id:UInt32, Context:AnsiString, ActualTime(ms):UInt32",Direct-Preceding
EventWriteOperationTimedOut,0x1800107f4,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},OperationWatchdog: Operation Timed Out,2,0x0,"Id:UInt32, Context:AnsiString, TimeOut(ms):UInt32, ActualTime(ms):UInt32",Direct-Preceding
?PerformAction@CDialAssistRuleEngine@@AEAAJUDialAssistAction@@@Z,0x180036c87,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},PHONE_DIAL_ASSIST_ACTION,5,0x0,"details:AnsiString, Action:UInt32, Rhs:UInt32",Direct-Preceding
?EvaluateCondition@CDialAssistRuleEngine@@AEAAJPEBUDialAssistConditions@@@Z,0x180035502,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},PHONE_DIAL_ASSIST_CONDITION,5,0x0,"details:AnsiString, Lhs:UInt32, Operator:UInt32, Rhs:UInt32, Rhs2:UInt32, Pass:UInt32",Direct-Preceding
?DialAssist_GetHomeCountryCode@@YAJPEAG_K@Z,0x1800343e2,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},PHONE_DIAL_ASSIST_HOME_GEOID,4,0x0,"details:AnsiString, HomeGeoId:UInt32, CountryCode:UInt32",Direct-Preceding
?DialAssist_GetHomeCountryCode@@YAJPEAG_K@Z,0x18003446b,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},PHONE_DIAL_ASSIST_HOME_LCID,4,0x0,"details:AnsiString, HomeLcid:UInt32, CountryCode:UInt32",Direct-Preceding
?_RunRulesForDialAssist@DialAssist@@AEAAJPEBGH0PEAV?$basic_string@GU?$char_traits@G@utl@@V?$allocator@G@2@@utl@@PEAI@Z,0x180032449,Microsoft-Windows-Telephony-PhoneUtil,{04A490D4-84C6-4920-9C22-51C80825FF2C},PHONE_DIAL_ASSIST_PARAMETERS,5,0x0,"details:AnsiString, HomeCountryCode:UnicodeString, CurrentCountryCode:UnicodeString, PlusCodeDialingSupported:Bool32",Direct-Preceding
