Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?GetAlternateLanguageVersionInfo@CFileVersionInfo@@AEAAJPEBGAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x1800081da,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},CFileVersionInfo::GetAlternateLanguageVersionInfo - retrieved field ,5,0x0,message.c_str():UnicodeString,Direct-Preceding
_lambda_fd18dd73f76a5668bca4997d143cc7db_::operator(),0x180006d97,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},Error,5,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Direct-Preceding
?Clone@IStreamOverSpoolFile@@UEAAJPEAPEAUIStream@@@Z,0x18000e9d9,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Clone E_NOTIMPL,5,0x0,(none),Direct-Preceding
?Commit@IStreamOverSpoolFile@@UEAAJK@Z,0x18000ea9a,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Commit,5,0x0,(none),Direct-Preceding
?Commit@IStreamOverSpoolFile@@UEAAJK@Z,0x18000ee0c,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Commit for PSA session,5,0x0,(none),Direct-Preceding
?CopyTo@IStreamOverSpoolFile@@UEAAJPEAUIStream@@T_ULARGE_INTEGER@@PEAT3@2@Z,0x18000f0e9,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::CopyTo E_NOTIMPL,5,0x0,(none),Direct-Preceding
?DuplicateSpoolingHandlesInSourceAppContext@IStreamOverSpoolFile@@QEAAJK_K0PEA_K1@Z,0x18000f318,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::DuplicateSpoolingHandlesInSourceAppContext,5,0x0,"brokerProcessId:UInt32, sourceProcessId:UInt32, originalWriteFileHandle:UInt64, originalDataAvailableEventHandle:UInt64, writeFileHandle:UInt64, dataAvailableEventHandle:UInt64",Direct-Preceding
?DuplicateSpoolingHandlesInSourceAppContext@IStreamOverSpoolFile@@QEAAJK_K0PEA_K1@Z,0x18000f194,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::DuplicateSpoolingHandlesInSourceAppContext Enter,5,0x0,(none),Direct-Preceding
?DuplicateSpoolingHandlesInSourceAppContextDirectly@IStreamOverSpoolFile@@AEAAJK_K0PEA_K1@Z,0x18000f3a4,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::DuplicateSpoolingHandlesInSourceAppContextDirectly Enter,5,0x0,(none),Direct-Preceding
?DuplicateSpoolingHandlesInSourceAppContextViaBroker@IStreamOverSpoolFile@@AEAAJK_K0PEA_K1@Z,0x18000f5d3,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::DuplicateSpoolingHandlesInSourceAppContextViaBroker Enter,5,0x0,(none),Direct-Preceding
?RuntimeClassInitialize@IStreamOverSpoolFile@@QEAAJPEAUIWorkflowSourceSession@Workflow@Printing@Internal@Graphics@Windows@@@Z,0x180010435,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},"IStreamOverSpoolFile::Initialize - Failed to request handles from broker, duplicate the handles by itself",5,0x0,(none),Direct-Preceding
?RuntimeClassInitialize@IStreamOverSpoolFile@@QEAAJPEAUIWorkflowSourceSession@Workflow@Printing@Internal@Graphics@Windows@@@Z,0x180010381,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Initialize Enter,5,0x0,(none),Direct-Preceding
?LockRegion@IStreamOverSpoolFile@@UEAAJT_ULARGE_INTEGER@@0K@Z,0x180010059,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::LockRegion E_NOTIMPL,5,0x0,(none),Direct-Preceding
?Read@IStreamOverSpoolFile@@UEAAJPEAXKPEAK@Z,0x180010169,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Read E_NOTIMPL,5,0x0,(none),Direct-Preceding
?Revert@IStreamOverSpoolFile@@UEAAJXZ,0x1800102c9,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Revert E_NOTIMPL,5,0x0,(none),Direct-Preceding
?Seek@IStreamOverSpoolFile@@UEAAJT_LARGE_INTEGER@@KPEAT_ULARGE_INTEGER@@@Z,0x180010569,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Seek E_NOTIMPL,5,0x0,(none),Direct-Preceding
?SetSize@IStreamOverSpoolFile@@UEAAJT_ULARGE_INTEGER@@@Z,0x1800105f9,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::SetSize E_NOTIMPL,5,0x0,(none),Direct-Preceding
?Stat@IStreamOverSpoolFile@@UEAAJPEAUtagSTATSTG@@K@Z,0x180010689,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Stat E_NOTIMPL,5,0x0,(none),Direct-Preceding
?UnlockRegion@IStreamOverSpoolFile@@UEAAJT_ULARGE_INTEGER@@0K@Z,0x180010719,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::UnlockRegion E_NOTIMPL,5,0x0,(none),Direct-Preceding
?Write@IStreamOverSpoolFile@@UEAAJPEBXKPEAK@Z,0x1800107bc,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},IStreamOverSpoolFile::Write Enter,5,0x0,NumberOfBytes:UInt32,Direct-Preceding
?WfpAbortSession@@YAJK@Z,0x18000c029,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},WfpAbortSession - Abort the printing session,5,0x0,Session Id:UInt64,Direct-Preceding
?WfpCloseSession@@YAJK@Z,0x18000c31e,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},WfpCloseSession - Close the printing session,5,0x0,Session Id:UInt64,Direct-Preceding
?WfpCreateWorkflowSession@@YAJPEAXPEAUHWND__@@1HPEBGPEAK@Z,0x18000c7ba,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},WfpCreateWorkflowSession - Parent Window check,5,0x0,"hwndParent:UInt64, hwndLastPopup:UInt64, isParentWindowCoreWindow:UInt8(Boolean)",Direct-Preceding
?WfpCreateWorkflowSession@@YAJPEAXPEAUHWND__@@1HPEBGPEAK@Z,0x18000c957,Microsoft.Windows.Print.Workflow.Source,{BE5F8487-3A5D-4477-B0C2-020679B81E56},WfpCreateWorkflowSession - Source session created,5,0x0,Session Id:UInt64,Direct-Preceding
