Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VRetailDemoLogging@@$00$0IAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180013ff5,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},ActivityError,2,0xa00000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VRetailDemoLogging@@$00$0IAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001413d,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},ActivityError,2,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VRetailDemoLogging@@$00$0IAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180014746,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},ActivityIntermediateStop,5,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@CloseIdleApplication@RetailDemoTelemetry@@QEAAXXZ,0x180020cc5,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},CloseIdleApplication,5,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?Stop@CloseIdleApplication@RetailDemoTelemetry@@QEAAXPEBGK@Z,0x180020d6b,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},CloseIdleApplication,5,0x800000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, packageID:UnicodeString, errorCode:UInt32",CallGraph-d2
?Stop@CloseIdleApplication@RetailDemoTelemetry@@QEAAXPEBGK@Z,0x180020efc,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},CloseIdleApplication,5,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, packageID:UnicodeString, errorCode:UInt32",CallGraph-d2
?StopActivity@CloseIdleApplication@RetailDemoTelemetry@@MEAAXXZ,0x180020fe2,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},CloseIdleApplication,5,0x800000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@CloseIdleApplication@RetailDemoTelemetry@@MEAAXXZ,0x180021147,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},CloseIdleApplication,5,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@DisableAdminAccount@RetailDemoTelemetry@@QEAAXXZ,0x18002dde9,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},DisableAdminAccount,5,0x800000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@DisableAdminAccount@RetailDemoTelemetry@@MEAAXXZ,0x18002de92,Microsoft-Windows-Shell-RetailDemo,{4263C286-3C4F-56C8-3FE2-CC0331449B53},DisableAdminAccount,5,0x800000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
