Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??1AutoDeleteFileStream@@UEAA@XZ,0x18000ace8,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},AutoDeleteFileStreamFailed,2,0x0,Path:UnicodeString,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x18000aa6f,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},EnumerateElementsFailed,2,0x0,HResult:Int32,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x18000aac1,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},GetNextElementFailed,2,0x0,HResult:Int32,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x18000aa1a,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},GetNextElementTooMany,2,0x0,HResult:Int32,Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x18000a57c,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},GetProvisionPackageNameFailed,2,0x0,HResult:Int32,Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x180008fd0,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},InvalidPackageExtension,2,0x400000000000,"Path:UnicodeString, Name:UnicodeString, HResult:Int32",Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x180008f42,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},InvalidPath,2,0x0,Path:UnicodeString,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x18000a93a,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},NonProvisioningPackage,3,0x0,"PackageId:UnicodeString, PackagePath:UnicodeString",Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x18000a5f0,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},OpenProvisioningPackageFailed,2,0x0,"Path:UnicodeString, HResult:Int32",Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x18000a39e,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},OpeningProvPackage,5,0x0,Path:UnicodeString,Direct-Preceding
??1PackageCollector@@UEAA@XZ,0x18000866c,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorDeinit,5,0x0,(none),Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x180008bfd,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorFileNotFound,4,0x0,Path:UnicodeString,Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x18000907c,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorFindError,2,0x0,"Path:UnicodeString, LastError:UInt32",Direct-Preceding
??0PackageCollector@@QEAA@XZ,0x180008592,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorInit,5,0x0,(none),Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x180008c6a,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorPackageFound,5,0x0,"Path:UnicodeString, FileName:UnicodeString",Direct-Preceding
?AddSearchPath@PackageCollector@@QEAA_NAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x180008873,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorPathAdd,5,0x0,Path:UnicodeString,Direct-Preceding
?AddSearchPath@PackageCollector@@QEAA_NAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x1800088a3,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorPathAdd,3,0x0,"Path:UnicodeString, HResult:Int32",Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x18000918d,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorPathCchCombine,2,0x0,"Path:UnicodeString, HResult:Int32",Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x180009102,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorPathCchCombineFullName,2,0x0,"Path:UnicodeString, FileName:UnicodeString, HResult:Int32",Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x180008ecd,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},PackageCollectorSearchDone,5,0x0,(none),Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x18000a3da,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},ProvPackageIsEmpty,3,0x0,(none),Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x18000a853,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},ProvPackageNotOpened,3,0x0,(none),Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x18000a4ca,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},ProvPackageOpened,4,0x0,"PackageName:UnicodeString, HResult:Int32",Direct-Preceding
?RemovePackage@ProvPackage@@UEAAXV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000a67c,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},RemoveProvPackage,5,0x0,Path:UnicodeString,Direct-Preceding
?RemovePackage@ProvPackage@@UEAAXV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x18000a7b3,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},RemoveProvPackagePackageFail,2,0x0,"Path:UnicodeString, LastError:UInt32",Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x18000a462,Microsoft.Windows.Provisioning.Plugin.RemovableMedia,{B55883E6-6C45-45C2-AB9D-800BB7B66B15},TryCreateProvisioningFileManagerOnPPKGFailed,2,0x0,Path:UnicodeString,Direct-Preceding
