Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_180003F40,0x1800044c4,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x100000," ::AnsiString, index:UInt32",SingleProvider
sub_180003F40,0x1800045d4,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x100000, ::AnsiString,SingleProvider
sub_1800049A4,0x180004c5c,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x100000," ::AnsiString, numChars:UInt16",SingleProvider
sub_1800049A4,0x180004d11,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x100000, ::AnsiString,SingleProvider
sub_180006854,0x180006904,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x2000, ::AnsiString,SingleProvider
sub_1800069D8,0x180006a84,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x2000, ::AnsiString,SingleProvider
sub_180006B08,0x180006b68,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x4000, ::AnsiString,SingleProvider
sub_180006B8C,0x180006be1,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x4000, ::AnsiString,SingleProvider
sub_180006C9C,0x180006cff,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x4000, ::AnsiString,SingleProvider
sub_180006D24,0x180006d79,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},ERROR,2,0x4000, ::AnsiString,SingleProvider
CharactersInput,0x180007b75,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
CharactersInput,0x180007bf6,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
CharactersInput,0x180007c66,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
ClearCc,0x180007de9,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
ClipboardInput,0x180007f70,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
ClipboardInput,0x180007ff5,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
CloseCcHandle,0x180008186,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
GetCcAttributes,0x180008382,Microsoft.Windows.WebDefense.SFAP.DebugTracing,{CBC28F5D-86AF-4E7A-92E3-4BD8DF85F61F},Error,2,0x80000,Message:AnsiString,SingleProvider
