Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_180023D04,0x180023f2e,Microsoft.Windows.TlgAggregateInternal,{703FCC13-B66F-5868-DDD9-E2DB7F381FFB},TlgAggregateSummary,5,0x200000000000,"PartA_PrivTags:UInt64, UtcAggParams:Struct(Boolean), Period:UInt32, MaxEvents:UInt32, Mode:UInt8, Provider:GUID, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt64, Mode:UInt8, UtcAggVal:Struct(Boolean), Name:CountedString, Value:UInt32, Mode:UInt8",Direct-Preceding
sub_180016C2C,0x180016e75,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},BufferTooSmall,5,0x400000000000,"PartA_PrivTags:UInt64, OriginalBufferSize:UInt32, ExpectedBufferSize:UInt32",Direct-Preceding
sub_1800196FC,0x180019bd3,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},CachePathRedirection,5,0x400000000000,"PartA_PrivTags:UInt64, RedirectionPath:UnicodeString, MitigationPolicy:Bool32",Direct-Preceding
sub_18000FBD0,0x180010789,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},CharacterProcessing,5,0x400000000000,"Instances:Int64, StartTime:Int64, EndTime:Int64, DurationMinInUs:Int64, DurationMaxInUs:Int64, DurationTotalInUs:Int64, NumCharactersTotal:Int64, NumHashedTotal:Int64, Result:UInt32(NTStatus), IsPassHWND:UInt8(Boolean), PartA_PrivTags:UInt64",Direct-Preceding
sub_180010B50,0x180010ce1,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},ClipboardDataError,5,0x400000000000,"Instances:Int64, BufferPointerCheck:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_180010B50,0x1800111a0,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},ClipboardDataError,5,0x400000000000,"Instances:Int64, LengthCheck:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_180010B50,0x180010fe7,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},ClipboardProcessing,5,0x400000000000,"Instances:Int64, DurationMinInUs:Int64, DurationMaxInUs:Int64, DurationTotalInUs:Int64, NumHashedTotal:Int64, Result:UInt32(NTStatus), PartA_PrivTags:UInt64",Direct-Preceding
sub_18000FBD0,0x1800109a2,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},ERROR,2,0x200, ::AnsiString,Direct-Preceding
sub_18000FBD0,0x1800293d6,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},ERROR,2,0x200," ::AnsiString, Exception:AnsiString",Direct-Preceding
sub_18000FBD0,0x18002947f,Microsoft.Windows.WebDefense.SFAP,{E6BA085E-1A0F-524D-DA3D-ED8CF0CA213E},ERROR,2,0x200," ::AnsiString, Exception code:UInt32",Direct-Preceding
