Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_140030490,0x140030616,Microsoft.Windows.Search.Indexer,{44E18DB2-6CFD-4A07-8FE7-6073794C531A},FallbackError,5,0x1,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, PartA_PrivTags:UInt64",CallGraph-d2
sub_14007AC1C,0x14007ac5e,Microsoft.Windows.Search.Indexer,{44E18DB2-6CFD-4A07-8FE7-6073794C531A},IndexerMetaFileDeleted,5,0x400000000000,"Function:AnsiString, FileName:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
sub_14005A478,0x14005a4b0,Microsoft.Windows.Search.Indexer,{44E18DB2-6CFD-4A07-8FE7-6073794C531A},Rebuild2,5,0x400000000000,"Reason:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
sub_140071558,0x140071590,Microsoft.Windows.Search.Indexer,{44E18DB2-6CFD-4A07-8FE7-6073794C531A},SemanticSearchEnablementStatus,5,0x400000000000,"EnablementStatus:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
sub_140013904,0x140013abd,Microsoft.Windows.Search.Indexer.Aggregated.High,{A6D99B05-2407-434F-A1E8-1BDBE45E80D2},IndexerPushApiDocumentsAddedByPackage,5,0x400000000000,"Count:UInt32, Name:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
sub_14000E6B0,0x14000e714,Microsoft.Windows.Search.Indexer.Aggregated.High,{A6D99B05-2407-434F-A1E8-1BDBE45E80D2},PushAPIIndexingElapseTime_Aggregate,5,0x400000000000,"Count:Int64, Elapsed_ms:Int64, Elapsed_Min:Int64, Elapsed_Max:Int64, PartA_PrivTags:UInt64",CallGraph-d2
sub_140013904,0x140013a39,Microsoft.Windows.Search.Indexer.Aggregated.High,{A6D99B05-2407-434F-A1E8-1BDBE45E80D2},SearchApiLog_Aggregate,5,0x400000000000,"Count:Int64, ClassName:UnicodeString, MethodName:UnicodeString, ClientProcessName:UnicodeString, Container:Bool32, PartA_PrivTags:UInt64",CallGraph-d2
sub_140013904,0x140013a68,Microsoft.Windows.Search.Indexer.Aggregated.High,{A6D99B05-2407-434F-A1E8-1BDBE45E80D2},SearchApiLog_Aggregate,5,0x400000000000,"Count:Int64, ClassName:UnicodeString, MethodName:UnicodeString, ClientProcessName:UnicodeString, Container:Bool32, PartA_PrivTags:UInt64",CallGraph-d2
sub_140013904,0x140013aa4,Microsoft.Windows.Search.Indexer.Aggregated.High,{A6D99B05-2407-434F-A1E8-1BDBE45E80D2},SearchApiLog_Aggregate,5,0x400000000000,"Count:Int64, ClassName:UnicodeString, MethodName:UnicodeString, ClientProcessName:UnicodeString, Container:Bool32, PartA_PrivTags:UInt64",CallGraph-d2
sub_14003CD3C,0x14003cd94,Microsoft.Windows.Search.Indexer.Aggregated.Low,{C000E9AE-71F9-426E-A1C2-C78FF53284BF},SearchCatalogManagerInit_Aggregate,5,0x400000000000,"Count:Int64, Application:UnicodeString, Catalog:UnicodeString, PerVolumeCatalogConfiguration:Bool32, ContainerClient:Bool32, ClientProcessName:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
sub_140030648,0x140030684,Microsoft.Windows.Search.Indexer.Aggregated.Medium,{0E37F868-97EA-4DA5-8DDD-AEB56B832726},SearchIndexerFallbackError_Aggregate,5,0x400000000000,"Count:Int64, FileName:AnsiString, LineNumber:UInt32, HResult:Int32(HResult), CallContext:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
sub_140012290,0x140012301,Microsoft.Windows.Search.Indexer.Aggregated.Normal,{C96CAD03-6C26-40C2-90B1-3CFFD7E8EB38},StoreAppEndpointApiCall_Aggregated,5,0x400000000000,"Count:Int64, StoreAppEndpointDuration_ms:UInt64, ApiCall:UnicodeString, PackageFamilyName:UnicodeString, HasContentStream:Bool32, result:Int32(HResult), OnAC:Bool32, PartA_PrivTags:UInt64",CallGraph-d1
sub_140031850,0x1400318b5,Microsoft.Windows.Search.Indexer.Diagnostics,{FA4269F1-D5AD-47B0-B4CD-7DF3091B9422},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
sub_140031850,0x1400319e3,Microsoft.Windows.Search.Indexer.Diagnostics,{FA4269F1-D5AD-47B0-B4CD-7DF3091B9422},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
sub_14008CE10,0x14008ce57,Microsoft.Windows.Search.Indexer.Diagnostics,{FA4269F1-D5AD-47B0-B4CD-7DF3091B9422},ActivityError,2,0x1,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
sub_140032078,0x1400320ed,Microsoft.Windows.Search.Indexer.Diagnostics,{FA4269F1-D5AD-47B0-B4CD-7DF3091B9422},ActivityFailure,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
