Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VCortanaSearchTelemetryLogging@@$00$00$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180120f98,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},ActivityError,2,0x200000000001,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VCortanaSearchTelemetryLogging@@$00$00$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1801210d6,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},ActivityError,2,0x1,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VCortanaSearchTelemetryLogging@@$00$00$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x180038fef,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},ActivityFailure,2,0x200000000001,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?ReportStopActivity@?$ActivityBase@VCortanaSearchTelemetryLogging@@$00$00$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@AEAAXJ@Z,0x180039151,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},ActivityFailure,2,0x200000000001,"PartA_PrivTags:UInt64, wilActivity:Struct(Hex), hresult:UInt32, threadId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?Stop@?$ActivityBase@VCortanaSearchTelemetryLogging@@$00$00$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18003837d,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},ActivityIntermediateStop,5,0x1,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
??$_tlgWriteActivityAutoStop@$00$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180116c1e,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},ActivityStoppedAutomatically,5,0x1,(none),GlobalFallback
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180108665,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",GlobalFallback
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18010882a,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",GlobalFallback
??$SearchBox_DynamicSearchBoxContentUpdateResult@AEBGAEBW4TestCompletionKind@@AEBIAEA_NAEAW4SearchAppearanceStatus@Appearance@Model@SearchUx@winrt@@PEB_W@DynamicSearchBoxTipTelemetry@@SAXAEBGAEBW4TestCompletionKind@@AEBIAEA_NAEAW4SearchAppearanceStatus@Appearance@Model@SearchUx@winrt@@$$QEAPEB_W@Z,0x18011613c,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},SearchBox_DynamicSearchBoxContentUpdateResult,5,0x400000000000,"UpdateResult:UInt32, completionKind:UInt32, durationMs:UInt32, isWebView2:UInt8(Boolean), dsbSetResult:UInt32, searchMetadataJsonString:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$SearchBox_GleamCleared@W4DynamicSearchBoxGleamClearedReason@@@DynamicSearchBoxTipTelemetry@@SAX$$QEAW4DynamicSearchBoxGleamClearedReason@@@Z,0x180116208,Microsoft.Windows.Shell.CortanaSearch,{E34441D9-5BCF-4958-B787-3BF824F362D7},SearchBox_GleamCleared,5,0x400000000000,"Reason:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
