Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VEduSecureAssessmentLoggingProvider@Logging@SecureAssessment@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d741,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VEduSecureAssessmentLoggingProvider@Logging@SecureAssessment@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0CAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001d894,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?NotifyFailure@?$ActivityBase@VEduSecureAssessmentLoggingProvider@Logging@SecureAssessment@Management@Internal@Windows@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180023eb1,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?Stop@?$ActivityBase@VEduSecureAssessmentLoggingProvider@Logging@SecureAssessment@Management@Internal@Windows@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18001df0e,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?Stop@?$ActivityBase@VEduSecureAssessmentLoggingProvider@Logging@SecureAssessment@Management@Internal@Windows@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180024f8e,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?LogException_@Utils@Logging@SecureAssessment@Management@Internal@Windows@@QEAAXAEBUFailureInfo@wil@@@Z,0x180008d1e,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},ExceptionFailure,2,0x0,"HResult:HexInt32, File:AnsiString, LineNumber:UInt32, Function:AnsiString, Message:UnicodeString, CallingContext:AnsiString",CallGraph-d1
?StartActivity@SaveSettingsLoaded@SecureAsessmentSettingsTelemetry@Logging@SecureAssessment@Management@Internal@Windows@@QEAAXXZ,0x18001dbaa,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},SaveSettingsLoaded,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopActivity@SaveSettingsLoaded@SecureAsessmentSettingsTelemetry@Logging@SecureAssessment@Management@Internal@Windows@@MEAAXXZ,0x18001e3d3,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},SaveSettingsLoaded,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@SaveSettingsLoaded@SecureAsessmentSettingsTelemetry@Logging@SecureAssessment@Management@Internal@Windows@@MEAAXXZ,0x18001e560,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},SaveSettingsLoaded,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartActivity@SaveSettingsTriggered@SecureAsessmentSettingsTelemetry@Logging@SecureAssessment@Management@Internal@Windows@@QEAAXXZ,0x18001dd46,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},SaveSettingsTriggered,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?Stop@SaveSettingsTriggered@SecureAsessmentSettingsTelemetry@Logging@SecureAssessment@Management@Internal@Windows@@QEAAX_N@Z,0x18001e06d,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},SaveSettingsTriggered,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, Flow Completed:UInt8(Boolean)",CallGraph-d1
?Stop@SaveSettingsTriggered@SecureAsessmentSettingsTelemetry@Logging@SecureAssessment@Management@Internal@Windows@@QEAAX_N@Z,0x18001e21d,Microsoft.Internal.Management.SecureAssessment.Logging,{B16D37F8-5C56-47CA-9EE0-7575347EBE5F},SaveSettingsTriggered,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, Flow Completed:UInt8(Boolean)",CallGraph-d1
