Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?GetCallerProcessPathViaWdsp@SecurityCenter@Windows@@YAJPEAPEAGK@Z,0x180019e40,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},GetCallerViaWdsp,5,0x400000000000,callerExe:UnicodeString,SingleProvider
?CleanupInvalidRegistrations@WscCbpManager@SecurityCenter@Windows@@QEAAJXZ,0x180011218,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscCbpCleanup,5,0x400000000000,"callerExe:UnicodeString, HResult:Int32(HResult), HResult2:Int32(HResult)",SingleProvider
?Register@WscCloudBackupProvider@SecurityCenter@Windows@@UEAAJPEAU_GUID@@PEAUHSTRING__@@1111W4CloudBackupProviderProductType@23@@Z,0x1800153d9,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscCbpRegister,5,0x400000000000,"productName:UnicodeString, callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?Unregister@WscCloudBackupProvider@SecurityCenter@Windows@@UEAAJU_GUID@@@Z,0x18001816d,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscCbpUnregister,5,0x400000000000,"callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?CleanupInvalidRegistrations@WscDpaManager@SecurityCenter@Windows@@QEAAJXZ,0x18000aaa0,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscDpaCleanup,5,0x400000000000,"callerExe:UnicodeString, HResult:Int32(HResult), HResult2:Int32(HResult)",SingleProvider
?Register@WscDataProtection@SecurityCenter@Windows@@UEAAJPEAUHSTRING__@@@Z,0x18000dd6c,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscDpaRegister,5,0x400000000000,"productName:UnicodeString, callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?Unregister@WscDataProtection@SecurityCenter@Windows@@UEAAJXZ,0x18000fe90,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscDpaUnregister,5,0x400000000000,"callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?CleanupInvalidRegistrations@WscSecurityAppManager@SecurityCenter@Windows@@QEAAJXZ,0x18001b229,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscSecurityAppCleanup,5,0x400000000000,"forcefieldtype:UInt32, callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?Register@SecurityAppManager@Shell@UI@Windows@@UEAAJW4SecurityAppKind@234@PEAUHSTRING__@@PEAUIUriRuntimeClass@Foundation@4@EPEAU_GUID@@@Z,0x18001e06f,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscSecurityAppRegister,5,0x400000000000,"forcefieldtype:UInt32, productName:UnicodeString, callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?Unregister@SecurityAppManager@Shell@UI@Windows@@UEAAJW4SecurityAppKind@234@U_GUID@@@Z,0x180020096,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscSecurityAppUnregister,5,0x400000000000,"forcefieldtype:UInt32, callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
?UpdateState@SecurityAppManager@Shell@UI@Windows@@UEAAJW4SecurityAppKind@234@U_GUID@@W4SecurityAppState@234@W4SecurityAppSubstatus@234@PEAUIUriRuntimeClass@Foundation@4@@Z,0x180020926,Microsoft.Windows.Security.WSC,{E6B5B34F-BD4D-5CDC-8346-EF4DC6CF1927},WscSecurityAppUpdate,5,0x400000000000,"forcefieldtype:UInt32, callerExe:UnicodeString, HResult:Int32(HResult)",SingleProvider
