Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
sub_180069AF8,0x180069e57,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},AccountPillar_UILockdown,5,0x400000000000,"__TlgCV__:AnsiString, IsEnabled:Bool32",Direct-Preceding
sub_18005DC70,0x18005df86,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},BuildRemediationExeFailed,5,0x400000000000,"__TlgCV__:AnsiString, hResult:Int32(HResult)",Direct-Preceding
sub_18006ABD0,0x18006b008,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},BuildToastFailed,5,0x400000000000,"toastType:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_18005B370,0x18005d244,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},DlpAllowClicked,5,0x400000000000,"ToastType:UInt32, SourceHash:UnicodeString, BinaryPath:UnicodeString",Direct-Preceding
sub_18005B370,0x18005ce3b,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},DlpDismissClicked,5,0x400000000000,"ToastType:UInt32, SourceHash:UnicodeString, BinaryPath:UnicodeString",Direct-Preceding
sub_18005B370,0x18005d477,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},DlpMoreActionsClicked,5,0x400000000000,"ToastType:UInt32, SourceHash:UnicodeString, BinaryPath:UnicodeString",Direct-Preceding
sub_180069318,0x18006952a,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},EnableForToasts,5,0x400000000000,"__TlgCV__:AnsiString, IsEnabled:Bool32",Direct-Preceding
sub_180069318,0x1800694a1,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetDwordConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069AF8,0x180069cb9,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetDwordConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069AF8,0x180069dc3,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetDwordConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069AF8,0x180069ecd,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetDwordConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069AF8,0x18006a0d6,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetDwordConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069AF8,0x18006a49e,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetDwordConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069318,0x1800695c8,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},GetStringConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, wdSCConfigId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180069318,0x180069737,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},HasEnterpriseCustomizationValue,5,0x400000000000,"__TlgCV__:AnsiString, policyNameFromId:AnsiString, wdscConfigId:UInt32, hasValue:Bool32, hResult:Int32(HResult)",Direct-Preceding
sub_180069318,0x18006981f,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},HasEnterpriseCustomizationValue,5,0x400000000000,"__TlgCV__:AnsiString, policyNameFromId:AnsiString, wdSCConfigId:UInt32, hasValue:Bool32, hResult:Int32(HResult)",Direct-Preceding
sub_180069318,0x180069907,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},HasEnterpriseCustomizationValue,5,0x400000000000,"__TlgCV__:AnsiString, policyNameFromId:AnsiString, wdSCConfigId:UInt32, hasValuePolicy has value:Bool32, hResult:Int32(HResult)",Direct-Preceding
sub_18006ABD0,0x18006ae9e,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},InfoToastDisabledFor24Hours,5,0x400000000000,toastType:UInt32,Direct-Preceding
sub_18005DC70,0x18005df3a,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},IsCoBrandingEnabledFailed,5,0x400000000000,"__TlgCV__:AnsiString, hResult:Int32(HResult)",Direct-Preceding
sub_18006ABD0,0x18006ad4d,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},IsNotificationsDisabledFailed,5,0x400000000000,"toastType:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_180063DA4,0x180067f54,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},IsQuietHoursRestricted,5,0x400000000000,hResult:Int32(HResult),Direct-Preceding
sub_180068CF0,0x180068e6e,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},ManagementShieldGetStringConfigFailed,5,0x400000000000,"__TlgCV__:AnsiString, configId:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_18005B370,0x18005ba04,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},NPAllowClicked,5,0x400000000000,"Hashed_Appname:UnicodeString, Hashed_Responsecategory:UnicodeString, PartA_PrivTags:UInt64",Direct-Preceding
sub_18005B370,0x18005bc95,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},NPDismissClicked,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
sub_180069AF8,0x180069f59,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},NetworkPillar_UILockdown,5,0x400000000000,"__TlgCV__:AnsiString, IsEnabled:Bool32",Direct-Preceding
sub_18006ABD0,0x18006ad80,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},NotificationDisabledByPolicy,5,0x400000000000,toastType:UInt32,Direct-Preceding
sub_180063DA4,0x180067e67,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},NotificationIgnoredQuietMode,5,0x400000000000,toastType:UInt32,Direct-Preceding
sub_180063DA4,0x180067fe3,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},NotificationSuppressedByQuietMode,5,0x400000000000,toastType:UInt32,Direct-Preceding
sub_18006ABD0,0x18006b130,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},SendToastNotification,5,0x400000000000,"__TlgCV__:AnsiString, toastType:UInt32",Direct-Preceding
sub_18006ABD0,0x18006b0b8,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},ShowToastFailed,5,0x400000000000,"toastType:UInt32, hResult:Int32(HResult)",Direct-Preceding
sub_18005B370,0x18005bde9,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},TVMAppControlAllowClicked,5,0x400000000000,"Hashed_Context:UnicodeString, PartA_PrivTags:UInt64",Direct-Preceding
sub_18005B370,0x18005c046,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},TVMAppControlDismissClicked,5,0x400000000000,PartA_PrivTags:UInt64,Direct-Preceding
sub_180069AF8,0x180069d4d,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},ThreatPillar_UILockdown,5,0x400000000000,"__TlgCV__:AnsiString, IsEnabled:Bool32",Direct-Preceding
sub_18006EEA0,0x18006ef1d,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},ToastFailed,5,0x400000000000,"ToastType:UInt32, HResult:Int32(HResult)",Direct-Preceding
sub_18006EDE0,0x18006ee55,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},ToastHidden,5,0x400000000000,"ToastType:UInt32, Reason:UInt32",Direct-Preceding
sub_180068CF0,0x180068d98,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},UtilCoCreateInstanceFailed,5,0x400000000000,"__TlgCV__:AnsiString, interfaceName:AnsiString, hResult:Int32(HResult)",Direct-Preceding
sub_180069318,0x1800693c6,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},UtilCoCreateInstanceFailed,5,0x400000000000,"__TlgCV__:AnsiString, interfaceName:AnsiString, hResult:Int32(HResult)",Direct-Preceding
sub_180069AF8,0x180069b9d,Microsoft.Windows.Defender.SecurityHealthAgent,{3A47280F-EF8D-41AF-9288-64DB7A9890D3},UtilCoCreateInstanceFailed,5,0x400000000000,"__TlgCV__:AnsiString, interfaceName:AnsiString, hResult:Int32(HResult)",Direct-Preceding
