Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?AddMsaStateTelemetry@DefenderShellServiceObject@@AEAAJXZ,0x1800159a4,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},AddMsaState,5,0x200000000000,"PartA_PrivTags:UInt64, ShouldNudge:Bool32, IsUserLocal:Bool32, IsUserAdmin:Bool32, Status:UnicodeString",SingleProvider
?AddMsaStateTelemetry@DefenderShellServiceObject@@AEAAJXZ,0x180015aa5,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},AddMsaState,5,0x200000000000,"PartA_PrivTags:UInt64, ShouldNudge:Bool32, IsUserLocal:Bool32, IsUserAdmin:Bool32, Status:UnicodeString",SingleProvider
?SendHeartbeatTelemetry@DefenderShellServiceObject@@QEAAJXZ,0x18002421c,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},DailyHeartbeat,5,0x400000000000,"PartA_PrivTags:UInt64, SummaryHealth:UnicodeString, ThreatProtectionHealth:UnicodeString, ThreatProtectionStatus:UnicodeString, DefenderAvHealth:UnicodeString, DefenderAvStatus:UnicodeString, DefenderPuaHealth:UnicodeString, DefenderPuaStatus:UnicodeString, NetworkProtectionHealth:UnicodeString, NetworkProtectionStatus:UnicodeString, HealthAdvisorHealth:UnicodeString, HealthAdvisorStatus:UnicodeString, AppAndBrowserHealth:UnicodeString, AppAndBrowserStatus:UnicodeString, HardwareSecurityHealth:UnicodeString, HardwareSecurityStatus:UnicodeString, AccountProtectionHealth:UnicodeString, AccountProtectionStatus:UnicodeString, OsProtectionHealth:UnicodeString, OsProtectionStatus:UnicodeString, DataProtectionHealth:UnicodeString, DataProtectionStatus:UnicodeString, ForceFieldWebHealth:UnicodeString, ForceFieldWebStatus:UnicodeString",SingleProvider
?SendHeartbeatTelemetry@DefenderShellServiceObject@@QEAAJXZ,0x180024702,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},DailyHeartbeat,5,0x400000000000,"PartA_PrivTags:UInt64, SummaryHealth:UnicodeString, ThreatProtectionHealth:UnicodeString, ThreatProtectionStatus:UnicodeString, DefenderAvHealth:UnicodeString, DefenderAvStatus:UnicodeString, DefenderPuaHealth:UnicodeString, DefenderPuaStatus:UnicodeString, NetworkProtectionHealth:UnicodeString, NetworkProtectionStatus:UnicodeString, HealthAdvisorHealth:UnicodeString, HealthAdvisorStatus:UnicodeString, AppAndBrowserHealth:UnicodeString, AppAndBrowserStatus:UnicodeString, HardwareSecurityHealth:UnicodeString, HardwareSecurityStatus:UnicodeString, AccountProtectionHealth:UnicodeString, AccountProtectionStatus:UnicodeString, OsProtectionHealth:UnicodeString, OsProtectionStatus:UnicodeString, DataProtectionHealth:UnicodeString, DataProtectionStatus:UnicodeString, ForceFieldWebHealth:UnicodeString, ForceFieldWebStatus:UnicodeString",SingleProvider
?DashBoardStatusChange@DefenderShellServiceObject@@AEAAJW4Pillars@@UPillarStatus@@@Z,0x180018344,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},HealthStatusUpdate,5,0x200000000000,"LastStatusState:UInt32, CurrentStatusState:UInt32, StatusFlag:UInt32, ElapsedTime:FileTime, Pillar:UInt32",SingleProvider
?DashBoardStatusChange@DefenderShellServiceObject@@AEAAJW4Pillars@@UPillarStatus@@@Z,0x180018458,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},HealthStatusUpdate,5,0x200000000000,"LastStatusState:UInt32, CurrentStatusState:UInt32, StatusFlag:UInt32, ElapsedTime:FileTime, Pillar:UInt32",SingleProvider
_lambda_772105ce49e439848dd9e2a052c03387_::operator(),0x180014a04,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},HeartbeatFailed,5,0x400000000000,"PartA_PrivTags:UInt64, HResult:Int32(HResult)",SingleProvider
_lambda_772105ce49e439848dd9e2a052c03387_::operator(),0x180014a6a,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},HeartbeatFailed,5,0x400000000000,"PartA_PrivTags:UInt64, HResult:Int32(HResult)",SingleProvider
?Start@DefenderShellServiceObject@@UEAAJIPEAPEAXPEAI@Z,0x180025b6f,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},StartupDisplayState,5,0x200000000000,"Version:UnicodeString, HealthActionState:UInt32",SingleProvider
?Start@DefenderShellServiceObject@@UEAAJIPEAPEAXPEAI@Z,0x180025bfa,Microsoft.Windows.Security.SysTray,{7C5F5242-FC39-4BCB-BB09-3C210E2CFEF4},StartupDisplayState,5,0x200000000000,"Version:UnicodeString, HealthActionState:UInt32",SingleProvider
