Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$HardWareCheckResult@W40HardwareCheck@@@CommandSearchHardwareRequirementsTelemetry@HardwareCheck@@SAX$$QEAW4HardWareCheckResult@1@@Z,0x18000f01d,Microsoft.Windows.Shell.CommandSearchHardwareRequirements,{20D197AE-104B-5B8B-7BD0-4CA2EF145FA6},HardWareCheckResult,5,0x400000000000,"result:UInt32, PartA_PrivTags:UInt64",Direct-Preceding
??$ESSCheckFailed@W4ESSCheckFailureReason@CopilotPlusDetection@udk@@@HardwareRequirementsTelemetry@CopilotPlusDetection@udk@@SAX$$QEAW4ESSCheckFailureReason@12@@Z,0x18000e624,Microsoft.Windows.Shell.HardwareRequirements,{90F3194F-973D-595C-49F1-260C90F22320},ESSCheckFailed,5,0x0,failureReason:Int32,CallGraph-d1
??$MeetsRequirementResult@W4HardwareRequirement@Profile@System@WindowsUdk@winrt@@W4CopilotPlusCapableResult@CopilotPlusDetection@udk@@@HardwareRequirementsTelemetry@CopilotPlusDetection@udk@@SAX$$QEAW4HardwareRequirement@Profile@System@WindowsUdk@winrt@@$$QEAW4CopilotPlusCapableResult@12@@Z,0x18000f19f,Microsoft.Windows.Shell.HardwareRequirements,{90F3194F-973D-595C-49F1-260C90F22320},MeetsRequirementResult,5,0x400000000000,"requirement:UInt32, result:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
??$NpuCheckFailed@AEAW4NpuCheckFailureReason@CopilotPlusDetection@udk@@@HardwareRequirementsTelemetry@CopilotPlusDetection@udk@@SAXAEAW4NpuCheckFailureReason@12@@Z,0x18000f388,Microsoft.Windows.Shell.HardwareRequirements,{90F3194F-973D-595C-49F1-260C90F22320},NpuCheckFailed,5,0x0,failureReason:Int32,CallGraph-d1
?NpuDriverVersionFallbackFailed@HardwareRequirementsTelemetry@CopilotPlusDetection@udk@@SAXXZ,0x18001c109,Microsoft.Windows.Shell.HardwareRequirements,{90F3194F-973D-595C-49F1-260C90F22320},NpuDriverVersionFallbackFailed,5,0x200000000000,PartA_PrivTags:UInt64,CallGraph-d1
??$NpuDriverVersionFallbackUsed@AEBIAEBI@HardwareRequirementsTelemetry@CopilotPlusDetection@udk@@SAXAEBI0@Z,0x18000f43f,Microsoft.Windows.Shell.HardwareRequirements,{90F3194F-973D-595C-49F1-260C90F22320},NpuDriverVersionFallbackUsed,5,0x200000000000,"vendorId:UInt32, deviceId:UInt32, PartA_PrivTags:UInt64",CallGraph-d1
?InitialTask_OOBECompleteSignalReceived@SettingsDownloadTelemetry@@SAXXZ,0x18001a501,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_OOBECompleteSignalReceived,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InitialTask_OOBEInEnduserSessionSignalReceived@SettingsDownloadTelemetry@@SAXXZ,0x18001a59d,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_OOBEInEnduserSessionSignalReceived,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InitialTask_RunforNewReleaseDetected@SettingsDownloadTelemetry@@SAXXZ,0x18001a639,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_RunforNewReleaseDetected,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InitialTask_RunwithNotFoundRegKey@SettingsDownloadTelemetry@@SAXXZ,0x18001a6d5,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_RunwithNotFoundRegKey,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InitialTask_RunwithUnableGetSystemOSBuild@SettingsDownloadTelemetry@@SAXXZ,0x18001a771,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_RunwithUnableGetSystemOSBuild,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InitialTask_SkippedRunningwithNoUpdate@SettingsDownloadTelemetry@@SAXXZ,0x18001a80d,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_SkippedRunningwithNoUpdate,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?InitialTask_Started@SettingsDownloadTelemetry@@SAXXZ,0x18001a8a9,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_Started,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
??$InitialTask_UpdatedNewOSBuildVersion@AEAY0CA@G@SettingsDownloadTelemetry@@SAXAEAY0CA@G@Z,0x18000f103,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_UpdatedNewOSBuildVersion,5,0x400000000000,"NewBuildVersion:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
?InitialTask_WaitForCorrectOOBEStateFailed@SettingsDownloadTelemetry@@SAXXZ,0x18001a945,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},InitialTask_WaitForCorrectOOBEStateFailed,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d1
?Worker@SettingsConfigTaskHandler@@EEAAJXZ,0x18001e385,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},ModelInstallationBlockedByCommandSearchDisablement,5,0x0,(none),CallGraph-d1
??$ModelInstallation_Failed@W4ModelName@@AEBJ@SettingsDownloadTelemetry@@SAX$$QEAW4ModelName@@AEBJ@Z,0x18000f2ad,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},ModelInstallation_Failed,5,0x0,"ModelName:UInt32, hr:Int32",CallGraph-d1
?InstallModels@@YAXXZ,0x18001a9ed,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},ModelInstallation_Started,5,0x0,(none),CallGraph-d1
??$ModelInstallation_Succeeded@W4ModelName@@@SettingsDownloadTelemetry@@SAX$$QEAW4ModelName@@@Z,0x18000f308,Microsoft.Windows.Shell.Settings,{C84D9753-CE12-4A44-8F9D-95FF49A6418D},ModelInstallation_Succeeded,5,0x0,ModelName:UInt32,CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800068e4,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180006b76,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d1
