Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VBackupSettingsLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800209c8,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VBackupSettingsLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180020b10,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VBackupSettingsLogging@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180021471,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$AppPolicyPersistUpdate@AEA_N@BackupSettingsTelemetry@@SAXAEA_N@Z,0x18001daf4,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},AppPolicyPersistUpdate,5,0x400000000000,"IsEnabled:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
?StartActivity@BackupRestrictionCheckActivity@BackupSettingsTelemetry@@QEAAXXZ,0x1800212c6,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},BackupRestrictionCheckActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@BackupRestrictionCheckActivity@BackupSettingsTelemetry@@MEAAXXZ,0x180021552,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},BackupRestrictionCheckActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@BackupRestrictionCheckActivity@BackupSettingsTelemetry@@MEAAXXZ,0x1800216b1,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},BackupRestrictionCheckActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$BackupRestrictionCoordState@AEA_NAEA_N@BackupRestrictionCheckActivity@BackupSettingsTelemetry@@QEAAXAEA_N0@Z,0x18001db65,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},BackupRestrictionCoordState,5,0x400000000000,"IsInit:UInt8(Boolean), IsStateAvailable:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$BackupRestrictionState@_N_N@BackupRestrictionCheckActivity@BackupSettingsTelemetry@@QEAAX$$QEA_N0@Z,0x18001dc05,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},BackupRestrictionState,5,0x400000000000,"IsApplicable:UInt8(Boolean), IsRestricted:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$GetPolicyFailed@_N@BackupSettingsTelemetry@@SAX$$QEA_N@Z,0x18001dca0,Microsoft.Windows.Shell.BackupSettingsTelemetry,{D1A88E97-9791-47D1-95D9-415C202C9228},GetPolicyFailed,5,0x400000000000,"IsAssociateFix:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
