Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$RunningAsSystem@W4RunningAsSystemAction@JapaneseImeTraceLoggingTelemetry@@@JapaneseImeTraceLoggingTelemetry@@SAX$$QEAW4RunningAsSystemAction@0@@Z,0x18009a734,Microsoft.Windows.Desktop.TextInput.JapaneseIme,{47A8EA0F-BE9F-5A94-1586-5DED19D57C3D},RunningAsSystem,5,0x0,action:UInt32,CallGraph-d1
?SettingChanged_@ChsImeSettingsTraceLoggingTelemetry@@QEAAXW4ImeId@@W4SettingItemType@@_N@Z,0x18006b419,Microsoft.Windows.TextInput.ChsIme,{3BD9576D-203C-4B2D-8F1C-2A4574B3BE78},SettingChanged,5,0x400000000000,"PartA_PrivTags:UInt64, Ime:UnicodeString, SettingType:UnicodeString, Result:UnicodeString, Version:UnicodeString",CallGraph-d2
?SettingItemClicked_@ChsImeSettingsTraceLoggingTelemetry@@QEAAXW4ImeId@@W4SettingItemType@@W4SettingItemAction@@_NPEB_W@Z,0x18006b52c,Microsoft.Windows.TextInput.ChsIme,{3BD9576D-203C-4B2D-8F1C-2A4574B3BE78},SettingItemClicked,5,0x400000000000,"PartA_PrivTags:UInt64, ime:UnicodeString, actions:UnicodeString, version:UnicodeString",CallGraph-d2
??$CandidateWindowFontSizeChanged@PEBDAEAK@ImeSettingsTraceLoggingTelemetry@@SAX$$QEAPEBDAEAK@Z,0x1800762b2,Microsoft.Windows.TextInput.ImeSettings,{C442C41D-98C0-4A33-845D-902ED64F695B},CandidateWindowFontSizeChanged,5,0x400000000000,"ime:AnsiString, fontSize:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$HistoryDeleted@PEBD_N@ImeSettingsTraceLoggingTelemetry@@SAX$$QEAPEBD$$QEA_N@Z,0x1800765fa,Microsoft.Windows.TextInput.ImeSettings,{C442C41D-98C0-4A33-845D-902ED64F695B},HistoryDeleted,5,0x400000000000,"language:AnsiString, succeeded:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$Tsf3OverrideEnablementChanged@AEAY06$$CBDAEA_N@ImeSettingsTraceLoggingTelemetry@@SAXAEAY06$$CBDAEA_N@Z,0x180076bd2,Microsoft.Windows.TextInput.ImeSettings,{C442C41D-98C0-4A33-845D-902ED64F695B},Tsf3OverrideEnablementChanged,5,0x400000000000,"Language:AnsiString, Enabled:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$Tsf3OverrideEnablementChanged@AEAY08$$CBDAEA_N@ImeSettingsTraceLoggingTelemetry@@SAXAEAY08$$CBDAEA_N@Z,0x180076c5a,Microsoft.Windows.TextInput.ImeSettings,{C442C41D-98C0-4A33-845D-902ED64F695B},Tsf3OverrideEnablementChanged,5,0x400000000000,"Language:AnsiString, Enabled:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$Tsf3OverrideEnablementChanged@PEBDAEA_N@ImeSettingsTraceLoggingTelemetry@@SAX$$QEAPEBDAEA_N@Z,0x180076cda,Microsoft.Windows.TextInput.ImeSettings,{C442C41D-98C0-4A33-845D-902ED64F695B},Tsf3OverrideEnablementChanged,5,0x400000000000,"Language:AnsiString, Enabled:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180008a3b,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180008c4d,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800089a6,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180008b29,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000b85d,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000ba1f,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
