Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VBatterySaverLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18004a4b5,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VBatterySaverLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18004a5fd,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VBatterySaverLoggingProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x18005060e,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@BatteryPercentageChangeActivity@BatterySaverSettingsTelemetryClass@@QEAAXXZ,0x18005b04b,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatteryPercentageChangeActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@BatteryPercentageChangeActivity@BatterySaverSettingsTelemetryClass@@MEAAXXZ,0x18005b0f2,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatteryPercentageChangeActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@BatteryPercentageChangeActivity@BatterySaverSettingsTelemetryClass@@MEAAXXZ,0x18005b257,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatteryPercentageChangeActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$BatteryPercentageEnabled@AEA_N@BatterySaverSettingsTelemetryClass@@SAXAEA_N@Z,0x180059df8,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatteryPercentageEnabled,5,0x400000000000,"batteryPercentageEnabled:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
?StartActivity@BatterySaverForcedOverride@BatterySaverSettingsTelemetryClass@@QEAAXXZ,0x18004ff39,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatterySaverForcedOverride,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@BatterySaverForcedOverride@BatterySaverSettingsTelemetryClass@@MEAAXXZ,0x1800506e2,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatterySaverForcedOverride,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@BatterySaverForcedOverride@BatterySaverSettingsTelemetryClass@@MEAAXXZ,0x180050847,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatterySaverForcedOverride,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$BatterySaverSettingPageUserFailedOverride@AEAJ@BatterySaverSettingsTelemetryClass@@SAXAEAJ@Z,0x180036c3f,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},BatterySaverSettingPageUserFailedOverride,5,0x400000000000,overrideHr:Int32,CallGraph-d2
??$DynamicResolutionChanged@AEAI_N@BatterySaverSettingsTelemetryClass@@SAXAEAI$$QEA_N@Z,0x180037882,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},DynamicResolutionChanged,5,0x400000000000,"newResolutionValue:UInt32, userCancelledReboot:UInt8(Boolean)",CallGraph-d2
??$QuickSettingsNewBatteryIconDisplayed@_N@BatterySaverSettingsTelemetryClass@@SAX$$QEA_N@Z,0x180056d70,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},QuickSettingsNewBatteryIconDisplayed,5,0x400000000000,"quickSettingsNewBatteryIconDisplayed:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$SettingsNewBatteryIconDisplayed@_N@BatterySaverSettingsTelemetryClass@@SAX$$QEA_N@Z,0x180056ddc,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},SettingsNewBatteryIconDisplayed,5,0x400000000000,"settingsNewBatteryIconDisplayed:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
?StartActivity@ThresholdUserActivity@BatterySaverSettingsTelemetryClass@@QEAAXXZ,0x18004ffd9,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ThresholdUserActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@ThresholdUserActivity@BatterySaverSettingsTelemetryClass@@MEAAXXZ,0x180050912,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ThresholdUserActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@ThresholdUserActivity@BatterySaverSettingsTelemetryClass@@MEAAXXZ,0x180050a77,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ThresholdUserActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$ThresholdValueChanged@AEAK@BatterySaverSettingsTelemetryClass@@SAXAEAK@Z,0x180038ebb,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},ThresholdValueChanged,5,0x400000000000,currentBatteryThresholdValue:UInt32,CallGraph-d2
??$UserForcedOverride@H@BatterySaverSettingsTelemetryClass@@SAX$$QEAH@Z,0x180038f21,Microsoft.Windows.Shell.SystemSettings.BatterySaver,{571AC9D5-12FD-4438-B630-61FB26BBB0AC},UserForcedOverride,5,0x400000000000,overrideStatus:UInt8(Boolean),CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18002b991,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18002bba3,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18002b8fc,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18002ba7f,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180039cdf,Unknown,Unknown,ActivityStoppedAutomatically,5,0x400000000000,(none),Unresolved
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18002e6a1,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18002e86a,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
