Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$BrightnessEcoSettingChanged@AEAK@EcoModeTelemetryProvider@@SAXAEAK@Z,0x180030565,Microsoft.Windows.EcoMode.EcoSettings,{00BAD805-8FF9-5470-9EF2-75C80D6D0183},BrightnessEcoSettingChanged,5,0x400000000000,"newValue:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
??$ClickedEcoSettingApply@PEBG@EcoModeTelemetryProvider@@SAX$$QEAPEBG@Z,0x180018ab9,Microsoft.Windows.EcoMode.EcoSettings,{00BAD805-8FF9-5470-9EF2-75C80D6D0183},ClickedEcoSettingApply,5,0x400000000000,"settingId:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$OnPageLoad@AEAIAEAI@EcoModeTelemetryProvider@@SAXAEAI0@Z,0x180027c11,Microsoft.Windows.EcoMode.EcoSettings,{00BAD805-8FF9-5470-9EF2-75C80D6D0183},OnPageLoad,5,0x400000000000,"numberSettingsApplied:UInt32, numberSettingsApplicable:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
?WindowsCopilotSessionSummaryEvent_@WindowsCopilotCommonTelemetry@@QEAAXPEBG000_N100K11@Z,0x18002b313,Microsoft.Windows.Shell.WindowsCopilot,{4E3913AB-EC9D-5368-EE88-57303F5B4BE5},WindowsCopilotSessionSummaryEvent,5,0x400000000000,"PartA_PrivTags:UInt64, featureName:UnicodeString, componentName:UnicodeString, startApplication:UnicodeString, endApplication:UnicodeString, featureIdentifiersSeen:UnicodeString, actionNamesCompleted:UnicodeString, featureViewed:UInt8(Boolean), actionCompleted:UInt8(Boolean), durationMs:UInt32, resultKeptNeedsEvaluation:UInt8(Boolean), resultKept:UInt8(Boolean)",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18000633b,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18000654d,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800062a6,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180006429,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180009081,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180009243,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
