Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180059c74,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180059f06,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180059bda,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d1
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180059df7,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d1
??$ShareTargetAdded@IAEAY00$$CB_WAEAY00$$CB_WH@ShareTargetPlatformTraceLogger@@SAX$$QEAIAEAY00$$CB_W1$$QEAHPEBD@Z,0x180046cd0,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetAdded,5,0x400000000000,"ShareTargetsAdded:UInt32, DiscoveredAppIds:UnicodeString, ShareTargetKind:UnicodeString, TimeToDiscoverTargets:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetAdded@IPEB_WPEB_WAEAI@ShareTargetPlatformTraceLogger@@SAX$$QEAI$$QEAPEB_W1AEAIPEBD@Z,0x180046dad,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetAdded,5,0x400000000000,"ShareTargetsAdded:UInt32, DiscoveredAppIds:UnicodeString, ShareTargetKind:UnicodeString, TimeToDiscoverTargets:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetDataFormatNotRegistered@PEB_W@ShareTargetPlatformTraceLogger@@SAX$$QEAPEB_W@Z,0x18004edcd,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetDataFormatNotRegistered,5,0x400000000000,"DataFormatStr:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetInvoked@PEB_WPEB_WAEAI@ShareTargetPlatformTraceLogger@@SAX$$QEAPEB_W0AEAIPEBD@Z,0x180046e89,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetInvoked,5,0x400000000000,"ShareTargetKind:UnicodeString, ShareTargetId:UnicodeString, TimeToInvokeTarget:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetRemoved@I@ShareTargetPlatformTraceLogger@@SAX$$QEAIPEBD@Z,0x180046f49,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetRemoved,5,0x400000000000,"ShareTargetsRemoved:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetUpdated@I@ShareTargetPlatformTraceLogger@@SAX$$QEAIPEBD@Z,0x180046fd5,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetUpdated,5,0x400000000000,"ShareTargetsUpdated:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetWatcherEnumerationCompleted@AEAH@ShareTargetPlatformTraceLogger@@SAXAEAHPEBD@Z,0x180047061,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetWatcherEnumerationCompleted,5,0x400000000000,"DiscoveredShareTargets:UInt32, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
??$ShareTargetWatcherInitalized@PEB_W@ShareTargetPlatformTraceLogger@@SAX$$QEAPEB_WPEBD@Z,0x180047190,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetWatcherInitalized,5,0x400000000000,"CurrentProcessName:UnicodeString, __TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d1
?Start@ShareTargetWatcher@implementation@DataTransfer@ApplicationModel@WindowsUdk@winrt@@QEAAXXZ,0x18004c3d9,Microsoft.WindowsUdk.ApplicationModel.DataTransfer.ShareTarget,{D3476C25-E553-4443-A792-55AE7F2DF1C5},ShareTargetWatcherStarted,5,0x400000000000,"__TlgCV__:AnsiString, PartA_PrivTags:UInt64",CallGraph-d2
