Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VLanguageFeaturesOnDemandSettings@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14004c2e5,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VLanguageFeaturesOnDemandSettings@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14004c42d,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VLanguageFeaturesOnDemandSettings@@$00$0EAAAAAAAAAAA@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x14004d07a,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@InstallRequest@LanguageFeaturesOnDemandSettingsTelemetryProvider@@QEAAXPEBG@Z,0x14004cf09,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},InstallRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, featureList:UnicodeString",CallGraph-d2
?StopActivity@InstallRequest@LanguageFeaturesOnDemandSettingsTelemetryProvider@@MEAAXXZ,0x14004d152,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},InstallRequest,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@InstallRequest@LanguageFeaturesOnDemandSettingsTelemetryProvider@@MEAAXXZ,0x14004d2ba,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},InstallRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@UninstallRequest@LanguageFeaturesOnDemandSettingsTelemetryProvider@@QEAAXPEBG@Z,0x14004cfb5,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},UninstallRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, featureList:UnicodeString",CallGraph-d2
?StopActivity@UninstallRequest@LanguageFeaturesOnDemandSettingsTelemetryProvider@@MEAAXXZ,0x14004d392,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},UninstallRequest,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@UninstallRequest@LanguageFeaturesOnDemandSettingsTelemetryProvider@@MEAAXXZ,0x14004d4fa,Microsoft.Windows.Desktop.Shell.LanguageFeaturesOnDemandSettings,{E613A5D7-363E-5200-B311-02B426D8A73B},UninstallRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?NotifyFailure@?$ActivityBase@VLanguagePackSettingsLogging@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x14003e015,Microsoft.Windows.Desktop.Shell.LanguagePackInstallSettings,{17D6A222-AF97-560B-6F18-389900D6AD1E},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
