Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?GetItemTypeHelper_@TaskTelemetry@@QEAAXPEBG_K@Z,0x180014e5c,Microsoft.Windows.UserDataAccess.TaskApis,{D6EAC963-C24F-434D-BE23-4AA21904148F},GetItemTypeHelper,5,0x400000000000,"OpName:UnicodeString, ElapseTime:UInt64, EventCount:UInt32",CallGraph-d2
??$GetResultsError@AEAPEBGAEAY0GB@$$CBDAEAJ@TaskTelemetry@@SAXAEAPEBGAEAY0GB@$$CBDAEAJ@Z,0x180025756,Microsoft.Windows.UserDataAccess.TaskApis,{D6EAC963-C24F-434D-BE23-4AA21904148F},GetResultsError,5,0x400000000000,"ProviderName:UnicodeString, File:AnsiString, HR:Int32",CallGraph-d2
??$GetResultsError@AEAPEBGAEAY0GH@$$CBDAEAJ@TaskTelemetry@@SAXAEAPEBGAEAY0GH@$$CBDAEAJ@Z,0x18002705e,Microsoft.Windows.UserDataAccess.TaskApis,{D6EAC963-C24F-434D-BE23-4AA21904148F},GetResultsError,5,0x400000000000,"ProviderName:UnicodeString, File:AnsiString, HR:Int32",CallGraph-d2
??$RequestMissingOpKindError@AEAPEBG@TaskTelemetry@@SAXAEAPEBG@Z,0x1800221c4,Microsoft.Windows.UserDataAccess.TaskApis,{D6EAC963-C24F-434D-BE23-4AA21904148F},RequestMissingOpKindError,5,0x400000000000,CallerName:UnicodeString,CallGraph-d2
??$RequestParsingError@AEAPEBGAEAIAEAJ@TaskTelemetry@@SAXAEAPEBGAEAIAEAJ@Z,0x180022235,Microsoft.Windows.UserDataAccess.TaskApis,{D6EAC963-C24F-434D-BE23-4AA21904148F},RequestParsingError,5,0x400000000000,"CallerName:UnicodeString, OpKind:UInt32, HR:Int32",CallGraph-d2
?RequestStoreAsync_@TaskTelemetry@@QEAAXH_K@Z,0x18000a7c1,Microsoft.Windows.UserDataAccess.TaskApis,{D6EAC963-C24F-434D-BE23-4AA21904148F},RequestStoreAsync,5,0x400000000000,"ConsentRevoked:Bool32, ElapseTime:UInt64, EventCount:UInt32",CallGraph-d2
?NotifyFailure@?$ActivityBase@VUserDataApisBaseProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180038845,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VUserDataApisBaseProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18003898d,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VUserDataApisBaseProvider@@$00$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x1800394d1,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$ReceiveServiceInitialize@AEAH@UserDataApisBaseTelemetry@@SAXAEAH@Z,0x1800375a7,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ReceiveServiceInitialize,5,0x400000000000,initialized:Int32,CallGraph-d2
?StartActivity@ReconnectSession@UserDataApisBaseTelemetry@@QEAAXK@Z,0x1800393fa,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ReconnectSession,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, Session:UInt32",CallGraph-d2
?StopActivity@ReconnectSession@UserDataApisBaseTelemetry@@MEAAXXZ,0x1800395a2,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ReconnectSession,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@ReconnectSession@UserDataApisBaseTelemetry@@MEAAXXZ,0x180039707,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},ReconnectSession,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$RetryConnectionWaitFailure@AEAJK@UserDataApisBaseTelemetry@@SAXAEAJ$$QEAK@Z,0x180037646,Microsoft.Windows.UserDataAccess.UserDataApisBase,{0A0A7808-8DDA-4BA0-A656-B2C740AB9108},RetryConnectionWaitFailure,5,0x400000000000,"hr:UInt32, session:UInt32",CallGraph-d2
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180037953,Unknown,Unknown,ActivityStoppedAutomatically,5,0x400000000000,(none),Unresolved
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000a44d,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x18000a616,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
