Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180058961,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180058b73,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800588cc,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x180058a4f,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
?ActionQueueAdded@TextStoreJunction@TraceLogging@TextInputFramework@@SAXW4TextStoreJunctionType@@AEBUTextboxTracingId@@AEBUProviderTracingId@@G@Z,0x1800d85c1,TSF,{E584205E-BD01-46FF-B652-5B52B6AE62D4},TSJ::ActionQueueAdded,5,0x1,"TSJ:UInt32, textboxId:Struct(Boolean), globalId:UInt32, sourceId:UInt32, threadId:UInt32, providerId:Struct(String), threadId:UInt32, id:UInt16, base:UInt16(Hex)",CallGraph-d1
?ActionQueueRemoved@TextStoreJunction@TraceLogging@TextInputFramework@@SAXW4TextStoreJunctionType@@AEBUTextboxTracingId@@G@Z,0x1800d8690,TSF,{E584205E-BD01-46FF-B652-5B52B6AE62D4},TSJ::ActionQueueRemoved,5,0x1,"TSJ:UInt32, textboxId:Struct(Boolean), globalId:UInt32, sourceId:UInt32, threadId:UInt32, providerId:UInt16",CallGraph-d1
?BASE_changed@TextStoreJunction@TraceLogging@TextInputFramework@@SAXW4TextStoreJunctionType@@AEBUTextboxTracingId@@G_N@Z,0x1800d87fd,TSF,{E584205E-BD01-46FF-B652-5B52B6AE62D4},TSJ::BASE_changed,5,0x1,"TSJ:UInt32, textboxId:Struct(Boolean), globalId:UInt32, sourceId:UInt32, threadId:UInt32, base:UInt16(Hex), incremented:UInt8(Boolean)",CallGraph-d1
?Created@TextStoreJunction@TraceLogging@TextInputFramework@@SAXW4TextStoreJunctionType@@AEBUTextboxTracingId@@@Z,0x1800d8a99,TSF,{E584205E-BD01-46FF-B652-5B52B6AE62D4},TSJ::Created,5,0x1,"TSJ:UInt32, textboxId:Struct(Boolean), globalId:UInt32, sourceId:UInt32, threadId:UInt32",CallGraph-d1
?Destroyed@TextStoreJunction@TraceLogging@TextInputFramework@@SAXW4TextStoreJunctionType@@AEBUTextboxTracingId@@@Z,0x1800d8b09,TSF,{E584205E-BD01-46FF-B652-5B52B6AE62D4},TSJ::Destroyed,5,0x1,"TSJ:UInt32, textboxId:Struct(Boolean), globalId:UInt32, sourceId:UInt32, threadId:UInt32",CallGraph-d1
?EditActionCompleted@TextStoreJunction@TraceLogging@TextInputFramework@@SAXW4TextStoreJunctionType@@AEBUTextboxTracingId@@AEBUEditActionHeader@@W4EditActionState@@@Z,0x1800d8fbb,TSF,{E584205E-BD01-46FF-B652-5B52B6AE62D4},TSJ::EditActionCompleted,5,0x1,"TSJ:UInt32, textboxId:Struct(Boolean), globalId:UInt32, sourceId:UInt32, threadId:UInt32, header:Struct(Port), textbox:UInt32, provider:UInt16, base:UInt16(Hex), payload:UInt16, ordinal:UInt16, type:HexInt32, uniqueId:HexInt32, result:UInt32",CallGraph-d1
