Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$BeforeMigrationInformation@AEAY0BI@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BI@$$CBG@Z,0x180013d79,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},BeforeMigrationInformation,5,0x800000000000,"Message:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$BeforeMigrationInformation@AEAY0CE@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0CE@$$CBG@Z,0x180013ded,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},BeforeMigrationInformation,5,0x800000000000,"Message:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY09$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY09$$CBG@Z,0x18003a425,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BA@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BA@$$CBG@Z,0x180013e61,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BB@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BB@$$CBG@Z,0x180013ed5,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BC@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BC@$$CBG@Z,0x180013f49,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BJ@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BJ@$$CBG@Z,0x180013fbd,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BL@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BL@$$CBG@Z,0x18003a499,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BM@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BM@$$CBG@Z,0x18001402f,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0BO@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0BO@$$CBG@Z,0x1800140a1,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0CG@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0CG@$$CBG@Z,0x180014115,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
??$ConnectionEvent@AEAY0N@$$CBG@CommMgrTraceProvider@Telemetry@CommunicationManager@UserStateMigration@Internal@Windows@@SAXAEAY0N@$$CBG@Z,0x18003a50d,Microsoft.Windows.WindowsMigration.CommunicationManager,{E64CEDDA-887E-53C4-E788-8206F7767CCF},ConnectionEvent,5,0x800000000000,"ConnectionState:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d1
