Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$_tlgWriteActivityAutoStop@$0A@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x1800098e7,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},ActivityStoppedAutomatically,5,0x0,(none),GlobalFallback
??$_tlgWriteActivityAutoStop@$0EAAAAAAAAAAA@$04@@YAXPEBU_tlgProvider_t@@PEBU_GUID@@@Z,0x180009922,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},ActivityStoppedAutomatically,5,0x400000000000,(none),GlobalFallback
?AddRACSidACEToPath@RestrictedAppContainerFactoryServer@Core@ApplicationModel@Windows@@CAJPEBGPEAU_ACL@@PEAXPEBU_GUID@@@Z,0x180011d4e,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},AddRACSidACEToPath,5,0x0,RACPath:UnicodeString,Direct-Preceding
_lambda_245d59dc9ee7fdb755042a72e9343bbc_::operator(),0x18000c6ea,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},CheckForAndApplyMissingAppContainerACLs_Failed,5,0x0,"RAC:UnicodeString, hr:UInt32",Direct-Preceding
_lambda_3180333d606ef480c205e68aac44850f_::operator(),0x18000c9ee,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},CheckForMissingAppContainerState_Failed,5,0x0,"RAC:UnicodeString, hr:UInt32",Direct-Preceding
_lambda_244887158215257d898d90e114cba5c8_::operator(),0x18000c68d,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},CheckMissingRACKeyACLs_Failed,5,0x0,"RAC:UnicodeString, Client:UnicodeString, hr:UInt32",Direct-Preceding
?CheckRACHealthForOpen@RestrictedAppContainerFactoryServer@Core@ApplicationModel@Windows@@SAJPEBG0PEAXPEBU_GUID@@@Z,0x1800132fb,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},CheckRACHealthForOpen_Failed,5,0x0,"RAC:UnicodeString, Client:UnicodeString",Direct-Preceding
?CreateRACUnderImpersonation@RestrictedAppContainerServer@Core@ApplicationModel@Windows@@AEAAJPEAXPEBG110_NPEBU_GUID@@AEA_N@Z,0x180013ff9,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},CreateRACUnderImpersonation,5,0x0,"RAC:UnicodeString, Client:UnicodeString, isRecovery:UInt32",Direct-Preceding
?LogFailureWithContext@RacEtw@ReservedForLocalUse@ApplicationModel@Windows@@SAXPEBU_EVENT_DESCRIPTOR@@PEBGJPEBU_GUID@@@Z,0x18001844c,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},FailureContext,5,0x0,"Context:UnicodeString, hr:UInt32",Direct-Preceding
?LogFailureNoContext@RacEtw@ReservedForLocalUse@ApplicationModel@Windows@@SAXPEBU_EVENT_DESCRIPTOR@@JPEBU_GUID@@@Z,0x18001834e,Microsoft-Windows-AppModel-Runtime,{F1EF270A-0D32-4352-BA52-DBAB41E1D859},FailureNoContext,5,0x0,hr:Int32(HResult),Direct-Preceding
