Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VAppModelWinRtProvider@@$0A@$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180072e61,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
??$Stop@W4LimitedAccessFeatureStatus@ApplicationModel@Windows@winrt@@@CheckFeatureUnlockForIdentity@AppModelWinRtProvider@@QEAAXAEBW4LimitedAccessFeatureStatus@ApplicationModel@Windows@winrt@@@Z,0x180070767,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},CheckFeatureUnlockForIdentity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, static_cast<uint32_t>(result):UInt32",CallGraph-d2
??$Stop@W4LimitedAccessFeatureStatus@ApplicationModel@Windows@winrt@@@CheckFeatureUnlockForIdentity@AppModelWinRtProvider@@QEAAXAEBW4LimitedAccessFeatureStatus@ApplicationModel@Windows@winrt@@@Z,0x180070904,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},CheckFeatureUnlockForIdentity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, static_cast<uint32_t>(result):UInt32",CallGraph-d2
?StartActivity@CheckFeatureUnlockForIdentity@AppModelWinRtProvider@@QEAAXPEBG000@Z,0x180073281,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},CheckFeatureUnlockForIdentity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, identity:UnicodeString, feature:UnicodeString, token:UnicodeString, attestation:UnicodeString",CallGraph-d2
?StopActivity@CheckFeatureUnlockForIdentity@AppModelWinRtProvider@@MEAAXXZ,0x1800734d7,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},CheckFeatureUnlockForIdentity,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?StopActivity@CheckFeatureUnlockForIdentity@AppModelWinRtProvider@@MEAAXXZ,0x18007365f,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},CheckFeatureUnlockForIdentity,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$TraceFailureFromProvider@VAppModelWinRtProvider@@@@YAXAEBUFailureInfo@wil@@@Z,0x18002f3ce,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},Failure,2,0x200000000000,"HResult:Int32(HResult), File:AnsiString, LineNumber:UInt32, Message:UnicodeString",CallGraph-d2
??$Stop@I@GetLimitedAccessFeatureStatus@AppModelWinRtProvider@@QEAAXAEBI@Z,0x180070503,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},GetLimitedAccessFeatureStatus,5,0x0,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString, static_cast<uint32_t>(result):UInt32",CallGraph-d2
??$Stop@I@GetLimitedAccessFeatureStatus@AppModelWinRtProvider@@QEAAXAEBI@Z,0x1800706a0,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},GetLimitedAccessFeatureStatus,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, static_cast<uint32_t>(result):UInt32",CallGraph-d2
?StartActivity@GetLimitedAccessFeatureStatus@AppModelWinRtProvider@@QEAAXPEBG@Z,0x180073351,Microsoft.Windows.AppModelRuntimeWinRT,{EADB8F1B-577D-4D09-8104-B61A3D9036E5},GetLimitedAccessFeatureStatus,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, feature:UnicodeString",CallGraph-d2
