Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?Initialize@BleMidiDevice@Midi@Devices@Windows@@QEAAJPEAUHSTRING__@@PEAVMidiPortMediator@Internal@234@@Z,0x18002b77f,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiDevice::Initialize,5,0x0,"midiInterfaceId:UnicodeString, m_DeviceTag:UInt64, m_RealDeviceMode:Int32",Direct-Preceding
?InitializeViaBluetoothGATT@BleMidiDevice@Midi@Devices@Windows@@QEAAJPEAX@Z,0x18002b8cc,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiDevice::InitializeViaBluetoothGATT,5,0x0,"This:HexInt64, pGattServices:HexInt64, gattServicesCount:UInt16, HResult:Int32(HResult)",Direct-Preceding
?Stop@BleMidiDevice@Midi@Devices@Windows@@UEAAXXZ,0x18002c60c,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiDevice::Stop,5,0x0,This:HexInt64,Direct-Preceding
??1BleMidiDevice@Midi@Devices@Windows@@UEAA@XZ,0x18002ae3b,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiDevice::~BleMidiDevice,5,0x0,This:HexInt64,Direct-Preceding
?Create@BleMidiInDevice@Midi@Devices@Windows@@SAJPEAUHSTRING__@@PEAVMidiPortMediator@Internal@234@PEAPEAVMidiDeviceAdapterBase@234@@Z,0x18002b20d,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::Create,5,0x0,DeviceId:UnicodeString,Direct-Preceding
?HandleSystemExMessage@BleMidiInDevice@Midi@Devices@Windows@@AEAAJPEAEK0KF@Z,0x18002b4b8,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::HandleSystemExMessage,5,0x0,"System Ex midiMessage part:UInt8[](Hex), userTime:Int64, midiTimeStamp:Int16",Direct-Preceding
?MidiInMessageReadyWorkRoutine@BleMidiInDevice@Midi@Devices@Windows@@CAKPEAX@Z,0x18002f4b7,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::MidiInMessageReadyWorkRoutine_WaitForMultipleError,2,0x0,(none),Direct-Preceding
?MidiInMessageReadyWorkRoutine@BleMidiInDevice@Midi@Devices@Windows@@CAKPEAX@Z,0x18002f44a,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::MidiInMessageReadyWorkRoutine_enter,5,0x0,(none),Direct-Preceding
?MidiInMessageReadyWorkRoutine@BleMidiInDevice@Midi@Devices@Windows@@CAKPEAX@Z,0x18002f4cc,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::MidiInMessageReadyWorkRoutine_exit,5,0x0,(none),Direct-Preceding
?MidiInMessageReadyWorkRoutine@BleMidiInDevice@Midi@Devices@Windows@@CAKPEAX@Z,0x18002f46b,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::MidiInMessageReadyWorkRoutine_hMidiInReadyEvent_signaled,5,0x0,pMidiDevice:HexInt64,Direct-Preceding
?OnValueChangedEvent@BleMidiInDevice@Midi@Devices@Windows@@CAXW4_BTH_LE_GATT_EVENT_TYPE@@PEAX1@Z,0x18002bbfa,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::OnValueChangedEvent,5,0x0,"pMidiDevice:HexInt64, DataSize:UInt32",Direct-Preceding
?OnValueChangedEvent@BleMidiInDevice@Midi@Devices@Windows@@CAXW4_BTH_LE_GATT_EVENT_TYPE@@PEAX1@Z,0x18002bc3f,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::OnValueChangedEvent,5,0x0,CharacteristicValue:UInt8[](Hex),Direct-Preceding
?ProcessMidiPacketBody@BleMidiInDevice@Midi@Devices@Windows@@QEAAJFEKPEAEK@Z,0x18002beed,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::ProcessMidiPacketBody,5,0x0,"short midiMessage:UInt8[](Hex), userTime:Int64, midiTimeStamp:Int16",Direct-Preceding
?ReadMidiMessageFromEmulator@BleMidiInDevice@Midi@Devices@Windows@@AEAAJXZ,0x18002f52e,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::ReadMidiMessageFromEmulator,5,0x0,BleMidiInDevice:HexInt64,Direct-Preceding
?ReadMidiMessageFromEmulator@BleMidiInDevice@Midi@Devices@Windows@@AEAAJXZ,0x18002f5be,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::ReadMidiMessageFromEmulator_Info,5,0x0,"BleMidiInDevice:HexInt64, ulBufferSizeNeeded:UInt32, bytesReturned:UInt32",Direct-Preceding
?RegisterGattInputEventCallback@BleMidiInDevice@Midi@Devices@Windows@@AEAAJXZ,0x18002c383,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::RegisterGattInputEventCallback_BluetoothGATTRegisterEvent,5,0x0,(none),Direct-Preceding
?RegisterGattInputEventCallback@BleMidiInDevice@Midi@Devices@Windows@@AEAAJXZ,0x18002c350,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::RegisterGattInputEventCallback_ClientCharacteristicConfiguration,5,0x0,(none),Direct-Preceding
?RegisterGattInputEventCallback@BleMidiInDevice@Midi@Devices@Windows@@AEAAJXZ,0x18002c05c,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::RegisterGattInputEventCallback_Entry,5,0x0,This:HexInt64,Direct-Preceding
?RegisterGattInputEventCallback@BleMidiInDevice@Midi@Devices@Windows@@AEAAJXZ,0x18002c13b,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::RegisterGattInputEventCallback_GattDescriptor,5,0x0,"m_DeviceHandle:HexInt64, expectedBufferCount:UInt16",Direct-Preceding
?RuntimeClassInitialize@BleMidiInDevice@Midi@Devices@Windows@@UEAAJPEAUHSTRING__@@PEAVMidiPortMediator@Internal@234@@Z,0x18002c4af,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::RuntimeClassInitialize,5,0x0,"This:HexInt64, m_RealDeviceMode:Int32, DeviceId:UnicodeString",Direct-Preceding
?Stop@BleMidiInDevice@Midi@Devices@Windows@@UEAAXXZ,0x18002c67c,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::Stop,5,0x0,This:HexInt64,Direct-Preceding
??1BleMidiInDevice@Midi@Devices@Windows@@UEAA@XZ,0x18002aec6,Microsoft.Windows.Devices.Midi,{AADD3984-67EE-4354-94A1-18F762026C86},BleMidiInDevice::~BleMidiInDevice,5,0x0,This:HexInt64,Direct-Preceding
