Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??1AutoDeleteFileStream@@UEAA@XZ,0x1800b8c48,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},AutoDeleteFileStreamFailed,2,0x0,Path:UnicodeString,Direct-Preceding
CreateCategoryReader,0x1800b7745,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},CreateCategoryReaderFromPath,5,0x0,Path:UnicodeString,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x1800b6472,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},EnumerateElementsFailed,2,0x0,HResult:Int32,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x1800b6576,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},GetNextElementFailed,2,0x0,HResult:Int32,Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x1800b65d3,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},GetNextElementTooMany,2,0x0,HResult:Int32,Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x1800b61a4,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},GetProvisionPackageNameFailed,2,0x0,HResult:Int32,Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x1800b4307,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},InvalidPackageExtension,2,0x400000000000,"Path:UnicodeString, Name:UnicodeString, HResult:Int32",Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x1800b4271,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},InvalidPath,2,0x0,Path:UnicodeString,Direct-Preceding
?AddDefaultSearchPathsWithExclusions@PackageCollector@@QEAAXV?$vector@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@V?$allocator@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@2@@std@@@Z,0x1800b3ac7,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},NonPpkgDefaultPathFile,2,0x0,"Path:UnicodeString, Name:UnicodeString",Direct-Preceding
?ValidateProvPackage@ProvPackage@@UEAA_NXZ,0x1800b6533,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},NonProvisioningPackage,3,0x0,"PackageId:UnicodeString, PackagePath:UnicodeString",Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x1800b60e7,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},OpenProvisioningPackageFailed,2,0x0,"Path:UnicodeString, HResult:Int32",Direct-Preceding
?OpenProvPackage@ProvPackage@@UEAA_NXZ,0x1800b605e,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},OpeningProvPackage,5,0x0,Path:UnicodeString,Direct-Preceding
??1PackageCollector@@UEAA@XZ,0x1800b3717,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorDeinit,5,0x0,(none),Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x1800b3fe6,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorFileNotFound,4,0x0,Path:UnicodeString,Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x1800b43b4,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorFindError,2,0x0,"Path:UnicodeString, LastError:UInt32",Direct-Preceding
??0PackageCollector@@QEAA@XZ,0x1800b36d4,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorInit,5,0x0,(none),Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x1800b4022,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorPackageFound,5,0x0,"Path:UnicodeString, FileName:UnicodeString",Direct-Preceding
?AddSearchPath@PackageCollector@@QEAA_NAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x1800b3cef,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorPathAdd,5,0x0,Path:UnicodeString,Direct-Preceding
?AddSearchPath@PackageCollector@@QEAA_NAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z,0x1800b3d1f,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorPathAdd,3,0x0,"Path:UnicodeString, HResult:Int32",Direct-Preceding
?Search@PackageCollector@@QEAA?AV?$vector@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@V?$allocator@V?$unique_ptr@VProvPackage@@U?$default_delete@VProvPackage@@@std@@@std@@@2@@std@@XZ,0x1800b4206,Microsoft-Windows-Provisioning-API,{82ADD491-01D7-4B85-9EAD-192C3CAACA23},PackageCollectorPathCchCombine,2,0x0,"Path:UnicodeString, HResult:Int32",Direct-Preceding
