Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?CreateNewSessionId@FlightDataRecorder@Session@Speech@Windows@@IEAAXXZ,0x18000f537,Microsoft.Windows.Analog.Speech,{292CE2F8-099A-5710-EF2E-18921C50346F},FDR: Unlikely Session ID found,2,0x200000000000,BadGuid:GUID,Direct-Preceding
?NotifyFailure@?$ActivityBase@VFlightDataRecorderActivityClass@@$0A@$0EAAAAAAAAAAA@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001027a,Microsoft.Windows.Analog.Speech.Activity,{E4C4B1DB-812B-5E8D-3C9F-1B22EEBC1191},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d1
?StartActivity@DesktopSpeechDownloadRequest@ActivityContainer@1SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@QEAAX_K_N@Z,0x180010f2c,Microsoft.Windows.Analog.Speech.Activity,{E4C4B1DB-812B-5E8D-3C9F-1B22EEBC1191},DesktopSpeechDownloadRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, eventTime:UInt64, fImplicitStart:UInt8(Boolean)",CallGraph-d1
?Stop@DesktopSpeechDownloadRequest@ActivityContainer@1SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@QEAAX_K@Z,0x180011749,Microsoft.Windows.Analog.Speech.Activity,{E4C4B1DB-812B-5E8D-3C9F-1B22EEBC1191},DesktopSpeechDownloadRequest,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, eventTime:UInt64",CallGraph-d1
?Stop@DesktopSpeechDownloadRequest@ActivityContainer@1SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@QEAAX_K@Z,0x1800118f6,Microsoft.Windows.Analog.Speech.Activity,{E4C4B1DB-812B-5E8D-3C9F-1B22EEBC1191},DesktopSpeechDownloadRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32, eventTime:UInt64",CallGraph-d1
?StopActivity@DesktopSpeechDownloadRequest@ActivityContainer@1SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@MEAAXXZ,0x180011abb,Microsoft.Windows.Analog.Speech.Activity,{E4C4B1DB-812B-5E8D-3C9F-1B22EEBC1191},DesktopSpeechDownloadRequest,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d1
?StopActivity@DesktopSpeechDownloadRequest@ActivityContainer@1SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@MEAAXXZ,0x180011c50,Microsoft.Windows.Analog.Speech.Activity,{E4C4B1DB-812B-5E8D-3C9F-1B22EEBC1191},DesktopSpeechDownloadRequest,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
?StartEvent@DesktopSpeechDownloadRequest@SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@UEAAX_K_N@Z,0x180011287,Microsoft.Windows.Media.Speech.Settings,{9CE214EA-6D38-5774-CE4D-9BEDF62E4FF3},DesktopSpeechDownloadRequest,4,0x400000000000,"eventTime:UInt64, fImplicitStart:Bool32, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StartEventLocal@DesktopSpeechDownloadRequest@SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@UEAAX_K_N@Z,0x18001137d,Microsoft.Windows.Media.Speech.Settings,{9CE214EA-6D38-5774-CE4D-9BEDF62E4FF3},DesktopSpeechDownloadRequest,4,0x1,"eventTime:UInt64, fImplicitStart:Bool32, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d1
?StopEvent@DesktopSpeechDownloadRequest@SpeechSettingsWinRTTrace@Telemetry@Speech@Media@Windows@@UEAAXJ_K@Z,0x180011ed6,Microsoft.Windows.Media.Speech.Settings,{9CE214EA-6D38-5774-CE4D-9BEDF62E4FF3},DesktopSpeechDownloadRequest,4,0x400000000000,"eventTime:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d1
