Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
??$BrightnessLevel@AEAN@BioFeedbackUxTelemetry@CredentialCommon@@SAXAEAN@Z,0x18001a1f8,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},BrightnessLevel,5,0x200000000000,"Level:Double, PartA_PrivTags:UInt64",CallGraph-d2
??$BrightnessOverride@_N@BioFeedbackUxTelemetry@CredentialCommon@@SAX$$QEA_N@Z,0x18001a28d,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},BrightnessOverride,5,0x400000000000,"flag:UInt8(Boolean), PartA_PrivTags:UInt64",CallGraph-d2
??$ExceptionOccurred@HAEAY0BC@$$CB_WAEAY0BE@$$CB_W@BioFeedbackUxTelemetry@CredentialCommon@@SAX$$QEAHAEAY0BC@$$CB_WAEAY0BE@$$CB_W@Z,0x18001a5a3,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},ExceptionOccurred,5,0x200000000000,"ExceptionCode:Int32, ExceptionType:UnicodeString, LocationInfo:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$ExceptionOccurred@HPEB_WAEAY0BE@$$CB_W@BioFeedbackUxTelemetry@CredentialCommon@@SAX$$QEAH$$QEAPEB_WAEAY0BE@$$CB_W@Z,0x18001a642,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},ExceptionOccurred,5,0x200000000000,"ExceptionCode:Int32, ExceptionType:UnicodeString, LocationInfo:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$Start@HAEAY0DC@$$CB_W@BioFeedbackUxTelemetry@CredentialCommon@@SAX$$QEAHAEAY0DC@$$CB_W@Z,0x18001a8ca,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},Start,5,0x200000000000,"LineNo:Int32, Function:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$Start@HAEAY0EI@$$CB_W@BioFeedbackUxTelemetry@CredentialCommon@@SAX$$QEAHAEAY0EI@$$CB_W@Z,0x18001a94a,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},Start,5,0x200000000000,"LineNo:Int32, Function:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
??$StartHresult@AEAY0BM@$$CB_WAEAK@BioFeedbackUxTelemetry@CredentialCommon@@SAXAEAY0BM@$$CB_WAEAK@Z,0x18001a9c6,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},StartHresult,5,0x200000000000,"Function:UnicodeString, hr:Int32, PartA_PrivTags:UInt64",CallGraph-d2
??$StartHresult@AEAY0CO@$$CB_WAEAJ@BioFeedbackUxTelemetry@CredentialCommon@@SAXAEAY0CO@$$CB_WAEAJ@Z,0x18001aa4a,Microsoft.Windows.Shell.CredentialCommon.BioFeedback,{B1C2D3E4-F5A6-7890-BCDE-F123456789AB},StartHresult,5,0x200000000000,"Function:UnicodeString, hr:Int32, PartA_PrivTags:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800161b1,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},EnabledFeatureUsage,5,0xa,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x1800163c3,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureError,2,0x1,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, hr:Int32(HResult), file:AnsiString, lineNumber:UInt16, module:AnsiString, process:AnsiString, originFile:AnsiString, originLineNumber:UInt16, originModule:AnsiString, originName:AnsiString, message:AnsiString, callerModule:AnsiString, callerReturnAddressOffset:UInt32, originCallerModule:AnsiString, originCallerReturnAddressOffset:UInt32",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001611c,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureUsage,5,0x2,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), kind:UInt32, addend:UInt64",CallGraph-d2
?FeatureLoggingHook@details@wil@@YAXIPEBUFEATURE_LOGGED_TRAITS@@PEBUFEATURE_ERROR@@HPEBW4wil_ReportingKind@@PEBW4wil_VariantReportingKind@@E_K@Z,0x18001629f,Microsoft.Windows.Wil.FeatureLogging,{DCEF5411-1F98-5EE7-238B-5ABD0E078E97},FeatureVariantUsage,5,0x4,"featureId:UInt32, featureVersion:Int32, featureBaseVersion:Int32, featureStage:Int16, enabled:UInt8(Boolean), variantKind:UInt32, variant:UInt8, addend:UInt64",CallGraph-d2
?ReportTelemetryFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180006bb9,Unknown,Unknown,FallbackError,2,0x200000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilResult:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",Unresolved
?ReportTraceLoggingFailure@TraceLoggingProvider@wil@@IEAAXAEBUFailureInfo@2@@Z,0x180006d7b,Unknown,Unknown,FallbackError,2,0x0,"PartA_PrivTags:UInt64, wilResult:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",Unresolved
