Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?NotifyFailure@?$ActivityBase@VCredUXControllerLogger@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001ec35,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},ActivityError,2,0x600000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VCredUXControllerLogger@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001ed7d,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},ActivityError,2,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VCredUXControllerLogger@@$0A@$0A@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x18001f081,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
?Stop@?$ActivityBase@VCredUXControllerLogger@@$00$0EAAAAAAAAAAA@$04$0BAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180027a41,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},ActivityIntermediateStop,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?Stop@?$ActivityBase@VCredUXControllerLogger@@$0A@$0A@$04$0DAAAAAA@U_TlgReflectorTag_Param0IsProviderType@@@wil@@QEAAXJ@Z,0x180027b13,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},ActivityIntermediateStop,5,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$CredUICoordinatorOptions@I@CredUXControllerTelemetry@@SAX$$QEAI@Z,0x18000aa60,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUICoordinatorOptions,5,0x400000000000,"stylingOptions:UInt32, PartA_PrivTags:UInt64",CallGraph-d2
?CredUIRunningAsSystemAndNotUAC@CredUXControllerTelemetry@@SAXXZ,0x18001718e,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUIRunningAsSystemAndNotUAC,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?CredUIRunningNonNativeArchitecture@CredUXControllerTelemetry@@SAXXZ,0x1800171de,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUIRunningNonNativeArchitecture,5,0x400000000000,PartA_PrivTags:UInt64,CallGraph-d2
?StartActivity@CredUXDialogCancelledFromCallerActivity@CredUXControllerTelemetry@@QEAAXXZ,0x18002749c,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXDialogCancelledFromCallerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32",CallGraph-d2
?StopActivity@CredUXDialogCancelledFromCallerActivity@CredUXControllerTelemetry@@MEAAXXZ,0x180028552,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXDialogCancelledFromCallerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@CredUXDialogCancelledFromCallerActivity@CredUXControllerTelemetry@@MEAAXXZ,0x1800286ba,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXDialogCancelledFromCallerActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@CredUXHostStartActivity@CredUXControllerTelemetry@@QEAAX_N@Z,0x180027534,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXHostStartActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, isUAC:Bool32",CallGraph-d2
?StopActivity@CredUXHostStartActivity@CredUXControllerTelemetry@@MEAAXXZ,0x180028792,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXHostStartActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@CredUXHostStartActivity@CredUXControllerTelemetry@@MEAAXXZ,0x1800288fa,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXHostStartActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
?StartActivity@CredUXHostStopActivity@CredUXControllerTelemetry@@QEAAXJ@Z,0x1800275df,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXHostStopActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NoPrint), threadId:UInt32, HRESULT:Int32",CallGraph-d2
?StopActivity@CredUXHostStopActivity@CredUXControllerTelemetry@@MEAAXXZ,0x1800289d2,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXHostStopActivity,5,0x400000000000,"PartA_PrivTags:UInt64, PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?StopActivity@CredUXHostStopActivity@CredUXControllerTelemetry@@MEAAXXZ,0x180028b3a,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},CredUXHostStopActivity,5,0x400000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(String), hresult:UInt32, threadId:UInt32",CallGraph-d2
??$ExceptionOccurred@HAEAY0BC@$$CBGAEAY0BI@$$CBG@CredUXControllerTelemetry@@SAX$$QEAHAEAY0BC@$$CBGAEAY0BI@$$CBG@Z,0x18000aee3,Microsoft.Windows.CredUXController,{24532CA4-409F-5D6C-3DED-E11946573F56},ExceptionOccurred,5,0x200000000000,"ExceptionCode:Int32, Message:UnicodeString, Context:UnicodeString, PartA_PrivTags:UInt64",CallGraph-d2
