Caller,InstructionEA,Provider,GUID,Event,Level,Keyword,Fields,Confidence
?InvokeMessage@Delivery@InputTraceLogging@@SAXPEAUHWND__@@I_N@Z,0x180008bc5,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Delivery::InvokeMessage,4,0x10,"Message:HexInt32, MessageStruct:Struct(Boolean), WindowMessage:HexInt32, WindowHandle:HexInt64, TickCount:HexInt32, CoreWindow:Bool32",CallGraph-d1
?ReceiveMessage@Delivery@InputTraceLogging@@SAXPEAUHWND__@@I_K_J_N@Z,0x180019cb2,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Delivery::ReceiveMessage,4,0x10,"Message:HexInt32, MessageStruct:Struct(PID), WindowMessage:HexInt32, WindowHandle:HexInt64, WParam:HexInt64, LParam:HexInt64, TickCount:HexInt32, CoreWindow:Bool32",Direct-Nearest
?ReceiveMessage@Delivery@InputTraceLogging@@SAXPEAUHWND__@@I_N@Z,0x18005bcb6,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Delivery::ReceiveMessage,4,0x10,"Message:HexInt32, MessageStruct:Struct(Boolean), WindowMessage:HexInt32, WindowHandle:HexInt64, TickCount:HexInt32, CoreWindow:Bool32",CallGraph-d1
??0PerfRegion@InputTraceLogging@@QEAA@PEBDPEBU01@@Z,0x180019e7c,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Perf::WinUI,6,0x1,Name:AnsiString,Direct-Nearest
??1PerfRegion@InputTraceLogging@@QEAA@XZ,0x18001a7f9,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Perf::WinUI,6,0x1,Name:AnsiString,CallGraph-d1
?GetPointsHelper@CPointerPointStatics@Input@UI@Windows@@AEAAJIPEAUIPointerPointTransform@234@PEAPEAUIPointerPoint@234@PEAPEAU?$IVector@PEAVPointerPoint@Input@UI@Windows@@@Collections@Foundation@4@@Z,0x18003ba26,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Perf::WinUI,6,0x1,Name:AnsiString,Direct-Preceding
?GetPointsHelper@CPointerPointStatics@Input@UI@Windows@@AEAAJIPEAUIPointerPointTransform@234@PEAPEAUIPointerPoint@234@PEAPEAU?$IVector@PEAVPointerPoint@Input@UI@Windows@@@Collections@Foundation@4@@Z,0x18003ba56,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Perf::WinUI,6,0x1,Name:AnsiString,Direct-Preceding
?MakePointerPoint@Pointer@InputTraceLogging@@SAXPEBUtagPOINTER_INFO@@AEBUPoint@Foundation@Windows@@_KPEBUtagINPUT_TRANSFORM@@_N@Z,0x180026be5,InputCore,{5FB75EAC-9F0B-550C-339F-FC21FDE966CD},Pointer::MakePointerPoint,5,0x20,"InputQPC:Int64, PointerId:UInt32, PointerType:AnsiString, PointerFlags:HexInt32, PixelLocation:Struct(String), X:Int32, Y:Int32, WindowHandle:HexInt64, ClientLocation:Struct(String), X:Float, Y:Float, PointerTimestamp:UInt64, xForm:Struct(FileTime), _11:Float, _12:Float, _13:Float, _14:Float, _21:Float, _22:Float, _23:Float, _24:Float, _31:Float, _32:Float, _33:Float, _34:Float, _41:Float, _42:Float, _43:Float, _44:Float, LegacyTransform:Bool32",Direct-Preceding
?NotifyFailure@?$ActivityBase@VCUITelemetry@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x180083585,Microsoft.Windows.ComponentUI,{CAA8CFE8-7CEC-451E-B49F-6E60AF56061E},ActivityError,2,0x200000000000,"PartA_PrivTags:UInt64, wilActivity:Struct(NTStatus), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString",CallGraph-d2
?NotifyFailure@?$ActivityBase@VCUITelemetry@@$00$0A@$04$0A@U_TlgReflectorTag_Param0IsProviderType@@@wil@@UEAA_NAEBUFailureInfo@2@@Z,0x1800836b3,Microsoft.Windows.ComponentUI,{CAA8CFE8-7CEC-451E-B49F-6E60AF56061E},ActivityError,2,0x0,"PartA_PrivTags:UInt64, wilActivity:Struct(Signed), hresult:UInt32, fileName:AnsiString, lineNumber:UInt32, module:AnsiString, failureType:UInt32, message:UnicodeString, threadId:UInt32, callContext:AnsiString, originatingContextId:UInt32, originatingContextName:AnsiString, originatingContextMessage:UnicodeString, currentContextId:UInt32, currentContextName:AnsiString, currentContextMessage:UnicodeString, failureId:UInt32, failureCount:UInt32, function:AnsiString",CallGraph-d2
